,0
900,National Black Panther Party
901,Jai Sewalal Bahujan Vikas Party
902,Shiv Sena
903,Rashtriya Kisan Bahujan Party
904,Kunbi Bahujan Sawrajya Party
905,Apni Prajahit Party
906,Maharashtra Vikas Aghadi
907,Dharmarajya Paksha
908,Lok Swarajya Party
909,Bhartiya Asmita Party
910,Vidarbha Rajya Aghadi
911,Sanyukt Bharat Paksh
912,Lok Sena Party
913,Janseva Gondwana Party
914,Bharat Peoples Sena
915,Lokrajya Janata Party
916,Bhartiya Jan Vikas Aaghadi
917,Bharatiya Lokshakti Party
918,New Rashtriya Samaj Party
919,Bharatiya Lokvikas Party
920,Rashtriya Janmanch (Secular)
921,Rashtriy Bahujan Party
922,Aim Political Party
923,Azad Adhikar Sena
924,Vishva Shakti Party
925,Swarajya Sena (Maharashtra)
926,Republican Party of India (Social)
927,Peoples Union Party
928,Abhinav Bharat Janseva Paksh
929,National Peoples Party
930,Kamgaar Kisan Party
931,Naga Peoples Front
932,Voice of the People Party
933,Mizo National Front
934,Zoram Peoples Movement
935,Mizoram Peoples Conference
936,Manas Lokshakti Dal
937,Utkal Samaj
938,Samruddha Odisha
939,Rashtriya Manav Party
940,Paschimanchal Vikas Party
941,Janta Darbar Party
942,Bharatiya Bikash Parishad
943,Odisha Janata Party
944,Kosal Janata Dal
945,Supreme Zero Party of Bharat
946,National Jan Dal
947,Sehajdhari Sikh Party
948,Aas Punjab Party
949,Punjab National Party
950,All India Mazdoor Party (Rangreta)
951,Shiromani Lok Dal Party
952,Sacho Sach Party
953,Aam Lok Party United
954,Samajik Sangharsh Party
955,Adarsh Janta Party
956,Apni Ekta Party
957,Sunahara Bharat Party
958,National Republic Party Of India
959,Bharatiya Inqalab Party
960,Megh Desham Party
961,Bheem Tribal Congress
962,Akhil Bharatiya Congress Dal (Ambedkar)
963,Rashtriya Sawarn Dal
964,National Janmandal Party
965,Ummeed Party of India
966,Abhinav Rajasthan Party
967,Rajasthan Raj Party
968,Bhartiya Jan Adhikar Party
969,Bahujan Kranti Party (Marxwad-Ambedkarwad)
970,Jai Hind Congress Party
971,Pehchan People’s Party
972,Bhartiya Party
973,Akhil Bhartiya Aamjan Party
974,National Future Party
975,Dalit Kranti Dal
976,Bhartiya Garib Vikas Kalyan Party
977,Citizen Action Party-Sikkim
978,Sikkim Democratic Front
979,Makkal Nala Kazhagam
980,Bharatiya Praja Aikyata Party
981,Samaniya Makkal Nala Katchi
982,Thakkam Katchi
983,Naadaalum Makkal Katchi
984,Anna MGR Dravida Makkal Kalgam
985,All India Jananayaka Makkal Kazhagam
986,Aravor Munnetra Kazhagam
987,Aanaithinthiya Jananayaka Pathukappu Kazhagam
988,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi
989,Humanity for Peace Party
990,All India Youth Development Party
991,Punnagai Desam Party
992,Marumalarchi Dravida Munnetra Kazhagam
993,Mahathma Makkal Munnetra Kazhakam
994,Tamilaga Makkal Thannurimai Katchi
995,Puthiya Makkal Tamil Desam Katchi
996,New Generation People’s Party
997,Tamil Manila Murpokku Dravida Kazhagam
998,Makkal Nalvaazhvuk Katchi
999,Chennai Youth Party
1000,All India People Development Party
1001,Tamilaga Makkal Nala Katchi
1002,Tamilnadu Makkal Nalvazhvu Periyakkam
1003,Anna Makkal Katchi
1004,Amma Makkal Munnettra Kazagam
1005,Tamilar Makkal Katchi
1006,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam
1007,Viduthalai Kalam Katchi
1008,Dhesiya Makkal Kazhagam
1009,Nam India Naam Indiyar Katchi
1010,Jebamani Janata
1011,All India Uzhavargal Uzhaippalargal Katchi
1012,Republican Party of India (Sivaraj)
1013,Vidiyalai Thedum Indhiyargal Party
1014,Bahujana Left Party
1015,Jana Shankhaaraavam Party
1016,Alliance of Democratic Reforms Party
1017,BRS
1018,Dharma Samaj Party
1019,Rashtra Samanya Praja Party
1020,Mana Telangana Rashtra Samaikya Party
1021,Maa Telangana Party
1022,Social Justice Party of India
1023,Blue India Party
1024,Vidhyarthula Rajakiya Party
1025,All India Backward People Sunami Party
1026,Telugu Congress Party
1027,Yuva Taram Party
1028,Telangana Praja Shakthi Party
1029,Praja Velugu Party
1030,Prajarajya Samithi
1031,Telangana Sakalajanula Party
1032,Telangana Republican Party
1033,Gondwana Dandkaranya Party
1034,Indian National Yuva Jana Party
1035,Telangana Prajaa Jeevana Rythu Party
1036,Prajavani Party
1037,All India Mahila Empowerment Party
1038,Jai Swaraj Party
1039,New India Party
1040,Telangana Jaghir Party
1041,Sakala Janula Party
1042,Bharathiya YuvaKula Dalam
1043,Telangana Rashtra Punahnirmana Samithi
1044,Indian Praja Congress
1045,Praja Ektha Party
1046,Telangana Rajya Samithi
1047,People Protection Party
1048,Uttarakhand Kranti Dal
1049,Uttarakhand Samanta Party
1050,Bhartiya Rashtriya Ekta Dal
1051,Bharat Ki Lok Jimmedar Party
1052,Uttarakhand Parivartan Party
1053,Rashtriya Uttarakhand Party
1054,Jai Samta Party
1055,Vishwa Kalyan Rashtriya Manav Samaj Party
1056,Apna Haq Party
1057,Bharat Mahaparivar Party
1058,Eklavya Samaj Party
1059,Rashtriya Janshakti Samaj Party
1060,Rashtriya Jan Karmath Party
1061,Kisan Kranti Dal
1062,Hindustan Samaj Party
1063,Bhartiya Awam Party (Rastriya)
1064,Sardar Patel Siddhant Party
1065,Pachchasi Parivartan Samaj Party
1066,Samyak Party
1067,Vishal Janta Party
1068,Abhay Samaj Party
1069,Prabuddhwadi Bahujan Morcha
1070,Kisan Vishwa Party
1071,Rashtriya Lok Dal
1072,Apna Dal (Kamerawadi)
1073,Janta Kranti Party
1074,Bhartiya Lokvani Party
1075,Janshakti Samta Party
1076,Most Backward Classes Of India
1077,Suheldev Bharatiya Samaj Party
1078,Rastriya Atal Janta Party
1079,Majloom Samaj Party
1080,Rashtriya Congress(J) Party
1081,Azad Party
1082,Bhartiya Sabka Dal
1083,Aawami Pichhada Party
1084,Janta Shashan Party
1085,Lokpriya Rashtrawadi Party
1086,Netaji Subhash Chander Bose Rashtriya Azad Party
1087,National Party
1088,Uttar Pradesh Republican Party
1089,Mang Samaj Party
1090,Sarvjan Samta Party
1091,Rashtriya Narayanwadi Vikas Party
1092,Rashtriya Vikalp Party
1093,Janta Samta Party
1094,Naari Nar Rakshak Party
1095,Bhartiya Rashtriya Jansatta
1096,Jan Raajya Party
1097,Vanchitsamaj Insaaf Party
1098,Public Adhikar Socialist Indian Party
1099,Sarvjan Awaz Party
1100,Political Justice Party
1101,Rishivadi Karm Sheel Young Parmarthi Party
1102,Manav Kranti Party
1103,Rashtra Dharak Dal
1104,Akhil Bhartiya Hamara Samaj Party
1105,Parcham Party of India
1106,Bhartiya Sarvdharm Party
1107,Spashtwadi Jan Aadhar Party
1108,Janlok Vikas Party
1109,Kamera Samaj Party
1110,Sarvar Party
1111,Sanyogwadi Party
1112,Akhil Bhartiya Sarvjan Hit Party
1113,Bharatiya Nagrik Party
1114,Janhit Sankalp Party
1115,Bhartiya Panchsheel Party
1116,Samaj Parivartan Party
1117,Akhand Bharat Swatantra Party
1118,Bhartiya Uday Nirman Party
1119,Rashtriya Sanskriti Party
1120,Janta Samajwadi Party (Vivek Raj)
1121,All India Secular Front
1122,Bharatiya National Janata Dal
1123,India Manus Party
1124,North Bengal Peoples Party
1125,All India Arya Mahasabha
1126,Kamatapur People’s Party (United)
1127,Rashtriya Secular Majlis Party
1128,Bhumiputra United Party
1129,North Bengal People’s Party
1130,Mission Naya Digant Bharat
1131,Democratic Socialist Party of India
1132,Mera Bharat Mahan Party
1133,Guruchand Sena Dal
