,0
216,Vyavastha Parivartan Party
217,New All India Congress Party
218,Manvadhikar National Party
219,Nirbhay Bharteey Party
220,Sardar Vallabhbhai Patel Party
221,Bahujan Republican Socialist Party
222,Svatantra Bharat Satyagrah Party
223,Yuva Sarkar
224,Rashtriya Samaj Paksha
225,Jan Satya Path Party
226,Garvi Gujarat Party
227,Rashtra Vikas Zumbes Party
228,Jan Sangharsh Virat Party
229,Lok Gathbandhan Party
230,Bahujan Suraksha Dal
231,Apna Desh Party
232,Bharatiya Rashtravadi Paksha
233,Prajatantra Aadhar Party
234,Rashtriya Nav Nirman Bharat Party
235,Loktantrik Rashrtavadi Party
236,Jai Jawan Jai Kisan Party
237,Aapki Apni Party (Peoples)
238,INLD
239,Bhartiya Janraj Party
240,Rashtra Nirman Party
241,AARAKSHAN VIRODHI PARTY
242,Jannayak Janta Party
243,Voters Party
244,Daksha Party
245,Adim Bhartiya Dal
246,Aadarsh Janata Sewa Party
247,Navnirman Party
248,Mahila & Yuva Shakti Party
249,Rashtriya Mazdoor Ekta Party
250,Rashtriya Vikas Party
251,Lokpriya Samaj Party
252,Rashtriya Bhagidari Samaj Party
253,Tola Party
254,Loktanter Suraksha Party
255,Revolutionary Marxist Party of India
256,Samajik Nyaya Party
257,Rashtriya Sahara Party
258,Hind Congress Party
259,Dalit Soshit Pichhara Varg Adhikar Dal
260,Rashtriya Jatigat Aarakshan Virodhi Party
261,Rashtriya Garib Dal
262,Satya Bahumat Party
263,Rashtriya Azad Manch
264,Navbharat Ekta Dal
265,Himachal Jan Kranti Party
266,Jammu & Kashmir Peoples Democratic Party
267,Peoples Democratic Party
268,Jammu & Kashmir People Conference
269,Jammu & Kashmir National Conference
270,Dogra Swabhiman Sangathan Party
271,Jammu & Kashmir Pir Panjal Awami Party
272,Independent Peoples Party
273,Sadan Vikas Party
274,Hum Bhartiya Party
275,Rashtriya Jansangharsh Swaraj Party
276,Jharkhand Party
277,Bhartiya Lok Seva Dal
278,Uttar Pradesh Navnirman Sena
279,Amra Bangalee
280,Pichhara Samaj Party United
281,Vishva SHakti Party
282,Jharkhand Vikas Morcha (Prajatantrik)
283,Aihra National Party
284,AJSU Party
285,Janata Congress
286,Kalinga Sena
287,Bhartiya Azad Sena
288,Jharkhand Mukti Morcha (Ulgulan)
289,Jharkhand Party (Secular)
290,Bharatiya Minorities Suraksha Mahasangh
291,Jharkhand Peoples Party
292,Bhartiya Sarvodaya Party
293,Akhil Bharat Hindu Mahasabha
294,Jharkhand Party (Naren)
295,Rashtriya Sangail Party
296,Karnataka Pragnyavantha Janatha Party
297,Akhil Bharatiya Muslim League (Secular)
298,Uttama Prajaakeeya Party
299,Karnataka Karmikara Paksha
300,Sarva Janata Party
301,Bharipa Bahujan Mahasangh
302,Ambedkar Samaj Party
303,Indian New Congress Party
304,Secular Democratic Congress
305,Marxist Leninist Party of India (Red Flag)
306,Republican Sena
307,Samajwadi Janata Party(Karnataka)
308,Indian Christian Front
309,Democratic Prajakranthi Party Secularist
310,Karnataka Jantha Paksha
311,Bharatiya Prajagala Kalyana Paksha
312,Praja Satta Party
313,National Development Party
314,Raita Bharat Party
315,Jai Vijaya Bharathi Party
316,Republican Party of India (Karnataka)
317,Karnataka Praja Party (RaithaParva)
318,Bhartiya Bahujan Kranti Dal
319,Azad Mazdoor Kissan Party
320,Hindustan Janta Party
321,Engineers Party
322,Bharatiya Peoples Party
323,Kranti Kari Jai Hind Sena
324,Gareeb Aadmi Party
325,Kannada Chalavali Vatal Paksha
326,Proutist Bloc India
327,Bharath Dharma Jana Sena
328,National Labour Party
329,Indian Gandhiyan Party
330,Kerala Congress
331,Pravasi Nivasi Party
332,Revolutionary Socialist Party
333,Agila India Makkal Kazhagam
334,Kerala Congress (M)
335,Sanjhi Virasat Party
336,Bharat Lok Sewak Party
337,Challengers Party
338,Bhartiya Janta Dal (Integrated)
339,PRISM Party
340,Rashtriya Janshakti Party (Secular)
341,Sanatan Sanskriti Raksha Dal
342,Jai Maha Bharath Party
343,Mazdoor Kirayedar Vikas Party
344,Rashtriya Samrasta Party
345,Akhand Rashtrawadi Party
346,Akhil Bharatiya Manavata Paksha
347,Ekta Samaj Party
348,Uttarakhand Pragatisheel Party
349,National Youth Party
350,Sarvodaya Prabhat Party
351,Corruption Abolition Party
352,Parivartan Samaj Party
353,Bhartiya Pragatisheel Congress
354,Kanshiram Bahujan Dal
355,Rashtriya Jan Adhikar Party
356,Jan Samman party
357,National Apni Party
358,Socialist Janata Party
359,Atulya Bharat Party
360,Anjaan Aadmi Party
361,Madhya Pradesh Jan Vikas Party
362,Swarnim Bharat Inquilab
363,Poorvanchal Rashtriya Congress
364,Shri Janta Party
365,All Indians Party
366,Akhil Bhartiya Gondwana Party
367,Aajad Bharat Party (Democratic)
368,Minorities Democratic Party
369,Samata Samadhan Party
370,Samta Vikas Party
371,Rashtriya Aamjan Party
372,Prajatantrik Samadhan Party
373,Bhartiya Amrit Party
374,Rashtriya Aadarsh Member Party
375,Smart Indians Party
376,National Womens Party
377,Adarsh Nyay Rakshak Party
378,Republican Party of India (Reformist)
379,Swatantra Jantaraj Party
380,Jai Lok Party
381,Rashtriya Shoshit Samaj Party
382,Socialist Party (India)
383,Bharatiya Jan Morcha Party
384,Ahinsa Samaj Party
385,Bhartiya Manav Samaj Party
386,All India Ulama Congress
387,Sarvadharam Party (Madhya Pradesh)
388,Rashtriya Apna Dal
389,Bhartiya Jan Sampark Party
390,Rashtriya Jansanchar Dal
391,Vanchit Bahujan Aaghadi
392,Anti Corruption Dynamic Party
393,People’s Union Party
394,Bharat Jan Aadhar Party
395,Rastriya Aam Jan Seva Party
396,Loksangram
397,Rashtriya Maratha Party
398,Bahujan Vikas Aaghadi
399,Akhil Bhartiya Ekata Party
400,Rashtriya Jansurajya Party
401,Ambedkarite Party Of India
402,Bharatiya Praja Surajya Paksha
403,Bhapase Party
404,Rashtravadi Kranti Dal
405,Desh Janhit Party
406,Lokjagar Party
407,Akhil Bhartiya Sarvadharma Samaj Party
408,Swatantra Bharat Paksha
409,Ambedkarist Republican Party
410,Maharashtra Kranti Sena
411,Akhil Bharatiya Sena
412,Desiya Makkal Sakthi Katchi
413,Peace Party
414,Sangharsh Sena
415,AIMIM
416,Bhartiya Navjawan Sena (Paksha)
417,Prabuddha Republican Party
418,All India Minorities Front
419,Navbharat Nirman Party
420,Rashtriya Jansena Party
421,Hindusthan Praja Paksha
422,Maharashtra Swabhimaan Paksh
423,Swabhimani Paksha
424,Sanman Rajkiya Paksha
425,Rashtriya Bahujan Congress Party
426,Hamari Apni Party
427,Naitik Party
428,Bhartiya Manvadhikaar Federal Party
429,Rashtriya Mahila Party
430,Aasra Lokmanch Party
431,Akhand Hind Party
432,Prahar Janshakti Party
433,Republican Bahujan Sena
434,North East India Development Party
435,Manipur Democratic Peoples Front
436,NPF
437,Manipur Peoples Party
438,Rashtriya Janhit Sangharsh Party
439,United Democratic Party
440,MNF
441,Nationalist Democratic Progressive Party
442,BJD
443,Krupaa Party
444,Freethought Party of India
445,Pragatisheel Samaj Party
446,Rashtriya Indepndent Morcha
447,Samata Kranti Dal
448,Odisha Pragati Dal
449,Puducherry Development Party
450,All India N.R. Congress
451,Makkal Needhi Maiam
452,Indian Democratic Republican Front
453,Nationalist Justice Party
454,Punjab Ekta Party
455,Shiromani Akali Dal (Taksali)
456,SAD
457,Peoples Party of India(secular)
458,Nawan Punjab Party
459,Apna Samaj Party
460,Punjab Labour Party
461,SAD (Amritsar)(Simranjit Singh Mann)
462,Lok Insaaf Party
463,Democratic Party of India (Ambedkar)
464,Democratic Party of India
465,Samaj Bhalai Morcha
466,Hindu Samaj Party
467,Rashtriya Kranti Party
468,Nationalist Peoples Front
469,Indian Peoples Green Party
470,Bharat Rakshak Party (Democratic)
471,Rashtriya Loktantrik Party
472,Rashtriya Mangalam Party
473,Rashtriya Samta Vikas Party
474,Indian Indira Congress (R)
475,Bhartiya Jan Satta Party
476,Hamro Sikkim Party
477,SDF
478,Sikkim Republican Party
479,Sikkim Krantikari Morcha
480,Sikkim United Front
481,DMK
482,AIADMK
483,Naam Tamilar Katchi
484,Pattali Makkal Katchi
485,Tamil Nadu Ilangyar Katchi
486,Ezhuchi Tamilargal Munnetra Kazhagam
487,DMDK
488,"Makkal Sananayaga Kudiyarasu Katchi,"
489,Ganasangam Party of India
490,Vivasayigal Makkal Munnetra Katchi
491,Christian Democratic Front
492,Tamizhaga Murpokku Makkal Katchi
493,All Pensioner’s Party
494,Democratic Corruption Liberation Front
495,Naam Indiar Party
496,Desiya Uzhavar Uzhaipalar Kazhagam
497,Makkalatchi Katchi
498,Ahila India Dhayaga Makkal Munnetra Katchi
499,Anaithu Makkal Puratchi Katchi
500,Ulzaipali Makkal Katchy
501,Ilantamilar Munnani Kazhagam
502,Marumalarchi Janata Katchi
503,Anaithu Makkal Katchi
504,Tamil Maanila Congress (Moopanar)
505,Anaithu India Makkal Katchi
506,Tamil Telugu National Party
507,Universal Brotherhood Movement
508,Ahimsa Socialist Party
509,All India Puratchi Thalaivar Makkal Munnettra
510,United States of India Party
511,The Future India Party
512,All Pensioners Party
513,Akila India Vallalar Peravai
514,Indigenousn Peoples Front Of Tripura
515,Akhand Samaj Party
516,Bhartiya Jan Nayak Party
517,RLD
518,Pichhra Samaj Party
519,Jansatta Dal Loktantrik
520,Sabhi Jan Party
521,Rashtriya Samanta Dal
522,Apna Dal United Party
523,Adhunik Bharat Party
524,Rashtriya Backward Party
525,Hum Sabki Party
526,Bahujan Awam Party
527,Aam Janta Party (India)
528,Subhashwadi Bhartiya Samajwadi Party (Subhas
529,Apna Dal (Soneylal)
530,Mahasankalp Janta Party
531,Nagrik Ekta Party
532,Lok Dal
533,Janhit Bharat Party
534,Janta Raj Party
535,Al-Hind Party
536,Bharatiya Kisan Parivartan Party
537,Bhartiya Naujawan Inklav Party
538,Nationalist Janshakti Party
539,Andaman & Nicobar Janta Party
540,Rashtriya Bharatiya Jan Jan Party
541,All Indian Rajiv Congress Party
542,Bahujan Samyak Party (Mission)
543,Subhashwadi Bhartiya Samajwadi Party
544,Mera Adhikaar Rashtriya Dal
545,Shane Hind Fourm
546,Bharatiya Sarvodaya Kranti Party
547,Fauji Janta Party
548,Adarshwaadi Congress Party
549,Jan Adesh Akshuni Sena
550,Rashtriya Janmat Party
551,Prithviraj Janshakti Party
552,BHARTIYA JANTA DAL
553,Bhartiya Bhaichara Party
554,Bhartiya Harit Party
555,Bhartiya Anarakshit Party
556,Sabse Achchhi Party
557,Rashtriya Matadata Party
558,Sabka Dal United
559,Samdarshi Samaj Party
560,Saaf Party
561,Kisan Raksha Party
562,Kisan Majdoor Berojgar Sangh
563,Bahujan Uday Manch
564,Rastriya Insaaf Party
565,Bhartiya Hind Fauj
566,Rashtriya Surya Prakash Party
567,VANCHITSAMAJ INSAAF PARTY
568,Bharatiya Aavaam Ekta Party
569,National Lokmat Party
570,Loktantrik Janshakti Party
571,Manavtawadi Samaj Party
572,Rashtrawadi Party of India
573,Jansatta Party
574,Rashtriya Naujawan Dal
575,Jwala Dal
576,Janta Kranti Party (Rashtravadi)
577,Ambedkar Yug Party
578,Kartavya Rashtriya Party
579,Lok Jan Sangharsh Party
580,Jan Seva Sahayak Party
581,Akhil Bhartiya Navnirman Party
582,Pragatisheel Manav Samaj Party
583,Awami Samta Party
584,Kalyankari Jantantrik Party
585,Majdoor Kisan Union Party
586,Netaji Subhash Chander Bose Rashtriya Azad Pa
587,Manuvadi Party
588,Bhartiya Kisan Union Samaj Party
589,Akhil Bhartiya Lok Dal
590,Indian National League
591,Vishwa Manav Samaj Kalyan Parishad
592,Jan Shakti Dal
593,Rashtriya Janwadi Party (Socialist)
594,National Fifty Fifty Front
595,United Democratic Front Secular
596,Sarvshreshth Dal
597,Rashtriya Janadhikar Party
598,Rashtrawadi Shramjeevi Dal
599,Justice Party
600,Samajwadi Samaj Party
601,Satya Kranti Party
602,Rashtriya Jantantrik Bharat Vikas Party
603,Bhartiya Nojawan Dal
604,Samrat Ashok Sena Party
605,Bhartiya Krishak Dal
606,"Rashtrawadi Party of India,"
607,Khusro Sena Party
608,Bhartiya Republican Party (Insan)
609,Rashtriya Vyapari Party
610,Rashtriya Ambedkar Dal
611,Sajag Samaj Party
612,Vikas Insaf Party
613,Bhartiya Vanchitsamaj Party
614,Rashtriya Janutthan Party
615,Sarvjan Lok Shakti Party
616,Inqalab Vikas Dal
617,Bhartiya Navodaya Party
618,National Bhrashtachar Mukt Party
619,Jan Shakti Ekta Party
620,Bharatiya Bahujan Samta Party
621,All India Peoples Front (Radical)
622,Adarsh Samaj Party
623,Yuva Vikas Party
624,Dr. Bhimrao Ambedkar Dal
625,Bharatiya Majdoor Janta Party
626,Bharatiya Bahujan Parivartan Party
627,Rashtriya Janta Party
628,Bharatrashtra Democratic Party
629,Jai Hind Samaj Party
630,Annadata Party
631,Bharatiya Sampuran Krantikari Party
632,Mazdoor Dalit Kisaan Mahila Gareeb Party (Hin
633,Bundelkhand Kranti Dal
634,RASHTRIYA VIKLANG PARTY
635,Rashtriya Jan Gaurav Party
636,Rashtriya Lok Sarvadhikar Party
637,Aadarsh Sangram Party
638,Rashtravadi Party (Bharat)
639,Bharatiya Rashtravadi Samanta Party
640,Kamatapur Peoples Party (United)
641,Rashtriya Janadhikar Suraksha Party
642,Rashtriya Janasachetan Party
643,New Democratic Party of India
644,Bharatiya Nyay-Adhikar Raksha Party
645,Party for Democratic Socialism
646,Gorkha Rashtriya Congress
647,Welfare Party Of India
648,Mulnibasi Party of India
649,All India Jana Andolan Party
650,Bharateeya Manavadhikar party
651,Indian Unity Centre
652,Akhil Bhartiya Jharkhand Party
653,Rashtriya Ahinsa Manch
654,Jamat-E-Seratul Mustakim
655,All India Labour Party
656,Jan Sangh Party
657,Jharkhand Anushilan Party
658,Samajwadi Jan Parishad
659,Samajtantric Party of India
660,Uttarakhand Kranti Dal (Democratic)
661,Sarv Vikas Party
662,UKD
663,Pragatisheel Lok Manch
664,UTTARAKHAND PARIVARTAN PARTY
665,Andaman Nicobar Democratic Congress
666,Jai Hindustan Party
667,Jatiya Jana Sena Party
668,Jai Bharat National Party
669,Liberation Congress Party
670,Republican Party of India (A)
671,Bharatha Chaitanya Yuvajana Party
672,Telugu Rajadhikara Samiti Party
673,Loktantrik Janta Dal
674,Indian Believers Party
675,United Republican Party of India
676,Jaibhim Rao Bharat Party
677,Naba Bharata Nirmana Seva Party
678,Bhartiya Rashtriya Dal
679,Republican Party of India
680,Social Democratic Party Of India
681,Jaathia Chethi Vruthula Ikya Vedika Party
682,Republican Party of India (Athawale)
683,Telugu Nava Garjana Party
684,All India Forward Bloc
685,All India Kisan Janatha party
686,Jana Sahayaka Sakthi
687,Andhra Pradesh Rashtra Samithi
688,Bharat Adivasi Party
689,All India Jaihind Party
690,National Maha Sabha Party
691,Radical Party of India (Ambedkarist)
692,Bharatheeya Jawan Kisan Party
693,Yuga Thulasi Party
694,Praja Prasthanam Party
695,Bengaluru Nava Nirmana Party
696,Arunachal Democratic Party
697,Gana Suraksha Party
698,All India United Democratic Front
699,Ekam Sanatan Bharat Dal
700,Bangali Nabanirman Sena
701,Assam Jatiya Parishad
702,Country Citizen Party
703,Samata Party
704,The Agrani Party
705,Bharat Jan Jagran Dal
706,Subhashwadi Bhartiya Samajwadi Party (Subhas Party)
707,Lok Janshakti Party(Ram Vilas)
708,Rashtriya Jan Jan Party
709,Janshakti Janta Dal
710,Hindustan Janta Party Secular
711,Samaj Shakti Party
712,Jagrook Janta Party
713,Jantantra Awaj Party
714,Loktantrik Samajwadi Party
715,Prabal Bharat Party
716,Hindustan Vikas Dal
