election_year,State,Constituency,constituency_type,Party,Candidate,EVM_votes,Postal Votes,Total Votes,rank,units,Age,Gender
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Bharatiya Janata Party,BISHNU PADA RAY,102182.0,254.0,102436.0,1,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Indian National Congress,KULDEEP RAI SHARMA,77829.0,211.0,78040.0,2,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Andaman Nicobar Democratic Congress,MANOJ PAUL,8236.0,18.0,8254.0,3,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Communist Party of India (Marxist),D AYYAPPAN,6009.0,8.0,6017.0,4,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,V.K. ABDUL AZIZ,2195.0,8.0,2203.0,5,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,All India Anna Dravida Munnetra Kazhagam,K J B SELVARAJ,911.0,3.0,914.0,7,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Bahujan Samaj Party,DR ARUN KUMAR MALLIK,714.0,5.0,719.0,8,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,RINKU MALA MONDAL,539.0,3.0,542.0,9,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,K VENKAT RAM BABU,506.0,1.0,507.0,10,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,USHA KUMARI,378.0,2.0,380.0,11,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Socialist Unity Centre Of India (COMMUNIST),SALAMAT MONDAL,349.0,2.0,351.0,12,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,ANAND RAMNATH ARLEKAR,342.0,,342.0,13,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Yuvajana Sramika Rythu Congress Party,GUMMA THANUJA RANI,471470.0,5535.0,477005.0,1,"EVM_votes, postal_votes, total_votes in absolute number",31.0,F
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bharatiya Janata Party,KOTHAPALLI GEETHA,417113.0,9312.0,426425.0,2,"EVM_votes, postal_votes, total_votes in absolute number",53.0,F
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Communist Party of India (Marxist),APPALANARASA PACHIPENTA,119016.0,4113.0,123129.0,3,"EVM_votes, postal_votes, total_votes in absolute number",41.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bahujan Samaj Party,AVASHYA LAHARI . VARAM,24858.0,892.0,25750.0,5,"EVM_votes, postal_votes, total_votes in absolute number",30.0,F
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,SAMAREDDY BALAKRISHNA,9493.0,42.0,9535.0,6,"EVM_votes, postal_votes, total_votes in absolute number",48.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,NIMMAKA JAYARAJU,8798.0,664.0,9462.0,7,"EVM_votes, postal_votes, total_votes in absolute number",64.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,ATHIDHI,8121.0,15.0,8136.0,8,"EVM_votes, postal_votes, total_votes in absolute number",32.0,F
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Jai Bharat National Party,CHANTI BADNAINA,7205.0,47.0,7252.0,9,"EVM_votes, postal_votes, total_votes in absolute number",28.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bharat Adivasi Party,MOTTADAM . RAJABABU,6370.0,396.0,6766.0,10,"EVM_votes, postal_votes, total_votes in absolute number",47.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,RANJITH KUMAR PALAKA,6000.0,47.0,6047.0,11,"EVM_votes, postal_votes, total_votes in absolute number",42.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Telugu Rajadhikara Samiti Party,RAMBABU JALLI,4933.0,26.0,4959.0,13,"EVM_votes, postal_votes, total_votes in absolute number",45.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,MANDALA GIRIDHARA RAO,4931.0,36.0,4967.0,12,"EVM_votes, postal_votes, total_votes in absolute number",42.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,India Praja Bandhu Party,VUYAKA NIREEKSHAN (V. CHENCHU),4500.0,42.0,4542.0,14,"EVM_votes, postal_votes, total_votes in absolute number",43.0,M
2024,Andhra Pradesh,Srikakulam,General,Telugu Desam,KINJARAPU RAMMOHAN NAIDU,734501.0,19827.0,754328.0,1,"EVM_votes, postal_votes, total_votes in absolute number",36.0,M
2024,Andhra Pradesh,Srikakulam,General,Yuvajana Sramika Rythu Congress Party,TILAK PERADA,420394.0,6033.0,426427.0,2,"EVM_votes, postal_votes, total_votes in absolute number",50.0,M
2024,Andhra Pradesh,Srikakulam,General,Indian National Congress,PEDADA PARAMESWARA RAO,6724.0,448.0,7172.0,4,"EVM_votes, postal_votes, total_votes in absolute number",59.0,M
2024,Andhra Pradesh,Srikakulam,General,Independent,SANAPALA SRAVAN KUMAR,5950.0,8.0,5958.0,5,"EVM_votes, postal_votes, total_votes in absolute number",38.0,M
2024,Andhra Pradesh,Srikakulam,General,Bahujan Samaj Party,NAIDUGARI RAJASEKHAR,4661.0,81.0,4742.0,6,"EVM_votes, postal_votes, total_votes in absolute number",40.0,M
2024,Andhra Pradesh,Srikakulam,General,Independent,VABA YOGESWARA RAO,3472.0,126.0,3598.0,7,"EVM_votes, postal_votes, total_votes in absolute number",39.0,M
2024,Andhra Pradesh,Srikakulam,General,Independent,BETHA VIVEKANANDA MAHARAJ,2523.0,13.0,2536.0,8,"EVM_votes, postal_votes, total_votes in absolute number",38.0,M
2024,Andhra Pradesh,Srikakulam,General,Independent,YEDDU LAKSHMINARAYANA,1598.0,7.0,1605.0,9,"EVM_votes, postal_votes, total_votes in absolute number",66.0,M
2024,Andhra Pradesh,Srikakulam,General,Bharatha Chaitanya Yuvajana Party,BORUBADRA CHANDRAKALA,1315.0,42.0,1357.0,10,"EVM_votes, postal_votes, total_votes in absolute number",37.0,F
2024,Andhra Pradesh,Srikakulam,General,Jai Bharat National Party,IPPILI SEETHARAJU,1080.0,50.0,1130.0,11,"EVM_votes, postal_votes, total_votes in absolute number",47.0,M
2024,Andhra Pradesh,Srikakulam,General,Navarang Congress Party,KAYA DURGARAO,811.0,7.0,818.0,12,"EVM_votes, postal_votes, total_votes in absolute number",34.0,M
2024,Andhra Pradesh,Srikakulam,General,Independent,CHELLURI DANIYAL,796.0,20.0,816.0,13,"EVM_votes, postal_votes, total_votes in absolute number",49.0,M
2024,Andhra Pradesh,Srikakulam,General,Pyramid Party of India,BOMMALI TIRUPATI RAO,589.0,5.0,594.0,14,"EVM_votes, postal_votes, total_votes in absolute number",29.0,M
2024,Andhra Pradesh,Vizianagaram,General,Telugu Desam,APPALANAIDU KALISETTI,729284.0,13829.0,743113.0,1,"EVM_votes, postal_votes, total_votes in absolute number",50.0,M
2024,Andhra Pradesh,Vizianagaram,General,Yuvajana Sramika Rythu Congress Party,BELLANA CHANDRASEKHAR,487691.0,6071.0,493762.0,2,"EVM_votes, postal_votes, total_votes in absolute number",62.0,M
2024,Andhra Pradesh,Vizianagaram,General,Indian National Congress,BOBBILI SRINU,10270.0,353.0,10623.0,4,"EVM_votes, postal_votes, total_votes in absolute number",33.0,M
2024,Andhra Pradesh,Vizianagaram,General,Bahujan Samaj Party,PEERUBANDI PRAKASH RAO,7985.0,53.0,8038.0,5,"EVM_votes, postal_votes, total_votes in absolute number",69.0,M
2024,Andhra Pradesh,Vizianagaram,General,Independent,VELURI VENKATA TRINADHARAO,4146.0,6.0,4152.0,6,"EVM_votes, postal_votes, total_votes in absolute number",58.0,M
2024,Andhra Pradesh,Vizianagaram,General,Independent,ALLU SRIRAMULU,3396.0,5.0,3401.0,7,"EVM_votes, postal_votes, total_votes in absolute number",48.0,M
2024,Andhra Pradesh,Vizianagaram,General,Independent,SIYYADULA YELLA RAO,3105.0,2.0,3107.0,8,"EVM_votes, postal_votes, total_votes in absolute number",42.0,M
2024,Andhra Pradesh,Vizianagaram,General,Yuga Thulasi Party,SRINIVASA RAO SAMBHANA,1758.0,3.0,1761.0,9,"EVM_votes, postal_votes, total_votes in absolute number",45.0,M
2024,Andhra Pradesh,Vizianagaram,General,Independent,MARISERLA KRISHNAMURTHY NAIDU,1617.0,12.0,1629.0,10,"EVM_votes, postal_votes, total_votes in absolute number",50.0,M
2024,Andhra Pradesh,Vizianagaram,General,Naba Bharata Nirmana Seva Party,VANGAPANDU MAHESWARA RAO,1544.0,9.0,1553.0,11,"EVM_votes, postal_votes, total_votes in absolute number",37.0,M
2024,Andhra Pradesh,Vizianagaram,General,Jaibhim Rao Bharat Party,CHINNAM ARUNA KUMAR,1401.0,10.0,1411.0,12,"EVM_votes, postal_votes, total_votes in absolute number",46.0,M
2024,Andhra Pradesh,Vizianagaram,General,Samajwadi Party,ATCHIYYA NAIDU SAMIREDDY,1059.0,11.0,1070.0,13,"EVM_votes, postal_votes, total_votes in absolute number",55.0,M
2024,Andhra Pradesh,Vizianagaram,General,Independent,ADINARAYANA TADDI,855.0,1.0,856.0,14,"EVM_votes, postal_votes, total_votes in absolute number",61.0,M
2024,Andhra Pradesh,Vizianagaram,General,Independent,P V A ANANDA SAGAR,787.0,4.0,791.0,15,"EVM_votes, postal_votes, total_votes in absolute number",60.0,M
2024,Andhra Pradesh,Vizianagaram,General,Pyramid Party of India,SAKHINETI ANANTHA RAJU,715.0,10.0,725.0,16,"EVM_votes, postal_votes, total_votes in absolute number",50.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Telugu Desam,SRIBHARAT MATHUKUMILI,893884.0,13583.0,907467.0,1,"EVM_votes, postal_votes, total_votes in absolute number",35.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Yuvajana Sramika Rythu Congress Party,JHANSI LAKSHMI. BOTCHA.,397821.0,5399.0,403220.0,2,"EVM_votes, postal_votes, total_votes in absolute number",61.0,F
2024,Andhra Pradesh,Visakhapatnam,General,Indian National Congress,P. SATYA REDDY,29430.0,837.0,30267.0,3,"EVM_votes, postal_votes, total_votes in absolute number",52.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Praja Shanthi Party,K.A. PAUL,7529.0,167.0,7696.0,4,"EVM_votes, postal_votes, total_votes in absolute number",60.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Bahujan Samaj Party,PEDAPENKI SIVA PRASADA RAO,6006.0,85.0,6091.0,5,"EVM_votes, postal_votes, total_votes in absolute number",57.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Navarang Congress Party,BIKKAVOLU. CHALAMAJI,4883.0,1.0,4884.0,7,"EVM_votes, postal_votes, total_votes in absolute number",43.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Rashtriya Praja Congress (Secular),V.N. SATYA NARAYANA,2534.0,3.0,2537.0,8,"EVM_votes, postal_votes, total_votes in absolute number",44.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,ARUNA SRI MURALA,1991.0,2.0,1993.0,9,"EVM_votes, postal_votes, total_votes in absolute number",53.0,F
2024,Andhra Pradesh,Visakhapatnam,General,Independent,VASUPILLI SURESH,1931.0,2.0,1933.0,10,"EVM_votes, postal_votes, total_votes in absolute number",54.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,SONDI KRISHNA.,1811.0,7.0,1818.0,11,"EVM_votes, postal_votes, total_votes in absolute number",52.0,M
2024,Andhra Pradesh,Visakhapatnam,General,India Praja Bandhu Party,ANDUKURI VIJAYA BHASKAR,1098.0,11.0,1109.0,12,"EVM_votes, postal_votes, total_votes in absolute number",55.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Republican Party of India (A),DR. GANAPATHI KONGARAPU.,944.0,6.0,950.0,13,"EVM_votes, postal_votes, total_votes in absolute number",42.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Dalita Bahujana Party,BANNA. RAMESH,941.0,7.0,948.0,14,"EVM_votes, postal_votes, total_votes in absolute number",49.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Pyramid Party of India,P. SATYA VANI,875.0,7.0,882.0,15,"EVM_votes, postal_votes, total_votes in absolute number",53.0,F
2024,Andhra Pradesh,Visakhapatnam,General,Bhartiya Rashtriya Dal,DURGA PRASAD. GUNTU,760.0,7.0,767.0,16,"EVM_votes, postal_votes, total_votes in absolute number",57.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,CHAPPIDI RAMU,756.0,1.0,757.0,17,"EVM_votes, postal_votes, total_votes in absolute number",49.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,M.G.M. KHAN,738.0,4.0,742.0,18,"EVM_votes, postal_votes, total_votes in absolute number",37.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,SHANKAR DEVARA YADAV,656.0,5.0,661.0,19,"EVM_votes, postal_votes, total_votes in absolute number",26.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,VENU MADHAV KARRI,646.0,1.0,647.0,20,"EVM_votes, postal_votes, total_votes in absolute number",48.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Bharatha Chaitanya Yuvajana Party,DR. ACHUTHA BALAJI YADAV (MURAPALA),628.0,10.0,638.0,21,"EVM_votes, postal_votes, total_votes in absolute number",39.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Praja Prasthanam Party,THOTA VENKATA SAI MUKUND,628.0,5.0,633.0,22,"EVM_votes, postal_votes, total_votes in absolute number",29.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,PIDIDHI APPARAO,576.0,4.0,580.0,23,"EVM_votes, postal_votes, total_votes in absolute number",44.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,G.A.N. ANAND,543.0,,543.0,24,"EVM_votes, postal_votes, total_votes in absolute number",38.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,VADDI. HARI GANESH,518.0,2.0,520.0,25,"EVM_votes, postal_votes, total_votes in absolute number",42.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,JANARDHAN PONNADA.,499.0,1.0,500.0,26,"EVM_votes, postal_votes, total_votes in absolute number",31.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Jai Maha Bharath Party,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),494.0,6.0,500.0,26,"EVM_votes, postal_votes, total_votes in absolute number",49.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Samajwadi Party,JALADI VIJAYA KUMARI,463.0,3.0,466.0,28,"EVM_votes, postal_votes, total_votes in absolute number",52.0,F
2024,Andhra Pradesh,Visakhapatnam,General,Naba Bharata Nirmana Seva Party,CHINTADA SURYAM,443.0,5.0,448.0,29,"EVM_votes, postal_votes, total_votes in absolute number",56.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Navataram Party,GANDIKOTA RAJESH,392.0,1.0,393.0,30,"EVM_votes, postal_votes, total_votes in absolute number",43.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,KOLLI NAGA RAJU,322.0,7.0,329.0,31,"EVM_votes, postal_votes, total_votes in absolute number",38.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,METTA RAMA RAO,320.0,6.0,326.0,32,"EVM_votes, postal_votes, total_votes in absolute number",58.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,LAGUDU. GOVINDA RAO,293.0,1.0,294.0,33,"EVM_votes, postal_votes, total_votes in absolute number",44.0,M
2024,Andhra Pradesh,Visakhapatnam,General,Independent,MALLA SRAVANI,271.0,2.0,273.0,34,"EVM_votes, postal_votes, total_votes in absolute number",51.0,F
2024,Andhra Pradesh,Anakapalle,General,Bharatiya Janata Party,C.M.RAMESH,750027.0,12042.0,762069.0,1,"EVM_votes, postal_votes, total_votes in absolute number",58.0,M
2024,Andhra Pradesh,Anakapalle,General,Yuvajana Sramika Rythu Congress Party,BUDI MUTYALA NAIDU,459762.0,5777.0,465539.0,2,"EVM_votes, postal_votes, total_votes in absolute number",60.0,M
2024,Andhra Pradesh,Anakapalle,General,Indian National Congress,VEGI VENKATESH,24833.0,818.0,25651.0,4,"EVM_votes, postal_votes, total_votes in absolute number",50.0,M
2024,Andhra Pradesh,Anakapalle,General,Bahujan Samaj Party,PALAKA SREERAMA MURTHY,19082.0,75.0,19157.0,5,"EVM_votes, postal_votes, total_votes in absolute number",54.0,M
2024,Andhra Pradesh,Anakapalle,General,Independent,VANKAYALA RAMACHANDRA RAO,4001.0,1.0,4002.0,6,"EVM_votes, postal_votes, total_votes in absolute number",70.0,M
2024,Andhra Pradesh,Anakapalle,General,Independent,LOVARAJU SIDDHA,3845.0,7.0,3852.0,7,"EVM_votes, postal_votes, total_votes in absolute number",36.0,M
2024,Andhra Pradesh,Anakapalle,General,Dalita Bahujana Party,KRISHNA SWAROOP VADLAMURI,3549.0,8.0,3557.0,8,"EVM_votes, postal_votes, total_votes in absolute number",50.0,M
2024,Andhra Pradesh,Anakapalle,General,Independent,GARA SURYA RAO,3116.0,8.0,3124.0,9,"EVM_votes, postal_votes, total_votes in absolute number",70.0,M
2024,Andhra Pradesh,Anakapalle,General,Bharatha Chaitanya Yuvajana Party,APPALA RAJU NAMMI,2589.0,30.0,2619.0,10,"EVM_votes, postal_votes, total_votes in absolute number",54.0,M
2024,Andhra Pradesh,Anakapalle,General,Independent,NAGESWARA RAO PETLA,2179.0,5.0,2184.0,11,"EVM_votes, postal_votes, total_votes in absolute number",60.0,M
2024,Andhra Pradesh,Anakapalle,General,Jai Bharat National Party,ADARI SARAT CHANDRA,1886.0,27.0,1913.0,12,"EVM_votes, postal_votes, total_votes in absolute number",39.0,M
2024,Andhra Pradesh,Anakapalle,General,Pyramid Party of India,VIJAYA LAKSHMI KARRI,1578.0,13.0,1591.0,13,"EVM_votes, postal_votes, total_votes in absolute number",43.0,F
2024,Andhra Pradesh,Anakapalle,General,Independent,DR. THUMMAPALA HARI SHANKAR,1567.0,9.0,1576.0,14,"EVM_votes, postal_votes, total_votes in absolute number",35.0,M
2024,Andhra Pradesh,Anakapalle,General,Independent,JUNNURI J SRINIVAS,1195.0,6.0,1201.0,15,"EVM_votes, postal_votes, total_votes in absolute number",54.0,M
2024,Andhra Pradesh,Anakapalle,General,Independent,APPALANAIDU TUMMAGUNTA,1055.0,7.0,1062.0,16,"EVM_votes, postal_votes, total_votes in absolute number",42.0,M
2024,Andhra Pradesh,Kakinada,General,Janasena Party,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),718971.0,10728.0,729699.0,1,"EVM_votes, postal_votes, total_votes in absolute number",38.0,M
2024,Andhra Pradesh,Kakinada,General,Yuvajana Sramika Rythu Congress Party,CHALAMALASETTY SUNIL,495188.0,5020.0,500208.0,2,"EVM_votes, postal_votes, total_votes in absolute number",54.0,M
2024,Andhra Pradesh,Kakinada,General,Indian National Congress,MALLIPUDI MANGAPATI PALLAM RAJU,20258.0,851.0,21109.0,3,"EVM_votes, postal_votes, total_votes in absolute number",56.0,M
2024,Andhra Pradesh,Kakinada,General,Navarang Congress Party,UDAY,15578.0,125.0,15703.0,5,"EVM_votes, postal_votes, total_votes in absolute number",38.0,M
2024,Andhra Pradesh,Kakinada,General,Bahujan Samaj Party,KANDREGULA NARASIMHAM,11916.0,63.0,11979.0,6,"EVM_votes, postal_votes, total_votes in absolute number",55.0,M
2024,Andhra Pradesh,Kakinada,General,Bharatha Chaitanya Yuvajana Party,DR ANUSHA YADAV,9818.0,36.0,9854.0,7,"EVM_votes, postal_votes, total_votes in absolute number",25.0,F
2024,Andhra Pradesh,Kakinada,General,Jatiya Jana Sena Party,TANGELLA SRINIVASU,6516.0,43.0,6559.0,8,"EVM_votes, postal_votes, total_votes in absolute number",32.0,M
2024,Andhra Pradesh,Kakinada,General,Republican Party of India (A),YEDIDA VARA PRASAD KUMAR,3924.0,3.0,3927.0,9,"EVM_votes, postal_votes, total_votes in absolute number",55.0,M
2024,Andhra Pradesh,Kakinada,General,Communist Party of India (Marxist-Leninist) (Liberation),BUGATHA BANGARRAO,2816.0,7.0,2823.0,10,"EVM_votes, postal_votes, total_votes in absolute number",63.0,M
2024,Andhra Pradesh,Kakinada,General,Independent,SUDHA VEERA GANESH,2645.0,2.0,2647.0,11,"EVM_votes, postal_votes, total_votes in absolute number",33.0,M
2024,Andhra Pradesh,Kakinada,General,Independent,BHAVANI SANKAR PRASAD MERLA,1963.0,6.0,1969.0,12,"EVM_votes, postal_votes, total_votes in absolute number",64.0,M
2024,Andhra Pradesh,Kakinada,General,Jaibhim Rao Bharat Party,YENUGUPALLI KRISHNA,1762.0,18.0,1780.0,13,"EVM_votes, postal_votes, total_votes in absolute number",44.0,M
2024,Andhra Pradesh,Kakinada,General,Independent,BODDETI APPARAO,1687.0,,1687.0,14,"EVM_votes, postal_votes, total_votes in absolute number",31.0,M
2024,Andhra Pradesh,Kakinada,General,Independent,NEELAKANTAM DONAM,1401.0,11.0,1412.0,15,"EVM_votes, postal_votes, total_votes in absolute number",52.0,M
2024,Andhra Pradesh,Kakinada,General,Independent,PASUPULETI S.V.S.BHUSHANAM,1222.0,5.0,1227.0,16,"EVM_votes, postal_votes, total_votes in absolute number",53.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Telugu Desam,G M HARISH (BALAYOGI),786149.0,10832.0,796981.0,1,"EVM_votes, postal_votes, total_votes in absolute number",33.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Yuvajana Sramika Rythu Congress Party,RAPAKA VARAPRASADA RAO,450362.0,4423.0,454785.0,2,"EVM_votes, postal_votes, total_votes in absolute number",65.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Indian National Congress,GOUTHAM JANGA,14523.0,559.0,15082.0,3,"EVM_votes, postal_votes, total_votes in absolute number",54.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Bahujan Samaj Party,DORABABU YALLA,5202.0,186.0,5388.0,5,"EVM_votes, postal_votes, total_votes in absolute number",59.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Telugu Nava Garjana Party,KATRU NAGA BABU,3736.0,5.0,3741.0,6,"EVM_votes, postal_votes, total_votes in absolute number",30.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Independent,VADDI LALITH KUMAR,2974.0,3.0,2977.0,7,"EVM_votes, postal_votes, total_votes in absolute number",64.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Independent,MAKEY DAVY PRASAD,2104.0,7.0,2111.0,8,"EVM_votes, postal_votes, total_votes in absolute number",71.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Independent,GUDE VENKATESWARULU,1741.0,4.0,1745.0,9,"EVM_votes, postal_votes, total_votes in absolute number",51.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Jatiya Jana Sena Party,RAMESH JILLELLA,866.0,6.0,872.0,10,"EVM_votes, postal_votes, total_votes in absolute number",28.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Jaibhim Rao Bharat Party,YALANGI RAMESH,738.0,2.0,740.0,11,"EVM_votes, postal_votes, total_votes in absolute number",61.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Pyramid Party of India,MATHA KRISHNA,718.0,1.0,719.0,13,"EVM_votes, postal_votes, total_votes in absolute number",39.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Republican Party of India,GIDDI JNANA PRAKASA RAO,717.0,9.0,726.0,12,"EVM_votes, postal_votes, total_votes in absolute number",62.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Liberation Congress Party,YADLA RAJESH,628.0,7.0,635.0,14,"EVM_votes, postal_votes, total_votes in absolute number",32.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Republican Party of India (A),KAPA KALYAN,579.0,2.0,581.0,15,"EVM_votes, postal_votes, total_votes in absolute number",47.0,M
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Peoples Party of India (Democratic),PATHURI RAMESH,502.0,3.0,505.0,16,"EVM_votes, postal_votes, total_votes in absolute number",39.0,M
2024,Andhra Pradesh,Rajahmundry,General,Bharatiya Janata Party,DAGGUBATI PURANDHESHWARI,718641.0,7874.0,726515.0,1,"EVM_votes, postal_votes, total_votes in absolute number",67.0,F
2024,Andhra Pradesh,Rajahmundry,General,Yuvajana Sramika Rythu Congress Party,DR. GUDURI SRINIVAS,483172.0,4204.0,487376.0,2,"EVM_votes, postal_votes, total_votes in absolute number",60.0,M
2024,Andhra Pradesh,Rajahmundry,General,Indian National Congress,GIDUGU RUDRARAJU,31441.0,1067.0,32508.0,3,"EVM_votes, postal_votes, total_votes in absolute number",55.0,M
2024,Andhra Pradesh,Rajahmundry,General,Bahujan Samaj Party,GANESWARA RAO PARAMATA,20277.0,132.0,20409.0,5,"EVM_votes, postal_votes, total_votes in absolute number",62.0,M
2024,Andhra Pradesh,Rajahmundry,General,Navarang Congress Party,BATTULA BALARAMAKRISHNA,16930.0,78.0,17008.0,6,"EVM_votes, postal_votes, total_votes in absolute number",31.0,M
2024,Andhra Pradesh,Rajahmundry,General,Independent,SALOPANTULA RAGHAVENDRA RAO,3261.0,17.0,3278.0,7,"EVM_votes, postal_votes, total_votes in absolute number",50.0,M
2024,Andhra Pradesh,Rajahmundry,General,Independent,DR. MEDISI RATNARAO ALIAS VINAY,3109.0,6.0,3115.0,8,"EVM_votes, postal_votes, total_votes in absolute number",45.0,M
2024,Andhra Pradesh,Rajahmundry,General,Jai Bharat National Party,MOHANARAO SINGULURI,2818.0,15.0,2833.0,9,"EVM_votes, postal_votes, total_votes in absolute number",35.0,M
2024,Andhra Pradesh,Rajahmundry,General,Rashtriya Praja Congress (Secular),MEDA SRINIVASA RAO,2422.0,7.0,2429.0,10,"EVM_votes, postal_votes, total_votes in absolute number",54.0,M
2024,Andhra Pradesh,Rajahmundry,General,Independent,BOMMANABOINA VSR MURTHY,2173.0,6.0,2179.0,11,"EVM_votes, postal_votes, total_votes in absolute number",67.0,M
2024,Andhra Pradesh,Rajahmundry,General,Independent,BHANU CHANDAR KURUVELLA,1955.0,3.0,1958.0,12,"EVM_votes, postal_votes, total_votes in absolute number",39.0,M
2024,Andhra Pradesh,Rajahmundry,General,Independent,JALLI BALA NAVEENA,1250.0,4.0,1254.0,13,"EVM_votes, postal_votes, total_votes in absolute number",43.0,F
2024,Andhra Pradesh,Narsapuram,General,Bharatiya Janata Party,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),699382.0,7961.0,707343.0,1,"EVM_votes, postal_votes, total_votes in absolute number",56.0,M
2024,Andhra Pradesh,Narsapuram,General,Yuvajana Sramika Rythu Congress Party,UMABALA GUDURI,426037.0,4504.0,430541.0,2,"EVM_votes, postal_votes, total_votes in absolute number",57.0,F
2024,Andhra Pradesh,Narsapuram,General,Indian National Congress,K.B.R.NAIDU,34298.0,915.0,35213.0,3,"EVM_votes, postal_votes, total_votes in absolute number",64.0,M
