State,Constituency_No,Constituency,Party,Candidate Name,Gender,Age
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,V.K. ABDUL AZIZ,M,42
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,USHA KUMARI,F,39
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,RINKU MALA MONDAL,F,36
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Indian National Congress,KULDEEP RAI SHARMA,M,56
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,ANAND RAMNATH ARLEKAR,M,58
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,K VENKAT RAM BABU,M,50
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Socialist Unity Centre Of India (COMMUNIST),SALAMAT MONDAL,M,48
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,All India Anna Dravida Munnetra Kazhagam,K J B SELVARAJ,M,50
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Andaman Nicobar Democratic Congress,MANOJ PAUL,M,35
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Communist Party of India  (Marxist),D AYYAPPAN,M,60
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Bahujan Samaj Party,DR ARUN KUMAR MALLIK,M,64
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Bharatiya Janata Party,BISHNU PADA RAY,M,73
Andhra Pradesh,1,Araku (ST),Bharatiya Janata Party,KOTHAPALLI GEETHA,F,53
Andhra Pradesh,1,Araku (ST),Independent,SAMAREDDY BALAKRISHNA,M,48
Andhra Pradesh,1,Araku (ST),Independent,ATHIDHI,F,32
Andhra Pradesh,1,Araku (ST),Independent,MANDALA GIRIDHARA RAO,M,42
Andhra Pradesh,1,Araku (ST),Bharat Adivasi Party,MOTTADAM . RAJABABU,M,47
Andhra Pradesh,1,Araku (ST),India Praja Bandhu Party,VUYAKA NIREEKSHAN  (V. CHENCHU),M,43
Andhra Pradesh,1,Araku (ST),Independent,NIMMAKA JAYARAJU,M,64
Andhra Pradesh,1,Araku (ST),Communist Party of India  (Marxist),APPALANARASA PACHIPENTA,M,41
Andhra Pradesh,1,Araku (ST),Yuvajana Sramika Rythu Congress Party,GUMMA THANUJA RANI,F,31
Andhra Pradesh,1,Araku (ST),Jai Bharat National Party,CHANTI BADNAINA,M,28
Andhra Pradesh,1,Araku (ST),Telugu Rajadhikara Samiti Party,RAMBABU JALLI,M,45
Andhra Pradesh,1,Araku (ST),Bahujan Samaj Party,AVASHYA LAHARI . VARAM,F,30
Andhra Pradesh,1,Araku (ST),Independent,RANJITH KUMAR PALAKA,M,42
Andhra Pradesh,2,Srikakulam,Indian National Congress,PEDADA PARAMESWARA RAO,M,59
Andhra Pradesh,2,Srikakulam,Independent,SANAPALA SRAVAN KUMAR,M,38
Andhra Pradesh,2,Srikakulam,Bharatha Chaitanya Yuvajana Party,BORUBADRA CHANDRAKALA,F,37
Andhra Pradesh,2,Srikakulam,Telugu Desam,KINJARAPU RAMMOHAN NAIDU,M,36
Andhra Pradesh,2,Srikakulam,Independent,BETHA VIVEKANANDA MAHARAJ,M,38
Andhra Pradesh,2,Srikakulam,Navarang Congress Party,KAYA DURGARAO,M,34
Andhra Pradesh,2,Srikakulam,Independent,VABA YOGESWARA RAO,M,39
Andhra Pradesh,2,Srikakulam,Pyramid Party of India,BOMMALI TIRUPATI RAO,M,29
Andhra Pradesh,2,Srikakulam,Yuvajana Sramika Rythu Congress Party,TILAK PERADA,M,50
Andhra Pradesh,2,Srikakulam,Independent,CHELLURI DANIYAL,M,49
Andhra Pradesh,2,Srikakulam,Jai Bharat National Party,IPPILI SEETHARAJU,M,47
Andhra Pradesh,2,Srikakulam,Independent,YEDDU LAKSHMINARAYANA,M,66
Andhra Pradesh,2,Srikakulam,Bahujan Samaj Party,NAIDUGARI RAJASEKHAR,M,40
Andhra Pradesh,3,Vizianagaram,Independent,ADINARAYANA TADDI,M,61
Andhra Pradesh,3,Vizianagaram,Independent,ALLU SRIRAMULU,M,48
Andhra Pradesh,3,Vizianagaram,Telugu Desam,APPALANAIDU KALISETTI,M,50
Andhra Pradesh,3,Vizianagaram,Independent,MARISERLA KRISHNAMURTHY NAIDU,M,50
Andhra Pradesh,3,Vizianagaram,Yuvajana Sramika Rythu Congress Party,BELLANA CHANDRASEKHAR,M,62
Andhra Pradesh,3,Vizianagaram,Naba Bharata Nirmana Seva Party,VANGAPANDU MAHESWARA RAO,M,37
Andhra Pradesh,3,Vizianagaram,Indian National Congress,BOBBILI SRINU,M,33
Andhra Pradesh,3,Vizianagaram,Jaibhim Rao Bharat Party,CHINNAM ARUNA KUMAR,M,46
Andhra Pradesh,3,Vizianagaram,Independent,VELURI VENKATA TRINADHARAO,M,58
Andhra Pradesh,3,Vizianagaram,Pyramid Party of India,SAKHINETI ANANTHA RAJU,M,50
Andhra Pradesh,3,Vizianagaram,Independent,P V A ANANDA SAGAR,M,60
Andhra Pradesh,3,Vizianagaram,Bahujan Samaj Party,PEERUBANDI PRAKASH RAO,M,69
Andhra Pradesh,3,Vizianagaram,Samajwadi Party,ATCHIYYA NAIDU SAMIREDDY,M,55
Andhra Pradesh,3,Vizianagaram,Independent,SIYYADULA YELLA RAO,M,42
Andhra Pradesh,3,Vizianagaram,Yuga Thulasi Party,SRINIVASA RAO SAMBHANA,M,45
Andhra Pradesh,4,Visakhapatnam,India Praja Bandhu Party,ANDUKURI VIJAYA BHASKAR,M,55
Andhra Pradesh,4,Visakhapatnam,Independent,PIDIDHI APPARAO,M,44
Andhra Pradesh,4,Visakhapatnam,Independent,ARUNA SRI MURALA,F,53
Andhra Pradesh,4,Visakhapatnam,Independent,JANARDHAN PONNADA.,M,31
Andhra Pradesh,4,Visakhapatnam,Telugu Desam,SRIBHARAT MATHUKUMILI,M,35
Andhra Pradesh,4,Visakhapatnam,Navarang Congress Party,BIKKAVOLU. CHALAMAJI,M,43
Andhra Pradesh,4,Visakhapatnam,Independent,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),M,49
Andhra Pradesh,4,Visakhapatnam,Bharatha Chaitanya Yuvajana Party,DR. ACHUTHA BALAJI YADAV (MURAPALA),M,39
Andhra Pradesh,4,Visakhapatnam,Independent,VASUPILLI SURESH,M,54
Andhra Pradesh,4,Visakhapatnam,Independent,LAGUDU. GOVINDA RAO,M,44
Andhra Pradesh,4,Visakhapatnam,Independent,KOLLI NAGA RAJU,M,38
Andhra Pradesh,4,Visakhapatnam,Independent,SHANKAR DEVARA YADAV,M,26
Andhra Pradesh,4,Visakhapatnam,Jai Maha Bharath Party,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),M,49
Andhra Pradesh,4,Visakhapatnam,Yuvajana Sramika Rythu Congress Party,JHANSI LAKSHMI. BOTCHA.,F,61
Andhra Pradesh,4,Visakhapatnam,Rashtriya Praja Congress  (Secular),V.N. SATYA NARAYANA,M,44
Andhra Pradesh,4,Visakhapatnam,Independent,G.A.N. ANAND,M,38
Andhra Pradesh,4,Visakhapatnam,Samajwadi Party,JALADI VIJAYA KUMARI,F,52
Andhra Pradesh,4,Visakhapatnam,Independent,VENU MADHAV KARRI,M,48
Andhra Pradesh,4,Visakhapatnam,Pyramid Party of India,P. SATYA VANI,F,53
Andhra Pradesh,4,Visakhapatnam,Republican Party of India (A),DR. GANAPATHI KONGARAPU.,M,42
Andhra Pradesh,4,Visakhapatnam,Independent,METTA RAMA RAO,M,58
Andhra Pradesh,4,Visakhapatnam,Bahujan Samaj Party,PEDAPENKI SIVA PRASADA RAO,M,57
Andhra Pradesh,4,Visakhapatnam,Bhartiya Rashtriya Dal,DURGA PRASAD. GUNTU,M,57
Andhra Pradesh,4,Visakhapatnam,Praja Shanthi Party,K.A. PAUL,M,60
Andhra Pradesh,4,Visakhapatnam,Independent,MALLA SRAVANI,F,51
Andhra Pradesh,4,Visakhapatnam,Indian National Congress,P. SATYA REDDY,M,52
Andhra Pradesh,4,Visakhapatnam,Navataram Party,GANDIKOTA RAJESH,M,43
Andhra Pradesh,4,Visakhapatnam,Independent,VADDI. HARI GANESH,M,42
Andhra Pradesh,4,Visakhapatnam,Praja Prasthanam Party,THOTA VENKATA SAI MUKUND,M,29
Andhra Pradesh,4,Visakhapatnam,Naba Bharata Nirmana Seva Party,CHINTADA SURYAM,M,56
Andhra Pradesh,4,Visakhapatnam,Independent,CHAPPIDI RAMU,M,49
Andhra Pradesh,4,Visakhapatnam,Independent,M.G.M. KHAN,M,37
Andhra Pradesh,4,Visakhapatnam,Dalita Bahujana Party,BANNA. RAMESH,M,49
Andhra Pradesh,4,Visakhapatnam,Independent,SONDI KRISHNA.,M,52
Andhra Pradesh,5,Anakapalle,Independent,JUNNURI J SRINIVAS,M,54
Andhra Pradesh,5,Anakapalle,Independent,NAGESWARA RAO PETLA,M,60
Andhra Pradesh,5,Anakapalle,Bharatiya Janata Party,C.M.RAMESH,M,58
Andhra Pradesh,5,Anakapalle,Bharatha Chaitanya Yuvajana Party,APPALA RAJU NAMMI,M,54
Andhra Pradesh,5,Anakapalle,Bahujan Samaj Party,PALAKA SREERAMA MURTHY,M,54
Andhra Pradesh,5,Anakapalle,Yuvajana Sramika Rythu Congress Party,BUDI MUTYALA NAIDU,M,60
Andhra Pradesh,5,Anakapalle,Dalita Bahujana Party,KRISHNA SWAROOP VADLAMURI,M,50
Andhra Pradesh,5,Anakapalle,Independent,APPALANAIDU TUMMAGUNTA,M,42
Andhra Pradesh,5,Anakapalle,Independent,DR. THUMMAPALA HARI  SHANKAR,M,35
Andhra Pradesh,5,Anakapalle,Indian National Congress,VEGI VENKATESH,M,50
Andhra Pradesh,5,Anakapalle,Independent,GARA SURYA RAO,M,70
Andhra Pradesh,5,Anakapalle,Pyramid Party of India,VIJAYA LAKSHMI KARRI,F,43
Andhra Pradesh,5,Anakapalle,Independent,VANKAYALA RAMACHANDRA RAO,M,70
Andhra Pradesh,5,Anakapalle,Independent,LOVARAJU SIDDHA,M,36
Andhra Pradesh,5,Anakapalle,Jai Bharat National Party,ADARI SARAT CHANDRA,M,39
Andhra Pradesh,6,Kakinada,Jaibhim Rao Bharat Party,YENUGUPALLI KRISHNA,M,44
Andhra Pradesh,6,Kakinada,Janasena Party,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),M,38
Andhra Pradesh,6,Kakinada,Independent,SUDHA VEERA GANESH,M,33
Andhra Pradesh,6,Kakinada,Bharatha Chaitanya Yuvajana Party,DR ANUSHA YADAV,F,25
Andhra Pradesh,6,Kakinada,Bahujan Samaj Party,KANDREGULA NARASIMHAM,M,55
Andhra Pradesh,6,Kakinada,Independent,NEELAKANTAM DONAM,M,52
Andhra Pradesh,6,Kakinada,Yuvajana Sramika Rythu Congress Party,CHALAMALASETTY SUNIL,M,54
Andhra Pradesh,6,Kakinada,Navarang Congress Party,UDAY,M,41
Andhra Pradesh,6,Kakinada,Communist Party of India  (Marxist-Leninist)  (Liberation),BUGATHA BANGARRAO,M,63
Andhra Pradesh,6,Kakinada,Jatiya Jana Sena Party,TANGELLA SRINIVASU,M,32
Andhra Pradesh,6,Kakinada,Indian National Congress,MALLIPUDI MANGAPATI PALLAM RAJU,M,56
Andhra Pradesh,6,Kakinada,Republican Party of India (A),YEDIDA VARA PRASAD KUMAR,M,55
Andhra Pradesh,6,Kakinada,Independent,BODDETI APPARAO,M,31
Andhra Pradesh,6,Kakinada,Independent,PASUPULETI S.V.S.BHUSHANAM,M,53
Andhra Pradesh,6,Kakinada,Independent,BHAVANI SANKAR PRASAD MERLA,M,64
Andhra Pradesh,7,Amalapuram (SC),Independent,VADDI LALITH KUMAR,M,64
Andhra Pradesh,7,Amalapuram (SC),Peoples Party of India (Democratic),PATHURI RAMESH,M,39
Andhra Pradesh,7,Amalapuram (SC),Telugu Desam,G M HARISH (BALAYOGI),M,33
Andhra Pradesh,7,Amalapuram (SC),Republican Party of India (A),KAPA KALYAN,M,47
Andhra Pradesh,7,Amalapuram (SC),Indian National Congress,GOUTHAM JANGA,M,54
Andhra Pradesh,7,Amalapuram (SC),Yuvajana Sramika Rythu Congress Party,RAPAKA VARAPRASADA RAO,M,65
Andhra Pradesh,7,Amalapuram (SC),Pyramid Party of India,MATHA KRISHNA,M,39
Andhra Pradesh,7,Amalapuram (SC),Jaibhim Rao Bharat Party,YALANGI RAMESH,M,61
Andhra Pradesh,7,Amalapuram (SC),Independent,MAKEY DAVY PRASAD,M,71
Andhra Pradesh,7,Amalapuram (SC),Jatiya Jana Sena Party,RAMESH JILLELLA,M,28
Andhra Pradesh,7,Amalapuram (SC),Republican Party of India,GIDDI JNANA PRAKASA RAO,M,62
Andhra Pradesh,7,Amalapuram (SC),Telugu Nava Garjana Party,KATRU NAGA BABU,M,30
Andhra Pradesh,7,Amalapuram (SC),Independent,GUDE VENKATESWARULU,M,51
Andhra Pradesh,7,Amalapuram (SC),Bahujan Samaj Party,DORABABU YALLA,M,59
Andhra Pradesh,7,Amalapuram (SC),Liberation Congress Party,YADLA RAJESH,M,32
Andhra Pradesh,8,Rajahmundry,Independent,JALLI BALA NAVEENA,F,43
Andhra Pradesh,8,Rajahmundry,Indian National Congress,GIDUGU RUDRARAJU,M,55
Andhra Pradesh,8,Rajahmundry,Independent,BOMMANABOINA VSR MURTHY,M,67
Andhra Pradesh,8,Rajahmundry,Jai Bharat National Party,MOHANARAO SINGULURI,M,35
Andhra Pradesh,8,Rajahmundry,Independent,SALOPANTULA RAGHAVENDRA RAO,M,50
Andhra Pradesh,8,Rajahmundry,Bharatiya Janata Party,DAGGUBATI PURANDHESHWARI,F,67
Andhra Pradesh,8,Rajahmundry,Yuvajana Sramika Rythu Congress Party,DR. GUDURI SRINIVAS,M,60
Andhra Pradesh,8,Rajahmundry,Navarang Congress Party,BATTULA BALARAMAKRISHNA,M,31
Andhra Pradesh,8,Rajahmundry,Independent,BHANU CHANDAR KURUVELLA,M,39
Andhra Pradesh,8,Rajahmundry,Bahujan Samaj Party,GANESWARA RAO PARAMATA,M,62
Andhra Pradesh,8,Rajahmundry,Independent,DR. MEDISI RATNARAO ALIAS VINAY,M,45
Andhra Pradesh,8,Rajahmundry,Rashtriya Praja Congress  (Secular),MEDA SRINIVASA RAO,M,54
Andhra Pradesh,9,Narsapuram,Bahujan Samaj Party,SIRRA RAJU,M,56
Andhra Pradesh,9,Narsapuram,Independent,NALLI RAJESH,M,41
Andhra Pradesh,9,Narsapuram,Independent,ADDANKI DORABABU,M,54
Andhra Pradesh,9,Narsapuram,Independent,ADABALA SIVA,M,40
Andhra Pradesh,9,Narsapuram,Independent,ADINARAYANA DUPPANAPUDI,M,46
Andhra Pradesh,9,Narsapuram,Independent,PRASANNA KUMAR UNDURTHI,M,33
Andhra Pradesh,9,Narsapuram,Indian National Congress,K.B.R.NAIDU,M,64
Andhra Pradesh,9,Narsapuram,Independent,BALAGAM NAYAKAR,M,51
Andhra Pradesh,9,Narsapuram,Republican Party of India (A),GANJI PURNIMA,F,41
Andhra Pradesh,9,Narsapuram,Independent,RUKHMINI,F,67
Andhra Pradesh,9,Narsapuram,Independent,GOTTUMUKKALA SHIVAJI,M,53
Andhra Pradesh,9,Narsapuram,Independent,GEDALA LAXMANA RAO,M,47
Andhra Pradesh,9,Narsapuram,Independent,ANAND CHANDULAL JASTI,M,68
Andhra Pradesh,9,Narsapuram,Bharatiya Janata Party,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),M,56
Andhra Pradesh,9,Narsapuram,Independent,ADDEPALLI VEERA VENKAT SUBBA RAO,M,36
Andhra Pradesh,9,Narsapuram,Independent,RAMA DURGA PRASAD THOLETI,M,36
Andhra Pradesh,9,Narsapuram,Yuvajana Sramika Rythu Congress Party,UMABALA GUDURI,F,57
Andhra Pradesh,9,Narsapuram,Independent,KETHA SREENU,M,43
Andhra Pradesh,9,Narsapuram,Independent,MEDAPATI VENKATA VARAHALA REDDY,M,49
Andhra Pradesh,9,Narsapuram,Pyramid Party of India,MANNE LEELA RAMA NARENDRA,M,38
Andhra Pradesh,9,Narsapuram,Jaibhim Rao Bharat Party,OLETY NAGENDRA KRISHNA,M,55
Andhra Pradesh,10,Eluru,Navarang Congress Party,AJAY BABU BODA,M,32
Andhra Pradesh,10,Eluru,Independent,KANDAVALLI JEEVA DEVA DAYAKAR,M,56
Andhra Pradesh,10,Eluru,Bharatheeya Jawan Kisan Party,RAJESWARA RAO KONDRU,M,44
Andhra Pradesh,10,Eluru,Yuvajana Sramika Rythu Congress Party,KARUMURI SUNIL KUMAR,M,33
Andhra Pradesh,10,Eluru,Indian National Congress,KAVURI LAVANYA,F,47
Andhra Pradesh,10,Eluru,Telugu Desam,PUTTA MAHESH KUMAR,M,39
Andhra Pradesh,10,Eluru,Pyramid Party of India,GODUGUPATI VEERA RAGHAVULU,M,51
Andhra Pradesh,10,Eluru,Bahujan Samaj Party,NITTA AKHILA DHARANI PAL,M,65
Andhra Pradesh,10,Eluru,Bharatha Chaitanya Yuvajana Party,BYRABOYINA MALYADRI,M,55
Andhra Pradesh,10,Eluru,Liberation Congress Party,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),M,49
Andhra Pradesh,10,Eluru,Independent,AGASTEEN KOMMINA,M,41
Andhra Pradesh,10,Eluru,Andhra Rastra Praja Samithi,RUDRAPAKA RATNA RAO (R.R.R),M,70
Andhra Pradesh,10,Eluru,Independent,BOKINALA KOTESWARA RAO,M,42
Andhra Pradesh,11,Machilipatnam,Jai Maha Bharath Party,MARADANI K R SWAMY,M,38
Andhra Pradesh,11,Machilipatnam,Bahujan Samaj Party,DEVAMANI DEVARAPALLI,F,46
Andhra Pradesh,11,Machilipatnam,Jatiya Jana Sena Party,BAAL SHOURI CHODABATHINA,M,66
Andhra Pradesh,11,Machilipatnam,Independent,PAMULA BALA SOWRYAMMA,F,39
Andhra Pradesh,11,Machilipatnam,Independent,DAMODARA RAO GUDAVALLI,M,58
Andhra Pradesh,11,Machilipatnam,Janasena Party,BALASHOWRY VALLABHANENI,M,55
Andhra Pradesh,11,Machilipatnam,Independent,ANUSHA YERUVA,F,25
Andhra Pradesh,11,Machilipatnam,Independent,APPARAO ENNETI,M,51
Andhra Pradesh,11,Machilipatnam,Independent,JOGI VEERANJANEYULU,M,32
Andhra Pradesh,11,Machilipatnam,All India Forward Bloc,KOMMARAJU SIVA NARASIMHA RAO,M,63
Andhra Pradesh,11,Machilipatnam,Independent,GUDAVALLI VENKATA KEDARESWARA RAO,M,55
Andhra Pradesh,11,Machilipatnam,Independent,GANDHI  DHANEKULA,M,76
Andhra Pradesh,11,Machilipatnam,Indian National Congress,GOLLU KRISHNA,M,60
Andhra Pradesh,11,Machilipatnam,Independent,VALLABHANENI NAGA PAVAN KUMAR,M,34
Andhra Pradesh,11,Machilipatnam,Yuvajana Sramika Rythu Congress Party,SIMHADRI CHANDRA SEKHAR RAO,M,70
Andhra Pradesh,12,Vijayawada,Bahujan Samaj Party,MEKA VENKATESWARA RAO,M,50
Andhra Pradesh,12,Vijayawada,Jaibhim Rao Bharat Party,DATLA LURTHU MERI,F,50
Andhra Pradesh,12,Vijayawada,Telugu Desam,KESINENI SIVANATH (CHINNI),M,55
Andhra Pradesh,12,Vijayawada,Indian National Congress,BHARGAV VALLURU,M,36
Andhra Pradesh,12,Vijayawada,Republican Party of India (Athawale),PERAM SIVA NAGESWARA RAO,M,55
Andhra Pradesh,12,Vijayawada,Jai Maha Bharath Party,CHINTHALACHERUVU HEMALATHA,F,45
Andhra Pradesh,12,Vijayawada,Andhra Rastra Praja Samithi,DEVARASETTY RAVEENDRA BABU,M,49
Andhra Pradesh,12,Vijayawada,Independent,VENKATA ASHOK PAPPURI,M,27
Andhra Pradesh,12,Vijayawada,Navataram Party,KRISHNA KISHORE YANAMANDRA,M,50
Andhra Pradesh,12,Vijayawada,Yuvajana Sramika Rythu Congress Party,KESINENI SRINIVAS  (NANI),M,58
Andhra Pradesh,12,Vijayawada,Independent,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),M,38
Andhra Pradesh,12,Vijayawada,Pyramid Party of India,CHAGANTIPATI GANGADHAR GANDHI,M,49
Andhra Pradesh,12,Vijayawada,All India Jaihind Party,N DASARADHA RAMI REDDY,M,70
Andhra Pradesh,12,Vijayawada,Navarang Congress Party,SYED KHAMURUNNISA,F,34
Andhra Pradesh,12,Vijayawada,Independent,ANIL KUMAR MADDINENI,M,45
Andhra Pradesh,12,Vijayawada,Telugu Rajadhikara Samiti Party,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),M,37
Andhra Pradesh,12,Vijayawada,Socialist Unity Centre Of India (COMMUNIST),GUJJULA LALITHA,F,61
Andhra Pradesh,13,Guntur,Independent,SIVA PARVATHI,F,34
Andhra Pradesh,13,Guntur,Viduthalai Chiruthaigal Katchi,CHALLAPALLI RATAN RAJU,M,37
Andhra Pradesh,13,Guntur,Telugu Desam,DR CHANDRA SEKHAR PEMMASANI,M,48
Andhra Pradesh,13,Guntur,Jatiya Jana Sena Party,SIKHAKOLLI HEMA GOWRI SHANKAR,M,31
Andhra Pradesh,13,Guntur,Loktantrik Janta Dal,BURAGA RATNAM,M,53
Andhra Pradesh,13,Guntur,Independent,ASHOK ANAND GALI,M,39
Andhra Pradesh,13,Guntur,Independent,MADAVARAPU NAGA RAJU,M,45
Andhra Pradesh,13,Guntur,Jana Sahayaka Sakthi,UMAR BHASHA SHAIK,M,34
Andhra Pradesh,13,Guntur,Telugu Rajadhikara Samiti Party,PATHAN KHAJA (BASHA),M,45
Andhra Pradesh,13,Guntur,Jai Bharat National Party,HARI VENKATA SATISH  KURNALA,M,50
Andhra Pradesh,13,Guntur,Navodayam Party,EMANI. CHANDRASEKHAR RAO,M,58
Andhra Pradesh,13,Guntur,Yuvajana Sramika Rythu Congress Party,KILARI VENKATA ROSAIAH,M,57
Andhra Pradesh,13,Guntur,Jaibhim Rao Bharat Party,SAMUDRALA CHINNA KOTAIAH,M,46
Andhra Pradesh,13,Guntur,Marxist Communist Party of India (United),AMARTHALURI VENKATESWARA RAO.,M,55
Andhra Pradesh,13,Guntur,Communist Party of India,JANGALA AJAY KUMAR,M,57
Andhra Pradesh,13,Guntur,Independent,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,M,49
Andhra Pradesh,13,Guntur,Independent,KANNEBOYINA VAMSI KRISHNA YADAV,M,33
Andhra Pradesh,13,Guntur,Navataram Party,SIVAREDDY. ENDREDDY,M,63
Andhra Pradesh,13,Guntur,Independent,PILLI BABU RAO,M,66
Andhra Pradesh,13,Guntur,Bahujan Samaj Party,TENALI PRAKASH,M,48
Andhra Pradesh,13,Guntur,Bengaluru Nava Nirmana Party,VISHNU REDDY LANKIREDDY,M,33
Andhra Pradesh,13,Guntur,Andhra Pradesh Rashtra Samithi,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,M,48
Andhra Pradesh,13,Guntur,Independent,SHAIK. KHAJAVALI,M,39
Andhra Pradesh,13,Guntur,All Peoples Party,BOMMASANI MUTYALA RAO,M,74
Andhra Pradesh,13,Guntur,Indian Labour Party (Ambedkar Phule),DR. RAYAPUDI RAJESH VIJAY KUMAR,M,40
Andhra Pradesh,13,Guntur,Navarang Congress Party,SYED. SAIDA,M,31
Andhra Pradesh,13,Guntur,Independent,SHAIK ASLAM AKTHER,M,50
Andhra Pradesh,13,Guntur,Independent,SRIKRISHNA AKKISETTI,M,56
Andhra Pradesh,13,Guntur,Independent,GAYATRI AUDHIPUDI,F,55
Andhra Pradesh,13,Guntur,Pyramid Party of India,AMBATI CHALAMAIAH,M,58
Andhra Pradesh,14,Narsaraopet,Revolutionary Socialist Party,GARLAPATI SUBHASH PREM,M,31
Andhra Pradesh,14,Narsaraopet,Indian National Congress,GARNEPUDI ALEXANDER SUDHAKAR,M,55
Andhra Pradesh,14,Narsaraopet,National Nava Kranthi Party,PASUPULETI PICHAIAH,M,37
Andhra Pradesh,14,Narsaraopet,Bahujan Samaj Party,ORSU PREMARAJU,M,61
Andhra Pradesh,14,Narsaraopet,Independent,SUBBARAO CHALLA,M,40
Andhra Pradesh,14,Narsaraopet,Jatiya Jana Sena Party,DOCTOR GODA RAMESH KUMAR,M,40
Andhra Pradesh,14,Narsaraopet,Jaibhim Rao Bharat Party,KUCHIPUDI JOHN BABU,M,51
Andhra Pradesh,14,Narsaraopet,Jaathia Chethi Vruthula Ikya Vedika Party,P VENKATESH,M,50
Andhra Pradesh,14,Narsaraopet,Pyramid Party of India,KOTA POTHURAJU,M,53
Andhra Pradesh,14,Narsaraopet,Telugu Desam,LAVU SRIKRISHNA DEVARAYALU,M,41
Andhra Pradesh,14,Narsaraopet,Yuvajana Sramika Rythu Congress Party,ANIL KUMAR POLUBOINA,M,44
Andhra Pradesh,14,Narsaraopet,Independent,ABDUL RAJAK SHAIK,M,48
Andhra Pradesh,14,Narsaraopet,All India Forward Bloc,THOKALA NAGA RAJU,M,40
Andhra Pradesh,14,Narsaraopet,Independent,YAMPATI VEERANJANEYA REDDY,M,51
Andhra Pradesh,14,Narsaraopet,Navarang Congress Party,PAPPULA SAMBASIVA RAO,M,54
Andhra Pradesh,14,Narsaraopet,Independent,ABDUL RAJAK SHAIK,M,48
Andhra Pradesh,15,Bapatla (SC),Independent,KONDRU KIRAN KUMAR,M,46
Andhra Pradesh,15,Bapatla (SC),Independent,GADDE. VIJAYA LAKSHMI,F,34
Andhra Pradesh,15,Bapatla (SC),Liberation Congress Party,PALADUG VIJENDRA RAO (BAHUJAN),M,58
Andhra Pradesh,15,Bapatla (SC),All Peoples Party,CHINNAM MURALIDHAR,M,67
Andhra Pradesh,15,Bapatla (SC),Independent,BUSSA. NAGARAJU,M,34
Andhra Pradesh,15,Bapatla (SC),Telugu Desam,KRISHNA PRASAD TENNETI,M,64
Andhra Pradesh,15,Bapatla (SC),Yuvajana Sramika Rythu Congress Party,NANDIGAM SURESH BABU,M,46
Andhra Pradesh,15,Bapatla (SC),Indian National Congress,J.D. SEELAM,M,70
Andhra Pradesh,15,Bapatla (SC),Independent,KATTA HEMANAND,M,43
Andhra Pradesh,15,Bapatla (SC),India Praja Bandhu Party,MERUGUPALA SADASIVA RAO,M,37
Andhra Pradesh,15,Bapatla (SC),Independent,KATTA ANAND BABU,M,32
Andhra Pradesh,15,Bapatla (SC),Jaibhim Rao Bharat Party,PARRE. KOTAIAH,M,41
Andhra Pradesh,15,Bapatla (SC),Navataram Party,NALAMALA TIRUPATI RAO,M,46
Andhra Pradesh,15,Bapatla (SC),Bahujan Samaj Party,DOKKA JAGAN MOHANA RAO,M,61
Andhra Pradesh,15,Bapatla (SC),Pyramid Party of India,KATTAPOGU. VIJAY KUMAR,M,57
Andhra Pradesh,16,Ongole,Independent,PODILI RAMBABU,M,36
Andhra Pradesh,16,Ongole,Independent,HARI PRASAD TUPAKULA,M,47
Andhra Pradesh,16,Ongole,Independent,U MADHU BABU,M,38
Andhra Pradesh,16,Ongole,Independent,KOTA VAMSI KRISHNA,M,27
Andhra Pradesh,16,Ongole,Independent,YARRA DASARADHARAMAIAH,M,54
Andhra Pradesh,16,Ongole,Independent,SESHUBABU GUDDANTI,M,48
Andhra Pradesh,16,Ongole,Independent,KARATAPU RAJU,M,53
Andhra Pradesh,16,Ongole,Independent,SINGAMNENI SREEKANTH,M,39
Andhra Pradesh,16,Ongole,Independent,VESHAPOGU GURAVABABU,M,25
Andhra Pradesh,16,Ongole,Independent,MOHAN GOUD J V,M,63
Andhra Pradesh,16,Ongole,Independent,JAGADEESH RAYAPATI,M,38
Andhra Pradesh,16,Ongole,Jai Bharat National Party,ORSU VEENA,F,37
