constituency,category,state,winning_candidate,party,electors,votes,turnout_pct,margin,margin_pct,year
Varanasi,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,1997578,1130143,56.6,152513.0,13.5,2024
Vellore,GEN,Tamil Nadu,Dm Kathir Anand,Dravida Munnetra Kazhagam,1528273,1129458,73.9,215702.0,19.1,2024
Vidisha,GEN,Madhya Pradesh [2000 Onwards],Shivraj Singh Chouhan,Bharatiya Janta Party,1945404,1455658,74.8,821408.0,56.4,2024
Vijayawada,,Andhra Pradesh [2014 Onwards],Kesineni Sivanath (CHINNI),Telugu Desam,1704077,1364405,80.1,282085.0,20.7,2024
Viluppuram,SC,Tamil Nadu,Ravikumar. D,Viduthalai Chiruthaigal Katchi,1503115,1152667,76.7,70703.0,6.1,2024
Virudhunagar,GEN,Tamil Nadu,Manickam Tagore B,Indian National Congress,1501942,1061901,70.7,4379.0,0.4,2024
Visakhapatnam,,Andhra Pradesh [2014 Onwards],Sribharat Mathukumili,Telugu Desam,1927303,1387125,72.0,504247.0,36.4,2024
Vizianagaram,,Andhra Pradesh [2014 Onwards],Appalanaidu Kalisetti,Telugu Desam,1585206,1299242,82.0,249351.0,19.2,2024
Warangal,SC,Telangana,Kadiyam Kavya,Indian National Congress,1824466,1267946,69.5,220339.0,17.4,2024
Wardha,GEN,Maharashtra,Amar Sharadrao Kale,Nationalist Congress Party – Sharadchandra Pawar,1682771,1095012,65.1,81648.0,7.5,2024
Wayanad,GEN,Kerala,Rahul Gandhi,Indian National Congress,1462423,1084653,74.2,364422.0,33.6,2024
West Delhi,GEN,Delhi [1977 Onwards],Kamaljeet Sehrawat,Bharatiya Janta Party,2587977,1524494,58.9,199013.0,13.1,2024
Yavatmal-Washi,GEN,Maharashtra,Sanjay Uttamrao Deshmukh,Shiv Sena (Uddhav Balasaheb Thackrey),1940916,1225530,63.1,94473.0,7.7,2024
Zahirabad,GEN,Telangana,Suresh Kumar Shetkar,Indian National Congress,1641410,1236593,75.3,46188.0,3.7,2024
