constituency,category,state,winning_candidate,party,electors,votes,turnout_pct,margin,margin_pct,year
Berhampur,GEN,Orissa,Chandra Sekhar Sahu,Biju Janata Dal,1433671,989910,70.1,94844.0,9.6,2019
Betul,ST,Madhya Pradesh [2000 Onwards],Durga Das (D.D.) UIKEY,Bharatiya Janta Party,1702517,1357857,81.1,360241.0,26.5,2019
Bhadohi,GEN,Uttar Pradesh [2000 Onwards],Ramesh Chand,Bharatiya Janta Party,1886673,1039390,55.6,43615.0,4.2,2019
Bhadrak,SC,Orissa,Manjulata Mandal,Biju Janata Dal,1583464,1223754,77.7,28803.0,2.4,2019
Bhagalpur,GEN,Bihar [2000 Onwards],Ajay Kumar Mandal,Janata Dal (United),1811980,1042518,59.3,277630.0,26.6,2019
Bhandara - Gon,GEN,Maharashtra,Sunil Baburao Mendhe,Bharatiya Janta Party,1756518,1244931,71.5,197394.0,15.9,2019
Bharatpur,SC,Rajasthan,Ranjeeta Koli,Bharatiya Janta Party,1897465,1146797,60.7,318399.0,27.8,2019
Bharuch,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1522113,1149725,76.0,334214.0,29.1,2019
Bhavnagar,GEN,Gujarat,Dr.Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,1734124,1041279,61.0,329519.0,31.6,2019
Bhilwara,GEN,Rajasthan,Subhash Chandra Baheria,Bharatiya Janta Party,1958631,1310513,67.8,612000.0,46.7,2019
Bhind,SC,Madhya Pradesh [2000 Onwards],Sandhya Ray,Bharatiya Janta Party,1711977,960687,56.4,199885.0,20.8,2019
Bhiwandi,GEN,Maharashtra,Kapil Moreshwar Patil,Bharatiya Janta Party,1785952,1005172,57.2,156329.0,15.6,2019
Bhiwani-Mahend,GEN,Haryana,Dharambir Singh S/o Bhale Ram,Bharatiya Janta Party,1566494,1161115,74.3,444463.0,38.3,2019
Bhongir,GEN,Telangana,Komati Reddy Venkat Reddy,Indian National Congress,1544683,1212631,79.3,5219.0,0.4,2019
Bhopal,GEN,Madhya Pradesh [2000 Onwards],Sadhvi Pragya Singh Thakur,Bharatiya Janta Party,2075376,1407954,68.1,364822.0,25.9,2019
Bhubaneswar,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,1600900,1005215,63.2,23839.0,2.4,2019
Bidar,GEN,Karnataka,Bhagwanth Khuba,Bharatiya Janta Party,1740232,1117167,64.3,116834.0,10.5,2019
Bijapur,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,1777109,1111354,63.2,258038.0,23.2,2019
Bijnor,GEN,Uttar Pradesh [2000 Onwards],Malook Nagar,Bahujan Samaj Party,1619514,1100763,68.2,69941.0,6.4,2019
Bikaner,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,1793022,1099598,62.1,264081.0,24.0,2019
Bilaspur,GEN,Chhattisgarh,Arun Sao,Bharatiya Janta Party,1811606,1209434,67.0,141763.0,11.7,2019
Birbhum,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1587802,1449423,92.1,88924.0,6.1,2019
Bishnupur,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,1740964,1420648,82.4,78047.0,5.5,2019
Bolangir,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,1677774,1306705,78.8,19516.0,1.5,2019
Bolpur,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1864137,1461269,79.1,106402.0,7.3,2019
Bulandshahr,SC,Uttar Pradesh [2000 Onwards],Bhola Singh,Bharatiya Janta Party,1759305,1123629,64.2,290057.0,25.8,2019
Buldhana,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1977994,1120359,57.0,133287.0,11.9,2019
Burdwan - Durg,GEN,West Bengal,S.S Ahluwalia,Bharatiya Janta Party,1905750,1433007,76.2,2439.0,0.2,2019
Buxar,GEN,Bihar [2000 Onwards],Ashwini Kumar Choubey,Bharatiya Janta Party,1806004,986861,55.6,117609.0,11.9,2019
Chalakudy,GEN,Kerala,Benny Behanan,Indian National Congress,1163476,990224,85.8,132274.0,13.4,2019
Chamarajanagar,SC,Karnataka,V. Srinivas Prasad,Bharatiya Janta Party,1669209,1270658,76.9,1817.0,0.1,2019
Chandauli,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahendra Nath Pandey,Bharatiya Janta Party,1696059,1084961,64.6,13959.0,1.3,2019
Chandigarh,GEN,Chandigarh,Kirron Kher,Bharatiya Janta Party,615214,456568,74.9,46970.0,10.3,2019
Chandni Chowk,GEN,Delhi [1977 Onwards],"Patni, Nitai Chand",Bharatiya Janta Party,1447228,980390,68.1,228145.0,23.3,2019
Chandrapur,GEN,Maharashtra,Balubhau Alias Suresh Narayan Dhanorkar,Indian National Congress,1846431,1238474,67.7,44763.0,3.6,2019
Chatra,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,1375612,925937,67.9,377871.0,40.8,2019
Chelvella,GEN,Telangana,Dr. G. Ranjith Reddy,Telangana Rashtra Samithi,2302163,1300194,56.9,14317.0,1.1,2019
Chennai Centra,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,1316388,785450,60.7,301520.0,38.4,2019
Chennai North,GEN,Tamil Nadu,Dr. Kalanidhi Veeraswamy,Dravida Munetra Kazhagam,1444753,955545,67.2,461518.0,48.3,2019
Chennai South,GEN,Tamil Nadu,T.Sumathy (A) THAMIZHACHI THANGAPANDIAN,Dravida Munetra Kazhagam,1916378,1125857,59.6,262223.0,23.3,2019
Chhindwara,GEN,Madhya Pradesh [2000 Onwards],Nakul Kamal Nath,Indian National Congress,1480503,1248031,85.7,37536.0,3.0,2019
Chhota Udaipur,ST,Gujarat,Rathva Gitaben Vajesingbhai,Bharatiya Janta Party,1433397,1232459,88.3,377943.0,30.7,2019
Chidambaram,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1459769,1153192,80.1,3219.0,0.3,2019
Chikkballapur,GEN,Karnataka,B.N.Bache Gowda,Bharatiya Janta Party,1804143,1386963,77.3,182110.0,13.1,2019
Chikkodi,GEN,Karnataka,Annasaheb Shankar Jolle,Bharatiya Janta Party,1574203,1217549,78.0,118877.0,9.8,2019
Chitradurga,SC,Karnataka,A Narayanaswamy,Bharatiya Janta Party,1736643,1245950,72.0,80178.0,6.4,2019
Chittoor,,Andhra Pradesh [2014 Onwards],N. Reddeppa,Yuvajana Sramika Rythu Congress Party,1430405,1319472,93.7,137271.0,10.4,2019
Chittorgarh,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,1982095,1458760,74.5,576247.0,39.5,2019
Churu,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,1962475,1328422,68.2,334402.0,25.2,2019
Coimbatore,GEN,Tamil Nadu,Natarajan. P.R,Communist Party Of India (Marxist),1909712,1250885,66.7,179143.0,14.3,2019
Cooch Behar,SC,West Bengal,Nisith Pramanik,Bharatiya Janta Party,1687773,1524683,91.2,54231.0,3.6,2019
Cuddalore,GEN,Tamil Nadu,T. R. V .S. Ramesh,Dravida Munetra Kazhagam,1342320,1043202,78.4,143983.0,13.8,2019
Cuttack,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1460895,1059490,73.0,121201.0,11.4,2019
Dadra And Nagar Haveli,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,196617,198983,102.7,9001.0,4.5,2019
Dahod,ST,Gujarat,Jashvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1542941,1063212,71.0,127596.0,12.0,2019
Dakshina Kanna,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1698859,1345039,79.6,274621.0,20.4,2019
Daman And Diu,GEN,Daman & Diu,Lalubhai Babubhai Patel,Bharatiya Janta Party,111827,87469,79.6,9942.0,11.4,2019
Damoh,GEN,Madhya Pradesh [2000 Onwards],Prahalad Singh Patel,Bharatiya Janta Party,1737702,1164226,67.4,353411.0,30.4,2019
Darbhanga,GEN,Bihar [2000 Onwards],Gopal Jee Thakur,Bharatiya Janta Party,1644671,964996,59.9,267979.0,27.8,2019
Darjeeling,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,1519531,1267270,84.1,413443.0,32.6,2019
Dausa,ST,Rajasthan,Jaskaur Meena,Bharatiya Janta Party,1692217,1062834,63.2,78444.0,7.4,2019
Davanagere,GEN,Karnataka,G M Siddeshwar,Bharatiya Janta Party,1613781,1194586,74.2,169702.0,14.2,2019
Deoria,GEN,Uttar Pradesh [2000 Onwards],Ramapati Ram Tripathi,Bharatiya Janta Party,1751752,1015363,58.7,249931.0,24.6,2019
Dewas,SC,Madhya Pradesh [2000 Onwards],Mahendra Singh Solanky,Bharatiya Janta Party,1718488,1398946,81.9,372249.0,26.6,2019
Dhanbad,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,2050314,1252817,61.3,486194.0,38.8,2019
Dhar,ST,Madhya Pradesh [2000 Onwards],Chattarsingh Darbar,Bharatiya Janta Party,1752846,1344132,77.7,156029.0,11.6,2019
Dharmapuri,GEN,Tamil Nadu,Dnv Senthilkumar. S.,Dravida Munetra Kazhagam,1453257,1223205,85.1,70753.0,5.8,2019
Dharwad,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1687290,1213505,72.1,205072.0,16.9,2019
Dhaurahra,GEN,Uttar Pradesh [2000 Onwards],Rekha Verma,Bharatiya Janta Party,1604211,1063840,67.0,160611.0,15.1,2019
Dhenkanal,GEN,Orissa,Mahesh Sahoo,Biju Janata Dal,1461182,1131522,78.2,35412.0,3.1,2019
Dhubri,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,1799561,1685005,94.1,226258.0,13.4,2019
Dhule,GEN,Maharashtra,Bhamre Subhash Ramrao,Bharatiya Janta Party,1787801,1085038,60.8,229243.0,21.1,2019
Diamond Harbou,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1873955,1409002,76.1,320594.0,22.8,2019
Dibrugarh,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,1265748,1015748,81.9,364566.0,35.9,2019
Dindigul,GEN,Tamil Nadu,"Velusamy, P.",Dravida Munetra Kazhagam,1518633,1160046,77.3,538972.0,46.5,2019
Dindori,ST,Maharashtra,Dr. Bharati Pravin Pawar,Bharatiya Janta Party,1651955,1137631,69.4,198779.0,17.5,2019
Domariyaganj,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Bharatiya Janta Party,1894047,985269,52.6,105321.0,10.7,2019
Dum Dum,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1699710,1204660,71.7,53002.0,4.4,2019
Dumka,ST,Jharkhand,Sunil Soren,Bharatiya Janta Party,1349843,1025968,77.1,47590.0,4.6,2019
Durg,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,1878677,1391996,74.3,391978.0,28.2,2019
East Delhi,GEN,Delhi [1977 Onwards],Jadunandan Prasad,Bharatiya Janta Party,1829578,1257821,69.0,391222.0,31.1,2019
Eluru,,Andhra Pradesh [2014 Onwards],Kotagiri Sridhar,Yuvajana Sramika Rythu Congress Party,1418277,1327923,95.3,165925.0,12.5,2019
Ernakulam,GEN,Kerala,Hibi Eden,Indian National Congress,1190575,967203,81.7,169153.0,17.5,2019
Erode,GEN,Tamil Nadu,Ganeshamurthi A,Dravida Munetra Kazhagam,1427534,1067863,75.8,210618.0,19.7,2019
Etah,GEN,Uttar Pradesh [2000 Onwards],Rajveer Singh (Raju Bhaiya),Bharatiya Janta Party,1587949,999607,63.3,122670.0,12.3,2019
Etawah,SC,Uttar Pradesh [2000 Onwards],Dr Ram Shankar Katheria,Bharatiya Janta Party,1714935,1027815,60.3,64437.0,6.3,2019
Faizabad,GEN,Uttar Pradesh [2000 Onwards],Lallu Singh,Bharatiya Janta Party,1783699,1087121,61.5,65477.0,6.0,2019
Faridabad,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,1926323,1327295,69.2,638239.0,48.1,2019
Faridkot,SC,Punjab,Mohammad Sadique,Indian National Congress,1515062,974947,65.6,83256.0,8.5,2019
Farrukhabad,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,1661488,1002953,60.8,221702.0,22.1,2019
Fatehgarh Sahi,SC,Punjab,Amar Singh,Indian National Congress,1470008,985948,68.0,93898.0,9.5,2019
Fatehpur,GEN,Uttar Pradesh [2000 Onwards],Niranjan Jyoti,Bharatiya Janta Party,1783535,1043655,59.3,198205.0,19.0,2019
Fatehpur Sikri,GEN,Uttar Pradesh [2000 Onwards],Rajkumar Chahar,Bharatiya Janta Party,1660405,1037151,63.1,495065.0,47.7,2019
Ferozpur,GEN,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,1587296,1172033,74.8,198850.0,17.0,2019
Firozabad,GEN,Uttar Pradesh [2000 Onwards],Dr. Chandra Sen Jadon,Bharatiya Janta Party,1698385,1075866,63.7,28781.0,2.7,2019
Gadchiroli-Chi,ST,Maharashtra,Ashok Mahadeorao Nete,Bharatiya Janta Party,1522662,1142698,76.7,77526.0,6.8,2019
Gandhinagar,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,1874564,1284090,69.3,557014.0,43.4,2019
Ganganagar,SC,Rajasthan,Nihal Chand,Bharatiya Janta Party,1901409,1451765,77.2,406978.0,28.0,2019
Garhwal,GEN,Uttarakhand,Tirath Singh Rawat,Bharatiya Janta Party,1295238,742784,58.3,302669.0,40.7,2019
Gauhati,GEN,Assam,Queen Oja,Bharatiya Janta Party,1930145,1763757,91.9,345606.0,19.6,2019
Gautam Buddh N,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahesh Sharma,Bharatiya Janta Party,2107718,1392952,66.5,336922.0,24.2,2019
Gaya,SC,Bihar [2000 Onwards],Vijay Kumar,Janata Dal (United),1698772,957248,58.1,152426.0,15.9,2019
Ghatal,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1931027,1488818,77.8,107973.0,7.3,2019
Ghaziabad,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Singh,Bharatiya Janta Party,2573715,1524456,59.5,501500.0,32.9,2019
Ghazipur,GEN,Uttar Pradesh [2000 Onwards],Afzal Ansari,Bahujan Samaj Party,1832844,1105627,60.7,119392.0,10.8,2019
Ghosi,GEN,Uttar Pradesh [2000 Onwards],Atul Kumar Singh,Bahujan Samaj Party,1945291,1140781,58.9,122568.0,10.7,2019
Giridih,GEN,Jharkhand,Chandra Prakash Choudhary,All Jharkhand Students Union,1625806,1106918,69.3,248347.0,22.4,2019
Godda,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,1683948,1194036,72.0,184227.0,15.4,2019
Gonda,GEN,Uttar Pradesh [2000 Onwards],Kirti Vardhan Singh Alias Raja Bhaiya,Bharatiya Janta Party,1744625,923816,53.4,166360.0,18.0,2019
Gopalganj,SC,Bihar [2000 Onwards],Dr. Alok Kumar Suman,Janata Dal (United),1832200,1024876,58.8,286434.0,27.9,2019
Gorakhpur,GEN,Uttar Pradesh [2000 Onwards],Ravindra Shyamnarayan Shukla Alias Ravi Kishan,Bharatiya Janta Party,1960935,1184635,60.8,301664.0,25.5,2019
Gulbarga,SC,Karnataka,Dr. Umesh G Jadhav,Bharatiya Janta Party,1920070,1189361,62.5,95452.0,8.0,2019
Guna,GEN,Madhya Pradesh [2000 Onwards],"Krishna Pal Singh ""dr. K. P. Yadav""",Bharatiya Janta Party,1631451,1178423,73.0,125549.0,10.7,2019
Guntur,,Andhra Pradesh [2014 Onwards],Jayadev Galla,Telugu Desam,1486993,1351474,91.3,4205.0,0.3,2019
Gurdaspur,GEN,Punjab,Sunny Deol,Bharatiya Janta Party,1535937,1103887,72.5,82459.0,7.5,2019
Gurgaon,GEN,Haryana,Rao Inderjit Singh,Bharatiya Janta Party,1990711,1446509,72.9,386256.0,26.7,2019
Gwalior,GEN,Madhya Pradesh [2000 Onwards],Vivek Narayan Shejwalkar,Bharatiya Janta Party,1938511,1196096,62.0,146842.0,12.3,2019
Hajipur,SC,Bihar [2000 Onwards],Pashu Pati Kumar Paras,Lok Jan Shakti Party,1810137,1006817,57.0,205449.0,20.4,2019
Hamirpur,GEN,Uttar Pradesh [2000 Onwards],Kunwar Pushpendra Singh Chandel,Bharatiya Janta Party,1715940,1089778,64.4,248652.0,22.8,2019
Hamirpur,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1247699,988765,79.9,399572.0,40.4,2019
Hardoi,SC,Uttar Pradesh [2000 Onwards],Jai Prakash,Bharatiya Janta Party,1775274,1057558,60.2,132474.0,12.5,2019
Hardwar,GEN,Uttarakhand,Ramesh Pokhriyal 'nishank',Bharatiya Janta Party,1785889,1271030,71.5,258729.0,20.4,2019
Hassan,GEN,Karnataka,Prajwal Revanna,Janata Dal (Secular),1630952,1277552,79.1,141324.0,11.1,2019
Hathras,SC,Uttar Pradesh [2000 Onwards],Rajvir Diler,Bharatiya Janta Party,1799499,1150294,64.4,260208.0,22.6,2019
Hatkanangle,GEN,Maharashtra,Dhairyasheel Sambhajirao Mane,Shiv Sena,1693449,1252211,74.4,96039.0,7.7,2019
Haveri,GEN,Karnataka,Udasi. S.C.,Bharatiya Janta Party,1680025,1266679,75.8,140882.0,11.1,2019
Hazaribagh,GEN,Jharkhand,Jayant Sinha,Bharatiya Janta Party,1518831,1080929,71.7,479548.0,44.4,2019
Hindupur,,Andhra Pradesh [2014 Onwards],Kuruva Gorantla Madhav,Yuvajana Sramika Rythu Congress Party,1434282,1338514,94.5,140748.0,10.5,2019
Hingoli,GEN,Maharashtra,Hemant Patil,Shiv Sena,1659433,1157516,70.0,277856.0,24.0,2019
Hisar,GEN,Haryana,Brijendra Singh,Bharatiya Janta Party,1558281,1179869,75.9,314068.0,26.6,2019
Hooghly,GEN,West Bengal,Locket Chatterjee,Bharatiya Janta Party,1373449,1457842,107.1,73362.0,5.0,2019
Hoshangabad,GEN,Madhya Pradesh [2000 Onwards],Uday Pratap Singh,Bharatiya Janta Party,1650087,1265869,77.8,553682.0,43.7,2019
Hoshiarpur,SC,Punjab,Som Parkash,Bharatiya Janta Party,1548898,990791,64.8,48530.0,4.9,2019
Howrah,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1796175,1222293,68.4,103695.0,8.5,2019
Hyderabad,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,1927685,877872,45.8,282186.0,32.1,2019
Idukki,GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,1160824,919297,79.7,171053.0,18.6,2019
Indore,GEN,Madhya Pradesh [2000 Onwards],Shankar Lalwani,Bharatiya Janta Party,2235342,1629108,73.1,547754.0,33.6,2019
Inner Manipur,GEN,Manipur,Dr Rajkumar Ranjan Singh,Bharatiya Janta Party,855359,759301,89.1,17755.0,2.3,2019
Jabalpur,GEN,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,1767369,1263573,71.7,454744.0,36.0,2019
Jadavpur,GEN,West Bengal,Mimi Chakraborty,All India Trinamool Congress,1990328,1436894,73.0,295239.0,20.5,2019
Jagatsinghpur,SC,Orissa,Rajashree Mallick,Biju Janata Dal,1584635,1229190,78.0,271655.0,22.1,2019
Jahanabad,GEN,Bihar [2000 Onwards],Chandeshwar Prasad,Janata Dal (United),1573907,822065,54.0,1751.0,0.2,2019
Jaipur,GEN,Rajasthan,Ramcharan Bohra,Bharatiya Janta Party,2043881,1456404,71.6,430626.0,29.6,2019
Jaipur Rural,GEN,Rajasthan,Col. Rajyavardhan Rathore,Bharatiya Janta Party,1897332,1276693,67.8,393171.0,30.8,2019
Jajpur,SC,Orissa,Sarmistha Sethi,Biju Janata Dal,1413322,1092084,77.8,101693.0,9.3,2019
Jalandhar,SC,Punjab,Santokh Singh Chaudhary,Indian National Congress,1574968,1018998,65.5,19491.0,1.9,2019
Jalaun,SC,Uttar Pradesh [2000 Onwards],Bhanu Pratap Singh Verma,Bharatiya Janta Party,1470521,1129955,77.7,158377.0,14.0,2019
Jalgaon,GEN,Maharashtra,Unmesh Bhaiyyasaheb Patil,Bharatiya Janta Party,1845368,1088277,59.5,411617.0,37.8,2019
Jalna,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,1765712,1208139,69.3,332815.0,27.5,2019
Jalore,GEN,Rajasthan,Devaji Patel,Bharatiya Janta Party,1600603,1361619,86.2,261110.0,19.2,2019
Jalpaiguri,SC,West Bengal,Dr. Jayanta Kumar Roy,Bharatiya Janta Party,1618231,1500922,94.0,184004.0,12.3,2019
Jammu,,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,1848155,1478795,80.2,302875.0,20.5,2019
Jamnagar,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1615693,1010965,63.1,236804.0,23.4,2019
Jamshedpur,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1658549,1144226,69.3,302090.0,26.4,2019
Jamui,SC,Bihar [2000 Onwards],Chirag Kumar Paswan,Lok Jan Shakti Party,1709356,949137,57.8,241049.0,25.4,2019
Jangipur,GEN,West Bengal,Khalilur Rahaman,All India Trinamool Congress,1713293,1304504,76.8,245782.0,18.8,2019
Janjgir-Champa,SC,Chhattisgarh,Guharam Ajgalley,Bharatiya Janta Party,1850601,1247650,68.0,83255.0,6.7,2019
Jaunpur,GEN,Uttar Pradesh [2000 Onwards],Shyam Singh Yadav,Bahujan Samaj Party,1759456,1040652,59.3,80936.0,7.8,2019
Jhalawar-Baran,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1863755,1369868,74.4,453928.0,33.1,2019
Jhanjharpur,GEN,Bihar [2000 Onwards],Ramprit Mandal,Janata Dal (United),1835089,1060562,58.3,322951.0,30.5,2019
Jhansi,GEN,Uttar Pradesh [2000 Onwards],Anurag Sharma,Bharatiya Janta Party,2385972,1380890,58.6,365683.0,26.5,2019
Jhargram,ST,West Bengal,Kunar Hembram,Bharatiya Janta Party,1522363,1406214,93.5,11767.0,0.8,2019
Jhunjhunu,GEN,Rajasthan,Narendra Kumar,Bharatiya Janta Party,1869883,1198927,64.6,302547.0,25.2,2019
Jodhpur,GEN,Rajasthan,Gajendra Singh Shekhawat,Bharatiya Janta Party,1888942,1346243,71.9,274440.0,20.4,2019
Jorhat,GEN,Assam,Topon Kumar Gogoi,Bharatiya Janta Party,1319952,1057965,81.1,82653.0,7.8,2019
Joynagar,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1805964,1356102,75.7,316775.0,23.4,2019
Junagadh,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1576209,1005224,64.8,150185.0,14.9,2019
Kachchh,SC,Gujarat,Chavda Vinod Lakhamshi,Bharatiya Janta Party,1949895,1023198,53.4,305513.0,29.9,2019
Kadapa,,Andhra Pradesh [2014 Onwards],Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1325963,1228242,93.7,380726.0,31.0,2019
Kairana,GEN,Uttar Pradesh [2000 Onwards],Pradeep Kumar,Bharatiya Janta Party,1599120,1124047,70.5,92160.0,8.2,2019
Kaiserganj,GEN,Uttar Pradesh [2000 Onwards],Brijbhusan Sharan Singh,Bharatiya Janta Party,1779143,981400,55.9,261601.0,26.7,2019
Kakinada,,Andhra Pradesh [2014 Onwards],Vanga Geethaviswanath,Yuvajana Sramika Rythu Congress Party,1412538,1234655,88.6,25738.0,2.1,2019
Kalahandi,GEN,Orissa,Basanta Kumar Panda,Bharatiya Janta Party,1563160,1228292,79.9,26814.0,2.2,2019
Kaliabor,GEN,Assam,Gaurav Gogoi,Indian National Congress,1663513,1424687,86.6,209994.0,14.7,2019
Kallakurichi,GEN,Tamil Nadu,Gautham Sigamani Pon,Dravida Munetra Kazhagam,1490339,1204375,81.6,399919.0,33.2,2019
Kalyan,GEN,Maharashtra,Dr. Shrikant Eknath Shinde,Shiv Sena,1861577,890313,48.5,344343.0,38.7,2019
Kancheepuram,SC,Tamil Nadu,Selvam.G,Dravida Munetra Kazhagam,1601060,1237612,78.7,286632.0,23.2,2019
Kandhamal,GEN,Orissa,Achyutananda Samanta,Biju Janata Dal,1235291,941985,77.3,149216.0,15.8,2019
Kangra,GEN,Himachal Pradesh,Kishan Kapoor,Bharatiya Janta Party,1258601,1006989,80.9,477623.0,47.4,2019
Kanker,ST,Chhattisgarh,Mohan Mandavi,Bharatiya Janta Party,1531469,1159193,77.4,6914.0,0.6,2019
Kannauj,GEN,Uttar Pradesh [2000 Onwards],Subrat Pathak,Bharatiya Janta Party,1827515,1140496,62.9,12353.0,1.1,2019
Kanniyakumari,GEN,Tamil Nadu,Vasanthakumar. H,Indian National Congress,1477243,1048377,71.4,259933.0,24.8,2019
Kannur,GEN,Kerala,K. Sudhakaran,Indian National Congress,1201236,1053842,88.1,94559.0,9.0,2019
Kanpur,GEN,Uttar Pradesh [2000 Onwards],Satyadev Pachauri,Bharatiya Janta Party,1936426,842994,43.7,155934.0,18.5,2019
Kanthi,GEN,West Bengal,Adhikari Sisir,All India Trinamool Congress,1793513,1424247,79.9,111668.0,7.8,2019
Karakat,GEN,Bihar [2000 Onwards],Mahabali Singh,Janata Dal (United),1759358,868798,50.6,84542.0,9.7,2019
Karauli-Dholpu,SC,Rajasthan,Manoj Rajoria,Bharatiya Janta Party,1782015,998044,56.4,97682.0,9.8,2019
Karimnagar,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,1544460,1147697,74.8,89508.0,7.8,2019
Karnal,GEN,Haryana,Sanjay Bhatia,Bharatiya Janta Party,1821231,1300722,71.7,656142.0,50.4,2019
Karur,GEN,Tamil Nadu,Jothimani S,Indian National Congress,1365804,1103165,81.5,420546.0,38.1,2019
Kasaragod,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,1305827,1100051,84.6,40438.0,3.7,2019
Katihar,GEN,Bihar [2000 Onwards],Dulal Chandra Goswami,Janata Dal (United),1645713,1117734,69.2,57203.0,5.1,2019
Kaushambi,SC,Uttar Pradesh [2000 Onwards],Vinod Kumar Sonkar,Bharatiya Janta Party,1743036,974438,56.8,38722.0,4.0,2019
Kendrapara,GEN,Orissa,Anubhav Mohanty,Biju Janata Dal,1658168,1236466,75.0,152584.0,12.3,2019
Keonjhar,ST,Orissa,Chandrani Murmu,Biju Janata Dal,1449996,1176292,82.5,66203.0,5.6,2019
Khadoor Sahib,GEN,Punjab,Jasbir Singh Gill (DIMPA),Indian National Congress,1599081,1046032,65.7,140573.0,13.4,2019
Khagaria,GEN,Bihar [2000 Onwards],Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,1653928,966813,58.9,248570.0,25.7,2019
Khajuraho,GEN,Madhya Pradesh [2000 Onwards],V.D. Sharma (VISHNU DATT SHARMA),Bharatiya Janta Party,1801044,1257783,70.4,492382.0,39.1,2019
Khammam,GEN,Telangana,Nama Nageswr Rao,Telangana Rashtra Samithi,1441181,1139831,80.2,168062.0,14.7,2019
Khandwa,GEN,Madhya Pradesh [2000 Onwards],Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1849606,1468138,80.2,273343.0,18.6,2019
Khargone,ST,Madhya Pradesh [2000 Onwards],Gajendra Umrao Singh Patel,Bharatiya Janta Party,1783776,1427607,81.1,202510.0,14.2,2019
Kheda,GEN,Gujarat,Chauhan Devusinh,Bharatiya Janta Party,1697520,1098633,65.8,367145.0,33.4,2019
Kheri,GEN,Uttar Pradesh [2000 Onwards],Ajay Kumar,Bharatiya Janta Party,1729085,1136660,66.2,218807.0,19.2,2019
