Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Dineshbhai Makwana (Advocate),AHMEDABAD WEST (SC),BJP,0,Graduate Professional,141769586,13222046,2024
Nilesh Dnyandev Lanke,AHMEDNAGAR,Nationalist Congress Party – Sharadchandra Pawar,2,Graduate,0,0,2024
Bhagirath Choudhary,AJMER,BJP,0,12th Pass,133811555,5432413,2024
Devendra Singh Alias Bhole Singh,AKBARPUR,BJP,13,10th Pass,47828524,9902495,2024
Anup Sanjay Dhotre,AKOLA,BJP,1,Graduate,109259962,37201641,2024
K. C Venugopal,ALAPPUZHA,INC,1,Post Graduate,36342460,272817,2024
K.Radhakrishnan,ALATHUR (SC),CPI(M),0,Graduate,0,0,2024
Satish Kumar Gautam,ALIGARH,BJP,0,Graduate,160624125,46570044,2024
Manoj Tigga,ALIPURDUARS (ST),BJP,6,Graduate,5751023,1602698,2024
Ujjwal Raman Singh,ALLAHABAD,INC,0,Graduate Professional,268988675,11996527,2024
Ajay Tamta,ALMORA (SC),BJP,0,Graduate,12381663,1909642,2024
Bhupender Yadav,ALWAR,BJP,0,Graduate Professional,0,0,2024
G M Harish (Balayogi),AMALAPURAM (SC),TDP,0,Graduate Professional,105389128,199712,2024
Varun Chaudhry,AMBALA (SC),INC,0,Graduate Professional,259468388,6173716,2024
Lalji Verma,AMBEDKAR NAGAR,SP,2,Post Graduate,110272584,9885979,2024
Kishori Lal,AMETHI,INC,0,Graduate,127688722,46996348,2024
Balwant Baswant Wankhade,AMRAVATI (SC),INC,1,12th Pass,0,0,2024
Bharatbhai Manubhai Sutariya,AMRELI,BJP,0,10th Pass,8378748,0,2024
Gurjeet Singh Aujla,AMRITSAR,INC,0,Graduate,53508591,13781750,2024
Kanwar Singh Tanwar,AMROHA,BJP,1,8th Pass,2147933326,19897537,2024
C.M.Ramesh,ANAKAPALLE,BJP,5,12th Pass,4976024996,1016183515,2024
Mitesh Patel (Bakabhai),ANAND,BJP,0,Others,0,0,2024
Malvinder Singh Kang,ANANDPUR SAHIB,AAP,0,Post Graduate,41905973,2013285,2024
Ambica G Lakshminarayana Valmiki,ANANTHAPUR,TDP,8,Graduate,47540056,2119559,2024
Mian Altaf Ahmad,ANANTNAG-RAJOURI,Jammu & Kashmir National Conference,0,Graduate Professional,209330000,0,2024
Bishnu Pada Ray,ANDAMAN AND NICOBAR ISLANDS,BJP,0,Graduate,27439170,302788,2024
Neeraj Maurya,AONLA,SP,0,Graduate Professional,0,0,2024
S Jagathratchakan,ARAKKONAM,DMK,2,10th Pass,534587828,6495000000,2024
Gumma Thanuja Rani,ARAKU (ST),YSRCP,0,Graduate Professional,2354678,0,2024
Mitali Bag,ARAMBAG (SC),AITC,0,Post Graduate,784955,431294,2024
Tharaniventhan M S,ARANI,DMK,0,10th Pass,17161977,3563277,2024
Pradeep Kumar Singh,ARARIA,BJP,4,10th Pass,0,0,2024
Sudama Prasad,ARRAH,CPI(ML)(L),3,Graduate,9098946,2921615,2024
Tapir Gao,ARUNACHAL EAST,BJP,0,Post Graduate,150537706,0,2024
Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,49403234,0,2024
Shatrughan Prasad Sinha,ASANSOL,AITC,0,Graduate,2105041638,176081710,2024
Anita Subhadarshini,ASKA,BJP,0,Post Graduate,0,0,2024
Adv Adoor Prakash,ATTINGAL,INC,13,Graduate Professional,180933863,36802602,2024
Bhumare Sandipanrao Asaram,AURANGABAD,Shiv Sena,4,10th Pass,103071866,24587200,2024
Abhay Kumar Sinha,AURANGABAD,RJD,16,12th Pass,107718589,47801483,2024
Dharmendra Yadav,AZAMGARH,SP,4,Post Graduate,135032793,34245511,2024
Aditya Yadav,BADAUN,SP,0,Post Graduate,0,0,2024
Gaddigoudar Parvatgouda Chandangouda,BAGALKOT,BJP,0,Graduate Professional,75855750,24446219,2024
Dr Rajkumar Sangwan,BAGHPAT,Rashtriya Lok Dal,3,Doctorate,4799426,0,2024
Pathan Yusuf,BAHARAMPUR,AITC,0,10th Pass,456304016,119670558,2024
Anand Kumar,BAHRAICH (SC),BJP,0,Doctorate,92623979,14128198,2024
Bharti Pardhi,BALAGHAT,BJP,0,Graduate,0,0,2024
Pratap Chandra Sarangi,BALASORE,BJP,9,Graduate,4959072,0,2024
Sanatan Pandey,BALLIA,SP,2,Others,24950786,624502,2024
Sukanta Majumdar,BALURGHAT,BJP,16,Doctorate,12476825,1125114,2024
Geniben Nagaji Thakor,BANASKANTHA,INC,1,Graduate,8533965,627886,2024
Krishna Devi Shivshanker Patel,BANDA,SP,0,12th Pass,0,0,2024
P C Mohan,BANGALORE CENTRAL,BJP,2,12th Pass,813065207,158634664,2024
Shobha Karandlaje,BANGALORE NORTH,BJP,5,Post Graduate,138866909,40600640,2024
Dr C N Manjunath,BANGALORE RURAL,BJP,0,Post Graduate,983883816,148146673,2024
Tejasvi Surya,BANGALORE SOUTH,BJP,3,Graduate Professional,41030489,0,2024
Shantanu Thakur,BANGAON (SC),BJP,23,Graduate,0,0,2024
Giridhari Yadav,BANKA,JD(U),0,Post Graduate,17281101,5695769,2024
Arup Chakraborty,BANKURA,AITC,0,Graduate Professional,171911710,65685037,2024
Kamlesh Paswan,BANSGAON (SC),BJP,9,Graduate,361830259,35283210,2024
Raj Kumar Roat,BANSWARA (ST),Bharat Adivasi Party,1,Graduate Professional,11731679,2971833,2024
Krishna Prasad Tenneti,BAPATLA (SC),TDP,0,Post Graduate,0,0,2024
Tanuj Punia,BARABANKI (SC),INC,1,Graduate Professional,27131091,243280,2024
Supriya Sule,BARAMATI,Nationalist Congress Party – Sharadchandra Pawar,0,Graduate,1665186348,5500000,2024
Abdul Rashid Sheikh,BARAMULLA,IND,3,Graduate,15637424,1442558,2024
Kakoli Ghosh Dastidar,BARASAT,AITC,2,Post Graduate,75856851,3592730,2024
Dr. Sharmila Sarkar,BARDHAMAN PURBA (SC),AITC,0,Post Graduate,0,0,2024
Parbhubhai Nagarbhai Vasava,BARDOLI (ST),BJP,0,Others,47003506,8455874,2024
Chhatra Pal Singh Gangwar,BAREILLY,BJP,2,Post Graduate,48788862,7044201,2024
Pradeep Purohit,BARGARH,BJP,8,10th Pass,22595410,676737,2024
Ummeda Ram Beniwal,BARMER,INC,0,Graduate,192765969,66244492,2024
Phani Bhusan Choudhury,BARPETA,Asom Gana Parishad,1,Graduate,0,0,2024
Partha Bhowmick,BARRACKPUR,AITC,2,Post Graduate,54235841,11051557,2024
Sk Nurul Islam,BASIRHAT,AITC,0,12th Pass,16002842,0,2024
Mahesh Kashyap,BASTAR (ST),BJP,0,8th Pass,3967309,34980,2024
Ram Prasad Chaudhary,BASTI,SP,4,Others,98152477,3745441,2024
Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,0,0,2024
Bajrang Manohar Sonwane,BEED,Nationalist Congress Party – Sharadchandra Pawar,0,Graduate,289278459,77515217,2024
Giriraj Singh,BEGUSARAI,BJP,3,Graduate,143169297,9000000,2024
Jagadish Shettar,BELGAUM,BJP,0,Graduate Professional,133815982,7166354,2024
E. Tukaram,BELLARY (ST),INC,0,Post Graduate,35267209,12325000,2024
Dr Pradeep Kumar Panigrahy,BERHAMPUR,BJP,9,Doctorate,0,0,2024
Durgadas (D. D.) Uikey,BETUL (ST),BJP,0,Post Graduate,18487232,1182315,2024
Dr. Vinod Kumar Bind,BHADOHI,BJP,0,Graduate Professional,105766111,29313481,2024
Avimanyu Sethi,BHADRAK (SC),BJP,0,Post Graduate,70794290,10659172,2024
Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,12232756,4980480,2024
Dr. Prashant Yadaorao Padole,BHANDARA GONDIYA,INC,0,Graduate Professional,0,0,2024
Sanjna Jatav,BHARATPUR (SC),INC,0,Graduate,2310193,715340,2024
Mansukhbhai Dhanjibhai Vasava,BHARUCH,BJP,0,Post Graduate,25499808,1104414,2024
Nimuben Jayantibhai Bambhaniya (Nimuben Bambhaniya),BHAVNAGAR,BJP,0,Graduate Professional,26115193,5829447,2024
Damodar Agarwal,BHILWARA,BJP,1,Post Graduate,71392415,3320600,2024
Sandhya Ray,BHIND (SC),BJP,0,Post Graduate,0,0,2024
Suresh Gopinath Mhatre Alias Balya Mama,BHIWANDI,Nationalist Congress Party – Sharadchandra Pawar,0,12th Pass,1075534826,756559886,2024
Dharambir Singh,BHIWANI-MAHENDRAGARH,BJP,0,Graduate,115664424,0,2024
Chamala Kiran Kumar Reddy,BHONGIR,INC,3,12th Pass,287211468,7348373,2024
Alok Sharma,BHOPAL,BJP,4,Graduate,88625237,13024310,2024
Aparajita Sarangi,BHUBANESWAR,BJP,1,Graduate,0,0,2024
Sagar Eshwar Khandre,BIDAR,INC,0,Graduate Professional,134373930,15000000,2024
Ramesh Jigajinagi,BIJAPUR (SC),BJP,0,Graduate,516315994,68116765,2024
Chandan Chauhan,BIJNOR,Rashtriya Lok Dal,3,Graduate Professional,78426582,2572810,2024
Arjun Ram Meghwal,BIKANER (SC),BJP,0,Post Graduate,37654863,0,2024
Tokhan Sahu,BILASPUR,BJP,0,Post Graduate,0,0,2024
Satabdi Roy,BIRBHUM,AITC,0,Graduate,109245500,20171392,2024
Khan Saumitra,BISHNUPUR (SC),BJP,15,12th Pass,30855712,4672966,2024
Sangeeta Kumari Singh Deo,BOLANGIR,BJP,1,Graduate,673060630,7500000,2024
Asit Kumar Mal,BOLPUR,AITC,0,Graduate,11257405,464417,2024
Dr Bhola Singh,BULANDSHAHR (SC),BJP,1,Graduate,0,0,2024
Jadhav Prataprao Ganpatrao,BULDHANA,Shiv Sena,2,12th Pass,164260448,1467110,2024
Azad Kirti Jha,BURDWAN - DURGAPUR,AITC,1,Graduate,102014033,5738812,2024
Sudhakar Singh,BUXAR,RJD,3,Graduate,67851400,57394347,2024
Benny Behanan,CHALAKUDY,INC,5,Graduate,35020209,7893411,2024
Sunil Bose,CHAMARAJANAGAR (SC),INC,1,12th Pass,0,0,2024
Birendra Singh,CHANDAULI,SP,3,Graduate,188017648,1154113,2024
Manish Tewari,CHANDIGARH,INC,0,Graduate Professional,296842688,24993400,2024
Praveen Khandelwal,CHANDNI CHOWK,BJP,0,Graduate Professional,117039798,60645587,2024
Dhanorkar Pratibha Suresh Alias Balubhau,CHANDRAPUR,INC,0,12th Pass,803722094,552386611,2024
Kali Charan Singh,CHATRA,BJP,2,Graduate,0,0,2024
Dayanidhi Maran,CHENNAI CENTRAL,DMK,4,Graduate,170770037,0,2024
Dr.Kalanidhi Veeraswamy,CHENNAI NORTH,DMK,0,Post Graduate,610614066,383364472,2024
Sumathy T,CHENNAI SOUTH,DMK,0,Doctorate,148658298,17199881,2024
Konda Vishweshwar Reddy,CHEVELLA,BJP,4,Graduate Professional,45682222094,138336195,2024
Bunty Vivek Sahu,CHHINDWARA,BJP,1,Graduate,0,0,2024
Jashubhai Bhilubhai Rathva,CHHOTA UDAIPUR (ST),BJP,1,Graduate,16589045,1940506,2024
Thirumaavalavan Thol,CHIDAMBARAM (SC),Viduthalai Chiruthaigal Katchi,7,Doctorate,24455903,83969,2024
Dr.K.Sudhakar,CHIKKBALLAPUR,BJP,1,Graduate Professional,334163156,203448949,2024
Priyanka Satish Jarkiholi,CHIKKODI,INC,0,Post Graduate,91157625,15743768,2024
Govind Makthappa Karjol,CHITRADURGA (SC),BJP,0,10th Pass,0,0,2024
Daggumalla Prasada Rao,CHITTOOR (SC),TDP,0,Graduate,384493765,80279565,2024
