candidate_name,party,age,state,criminal_cases,education,total_assets,liabilities,year
Alaga Ravi Kumar,IND,49.0,Andhra Pradesh,0,10th Pass,0,0,2019
Allu Venkata Reddy,Pyramid Party of India,49.0,Andhra Pradesh,0,Graduate Professional,0,0,2019
Ameen Peeran Shaik,Ambedkar National Congress,48.0,Andhra Pradesh,0,Post Graduate,83993,9000,2019
Anandsagar Pogru,Samaanya Praja Party,55.0,Andhra Pradesh,0,8th Pass,4697147,1702000,2019
Andukuri Vijaya Bhaskar,India Praja Bandhu Party,49.0,Andhra Pradesh,0,Graduate Professional,5000,0,2019
Ankadi Sathibabu,IND,45.0,Andhra Pradesh,0,Illiterate,50000,0,2019
Anmish Varma,IND,26.0,Andhra Pradesh,0,Post Graduate,0,0,2019
Anumula Vamsi Krishna,IND,41.0,Andhra Pradesh,0,Post Graduate,50000,100000,2019
Appala Naidu Tummagonta,IND,38.0,Andhra Pradesh,0,10th Pass,0,0,2019
Appalakonda Vangalapudi,Mundadugu Praja Party,28.0,Andhra Pradesh,0,Post Graduate,514707,508707,2019
Araveti Hazarath Rao,Pyramid Party of India,68.0,Andhra Pradesh,0,Graduate Professional,14924686,180700,2019
Asadi Venkatadri,Rashtriya Krantikari Samajwadi Party,61.0,Andhra Pradesh,0,12th Pass,0,0,2019
Ashok Gajapathi Raju Pusapati,TDP,67.0,Andhra Pradesh,0,12th Pass,183534582,0,2019
B Ramesh,Viduthalai Chiruthaigal Katchi,43.0,Andhra Pradesh,0,Graduate Professional,2124951,398000,2019
B. Jaya Venu Gopal,Pyramid Party of India,30.0,Andhra Pradesh,0,12th Pass,95000,0,2019
B. Shiva Kumar,IND,40.0,Andhra Pradesh,0,10th Pass,5237200,627000,2019
B.C. Ramanatha Reddy,IND,54.0,Andhra Pradesh,1,Graduate,0,0,2019
Balashowry Vallabhaneni,YSRCP,50.0,Andhra Pradesh,2,Post Graduate,990575840,746310844,2019
Balli Durgaprasad Rao,YSRCP,63.0,Andhra Pradesh,0,Graduate Professional,17426921,0,2019
Bandaru Rajeswara Rao,Jana Jagruti Party,59.0,Andhra Pradesh,0,5th Pass,205700,0,2019
Bandreddi Ramakrishna,Janasena Party,44.0,Andhra Pradesh,0,Post Graduate,100800000,37600000,2019
Beeda Masthan Rao,TDP,60.0,Andhra Pradesh,0,Graduate,0,0,2019
Bellamkonda Saibabu,Janasena Party,49.0,Andhra Pradesh,0,Graduate Professional,13866784,2472903,2019
Bellana Chandra Sekhar,YSRCP,57.0,Andhra Pradesh,4,Graduate Professional,21035766,11130148,2019
Betha Vivekananda Maharaj,IND,33.0,Andhra Pradesh,0,Graduate,133000,0,2019
Bharat Mathukumilli,TDP,29.0,Andhra Pradesh,0,Post Graduate,2325373550,9591144,2019
Bhuma Kishor Reddy,IND,35.0,Andhra Pradesh,0,10th Pass,0,0,2019
Biddika Ramaiah,IND,57.0,Andhra Pradesh,0,Illiterate,415000,0,2019
Billa Chennaiah,IND,49.0,Andhra Pradesh,0,12th Pass,2837000,1846848,2019
Bolisetty Hari Babu,IND,60.0,Andhra Pradesh,1,Illiterate,45608000,10944696,2019
Bommi Srihari Rao,BJP,44.0,Andhra Pradesh,0,Graduate,1702000,0,2019
Bonaboyina Srinivasa Rao,Janasena Party,50.0,Andhra Pradesh,1,10th Pass,0,0,2019
Buddala Geetha Devi,Praja Shanthi Party,34.0,Andhra Pradesh,0,5th Pass,32000,0,2019
Bussa Nagaraju,IND,29.0,Andhra Pradesh,1,Others,194000,0,2019
Butti Nagaraju,IND,49.0,Andhra Pradesh,0,Post Graduate,9430000,4073216,2019
C. Punyamurthy,BSP,45.0,Andhra Pradesh,4,Others,30323800,21635686,2019
C. Surendra Nath Reddy,IND,54.0,Andhra Pradesh,0,12th Pass,0,0,2019
Chadipirala Adi Narayana Reddy,TDP,61.0,Andhra Pradesh,0,Post Graduate,30742398,961319,2019
Chadipiralla Siva Narayana Reddy,Navarang Congress Party,53.0,Andhra Pradesh,0,Others,11320100,591000,2019
Challagali Kishore Kumar,BJP,43.0,Andhra Pradesh,1,Graduate Professional,3185877,0,2019
Chandra Rajagopal,CPI(M),67.0,Andhra Pradesh,2,10th Pass,2353200,240000,2019
Cheemala. Rangappa,INC,60.0,Andhra Pradesh,0,Graduate Professional,0,0,2019
Chevuru Devakumar Reddy,INC,61.0,Andhra Pradesh,2,12th Pass,73819429,3948741,2019
China Nageswara Rao Sadhu,Mundadugu Praja Party,35.0,Andhra Pradesh,0,Post Graduate,1259090,196000,2019
Chinnam Rama Kotayya,BJP,58.0,Andhra Pradesh,0,10th Pass,100961778,7713964,2019
Chinni Venkateswarlu,Pyramid Party of India,67.0,Andhra Pradesh,0,Literate,1280000,0,2019
Chinta Anuradha,YSRCP,46.0,Andhra Pradesh,0,Graduate,0,0,2019
Chinta Mohan,INC,64.0,Andhra Pradesh,0,Graduate Professional,22808300,2007093,2019
Chintala Partha Sarathi,Janasena Party,56.0,Andhra Pradesh,0,Post Graduate,335308506,110928567,2019
D. Mahammad Rafi,B. C. United Front,29.0,Andhra Pradesh,0,10th Pass,50000,190000,2019
D. P. Jamal Basha,Anna YSR Congress Party,48.0,Andhra Pradesh,0,10th Pass,450000,70000,2019
D.A. Sathya Prabha,TDP,68.0,Andhra Pradesh,0,12th Pass,0,0,2019
Daggubati Purandeswari,BJP,58.0,Andhra Pradesh,0,Graduate,324038450,34949036,2019
Dandu Seshu Yadav,SP,39.0,Andhra Pradesh,0,Graduate Professional,1950000,0,2019
Dasari Kiran Babu,IND,37.0,Andhra Pradesh,0,8th Pass,5980980,2645782,2019
