candidate_name,party,age,state,criminal_cases,education,total_assets,liabilities,year
Chappidi Ramu,IND,49.0,Andhra Pradesh,0,Post Graduate,468697,0,2024
Chelluri Daniyal,IND,49.0,Andhra Pradesh,0,Post Graduate,1284100,268471,2024
Chinnam Aruna Kumar,Jaibhim Rao Bharat Party,46.0,Andhra Pradesh,0,Post Graduate,1903500,0,2024
Chinnam Muralidhar,All Peoples Party,67.0,Andhra Pradesh,0,Graduate Professional,3036500,0,2024
Chinnapureddy Gopala Krishna Reddy,IND,49.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Chinta Mohan,INC,69.0,Andhra Pradesh,0,Graduate Professional,22775274,0,2024
Chintada Suryam,Naba Bharata Nirmana Seva Party,56.0,Andhra Pradesh,0,Illiterate,13500,0,2024
Chinthalacheruvu Hemalatha,Jai Maha Bharath Party,46.0,Andhra Pradesh,0,Graduate,6226000,200000,2024
Choudvaram Subbanarasaiah,IND,26.0,Andhra Pradesh,0,10th Pass,2870360,1000000,2024
D. Mahesh,IND,36.0,Andhra Pradesh,0,12th Pass,0,0,2024
Daggubati Purandheshwari,BJP,67.0,Andhra Pradesh,1,Graduate,625041146,69860440,2024
Daggumalla Prasada Rao,TDP,62.0,Andhra Pradesh,0,Graduate,384493765,80279565,2024
Damodara Rao Gudavalli,IND,58.0,Andhra Pradesh,0,Others,10835978,4936385,2024
Dasaganipalli Kullayappa,IND,44.0,Andhra Pradesh,0,Post Graduate,1149000,2990000,2024
Dasari. Gowtham,IND,28.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Datla Lurthu Meri,Jaibhim Rao Bharat Party,51.0,Andhra Pradesh,1,12th Pass,160000,0,2024
Devamani Devarapalli,BSP,46.0,Andhra Pradesh,0,Post Graduate,107588446,28139567,2024
Devarapalli Mallikarjuna Rao (Mahesh),IND,38.0,Andhra Pradesh,0,12th Pass,0,0,2024
Devarapogu Maddilety,IND,50.0,Andhra Pradesh,0,10th Pass,621173,0,2024
Devarasetty Raveendra Babu,Andhra Rastra Praja Samithi,49.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Devireddy Balanjaneyulu,IND,41.0,Andhra Pradesh,0,8th Pass,986000,163500,2024
Dharanikota Lakshmi Narayana,BSP,50.0,Andhra Pradesh,0,Illiterate,1742500,216000,2024
Doctor Goda Ramesh Kumar,Jatiya Jana Sena Party,40.0,Andhra Pradesh,0,Graduate Professional,13500,0,2024
Doddapaneni Raja Naidu,IND,25.0,Andhra Pradesh,1,Post Graduate,2075000,0,2024
Dorababu Yalla,BSP,59.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Dr Anusha Yadav,Bharatha Chaitanya Yuvajana Party,25.0,Andhra Pradesh,0,Graduate,9422317,461766,2024
Dr Byreddy Shabari,TDP,40.0,Andhra Pradesh,2,Post Graduate,147631050,32033423,2024
Dr Chandra Sekhar Pemmasani,TDP,48.0,Andhra Pradesh,1,Post Graduate,57054727538,10380000000,2024
Dr Chevireddy Bhaskar Reddy,YSRCP,51.0,Andhra Pradesh,11,Doctorate,172530612,85920196,2024
Dr. Achutha Balaji Yadav (Murapala),Bharatha Chaitanya Yuvajana Party,39.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Dr. Ganapathi Kongarapu,Republican Party of India (A),42.0,Andhra Pradesh,0,Doctorate,512282,300000,2024
Dr. Guduri Srinivas,YSRCP,60.0,Andhra Pradesh,0,Doctorate,164568281,12694933,2024
Dr. Medisi Ratnarao Alias Vinay,IND,45.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Dr. Mendem Santhosh Kumar (Pedda Babulu),Liberation Congress Party,49.0,Andhra Pradesh,0,Others,600000,200000,2024
Dr. Rayapudi Rajesh Vijay Kumar,Indian Labour Party (Ambedkar Phule),40.0,Andhra Pradesh,0,Doctorate,0,0,2024
Dr. Reddypogu Praveen Kumar,IND,42.0,Andhra Pradesh,0,Doctorate,335000,144500,2024
Dr. Thummapala Hari Shankar,IND,35.0,Andhra Pradesh,0,Post Graduate,7854500,1100000,2024
Dr.Nallani Ramesh Naidu,Andhra Rastra Praja Samithi,44.0,Andhra Pradesh,1,Graduate,470000,0,2024
Dumavath Swamy Naik,IND,52.0,Andhra Pradesh,0,12th Pass,5570000,0,2024
Durga Prasad D Byatarayanaji,Challengers Party,58.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Durgaprasad Guntu,Bhartiya Rashtriya Dal,57.0,Andhra Pradesh,0,Post Graduate,3559000,200000,2024
E Anil Kumar,IND,37.0,Andhra Pradesh,0,Post Graduate,1217400,0,2024
Eda Sudhakara Reddy,INC,50.0,Andhra Pradesh,1,Graduate Professional,28073241,189022,2024
Emani. Chandrasekhar Rao,Navodayam Party,58.0,Andhra Pradesh,0,Graduate,166000,0,2024
G M Harish (Balayogi),TDP,33.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
G.A.N. Anand,IND,38.0,Andhra Pradesh,0,Graduate,2000,0,2024
G.V.Ramana Reddy,IND,59.0,Andhra Pradesh,1,12th Pass,51419000,640000,2024
Gadde Vijaya Lakshmi,IND,34.0,Andhra Pradesh,0,10th Pass,15000,0,2024
Gaggera Venkata Ramanaiah,IND,41.0,Andhra Pradesh,4,8th Pass,9300000,8182000,2024
Gajula Shalimiya,Anna YSR Congress Party,42.0,Andhra Pradesh,0,5th Pass,0,0,2024
Gajula Soma Sekhar,Jai Bharat National Party,28.0,Andhra Pradesh,0,12th Pass,2958995,2756904,2024
Ganapathi. Jagadeeswara Rao (Jagadeesh),Jai Maha Bharath Party,49.0,Andhra Pradesh,0,Post Graduate,1736804,0,2024
Gandhi Dhanekula,IND,77.0,Andhra Pradesh,0,10th Pass,2100000,96000,2024
Gandikota Rajesh,Navataram Party,42.0,Andhra Pradesh,0,Graduate,690000,0,2024
Ganeswara Rao Paramata,BSP,62.0,Andhra Pradesh,0,Post Graduate,0,0,2024
Ganji Purnima,Republican Party of India (A),41.0,Andhra Pradesh,0,Graduate,1122085,625000,2024
Gara Surya Rao,IND,70.0,Andhra Pradesh,0,Post Graduate,8150000,0,2024
Garlapati Subhash Prem,Revolutionary Socialist Party,31.0,Andhra Pradesh,0,Post Graduate,77812,0,2024
Garnepudi Alexander Sudhakar,INC,55.0,Andhra Pradesh,0,Graduate Professional,17661990,7780000,2024
Gayatri Audhipudi,IND,55.0,Andhra Pradesh,0,Graduate,0,0,2024
Gedala Laxmana Rao,IND,46.0,Andhra Pradesh,0,10th Pass,1602823,27000,2024
Giddi Jnana Prakasarao,Republican Party of India,62.0,Andhra Pradesh,0,Graduate Professional,1506800,0,2024
Gidugu Rudraraju,INC,55.0,Andhra Pradesh,1,Post Graduate,35394877,9341000,2024
Godugupati Veera Raghavulu,Pyramid Party of India,51.0,Andhra Pradesh,0,10th Pass,200000,0,2024
Gogula Sugunamma,Jai Maha Bharath Party,43.0,Andhra Pradesh,0,5th Pass,0,0,2024
Gollu Krishna,INC,60.0,Andhra Pradesh,6,Others,25066000,8500000,2024
Gottumukkala Shivaji,IND,53.0,Andhra Pradesh,3,Post Graduate,21722000,0,2024
Gudavalli Venkata Kedareswara Rao,IND,55.0,Andhra Pradesh,0,Graduate,3268367,973120,2024
Guddanti Seshubabu,IND,48.0,Andhra Pradesh,0,10th Pass,70000,0,2024
Gujjula Lalitha,SUCI(C),61.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Gumma Thanuja Rani,YSRCP,31.0,Andhra Pradesh,0,Graduate Professional,2354678,0,2024
Gurumoorthy Maddila,YSRCP,38.0,Andhra Pradesh,0,Graduate Professional,13249134,1097657,2024
H D Hanumanthe Gowd,IND,44.0,Andhra Pradesh,0,Post Graduate,17440342,1932872,2024
Hafiz Ataullah Khan,Social Democratic Party Of India,50.0,Andhra Pradesh,0,10th Pass,1088850,1169997,2024
Hari Prasad Tupakula,IND,47.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
I V Pakkir Reddy,IND,75.0,Andhra Pradesh,1,Graduate,9303954,200000,2024
Ippili Seetharaju,Jai Bharat National Party,47.0,Andhra Pradesh,0,Post Graduate,4460000,798810,2024
J Lakshmi Narasimha Yadav,INC,38.0,Andhra Pradesh,0,Post Graduate,11390000,5453367,2024
J Shantha,YSRCP,51.0,Andhra Pradesh,0,12th Pass,48746996,13254147,2024
J. V. Ramana,Jaathia Chethi Vruthula Ikya Vedika Party,62.0,Andhra Pradesh,0,5th Pass,0,0,2024
J.D. Seelam,INC,72.0,Andhra Pradesh,1,Post Graduate,276954926,10320039,2024
Jagan Mohana Rao Dokka,BSP,61.0,Andhra Pradesh,0,Doctorate,3000000,600000,2024
Jahangir Ahmed,Social Democratic Party Of India,37.0,Andhra Pradesh,1,12th Pass,511000,0,2024
Jaladi Vijaya Kumari,SP,52.0,Andhra Pradesh,0,Doctorate,2723960,540580,2024
Jalli Bala Naveena,IND,43.0,Andhra Pradesh,0,Post Graduate,0,0,2024
Janardhan Ponnada,IND,31.0,Andhra Pradesh,0,Graduate Professional,125342,0,2024
Janga Goutham,INC,54.0,Andhra Pradesh,0,Graduate,24685500,310000,2024
Jangala Ajay Kumar,CPI,57.0,Andhra Pradesh,14,10th Pass,4187807,1304322,2024
Jillella Ramesh,Jatiya Jana Sena Party,28.0,Andhra Pradesh,0,Graduate,102500,0,2024
Jogi Veeranjaneyulu,IND,32.0,Andhra Pradesh,5,12th Pass,0,0,2024
Junnuri J Srinivas,IND,54.0,Andhra Pradesh,0,Post Graduate,56340957,5900000,2024
K Pavan Kalyan,Jatiya Jana Sena Party,33.0,Andhra Pradesh,0,Illiterate,26000,0,2024
K. Jeevarathnam,IND,38.0,Andhra Pradesh,0,10th Pass,1515000,510000,2024
K.A. Paul,Praja Shanthi Party,60.0,Andhra Pradesh,6,12th Pass,196071,0,2024
K.B.R.Naidu,INC,64.0,Andhra Pradesh,0,Post Graduate,0,0,2024
K.Muni Krishna,IND,35.0,Andhra Pradesh,0,10th Pass,591000,0,2024
Kakarla Shanmukha Reddy,IND,34.0,Andhra Pradesh,0,Post Graduate,3927577,270000,2024
Kandavalli Jeeva Deva Dayakar,IND,56.0,Andhra Pradesh,0,Others,1155300,0,2024
Kandregula Narasimham,BSP,55.0,Andhra Pradesh,0,Graduate Professional,25000,200000,2024
Kanneboyina Vamsi Krishna Yadav,IND,33.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Kapa Kalyan,Republican Party of India (Athawale),47.0,Andhra Pradesh,0,Post Graduate,620000,0,2024
Karatapu Raju,IND,53.0,Andhra Pradesh,0,12th Pass,3502000,0,2024
Karra Siva,Pyramid Party of India,34.0,Andhra Pradesh,0,10th Pass,20000,0,2024
Karumuri Sunil Kumar,YSRCP,33.0,Andhra Pradesh,0,Graduate,270400000,10200000,2024
Kasturi Obaiah Naidu,IND,69.0,Andhra Pradesh,0,10th Pass,0,0,2024
Katru Naga Babu,Telugu Nava Garjana Party,30.0,Andhra Pradesh,0,Post Graduate,176000,0,2024
Katta Anand Babu,IND,32.0,Andhra Pradesh,0,Post Graduate,7,250000,2024
Katta Hemanand,IND,43.0,Andhra Pradesh,0,Post Graduate,986500,375000,2024
Kattamanchi. Prabhakar,IND,53.0,Andhra Pradesh,0,Post Graduate,144580,0,2024
Kattapogu Vijay Kumar,Pyramid Party of India,57.0,Andhra Pradesh,0,5th Pass,0,0,2024
Kavuri Lavanya,INC,47.0,Andhra Pradesh,0,Post Graduate,367909925,34300000,2024
Kaya Durgarao,Navarang Congress Party,34.0,Andhra Pradesh,0,8th Pass,579500,0,2024
Kesineni Sivanath (Chinni),TDP,55.0,Andhra Pradesh,0,Graduate Professional,292066245,261740856,2024
Kesineni Srinivas (Nani),YSRCP,58.0,Andhra Pradesh,1,10th Pass,773292381,364252011,2024
Ketha Sreenu,IND,43.0,Andhra Pradesh,0,12th Pass,0,0,2024
Kethireddy Raghunathareddy,IND,48.0,Andhra Pradesh,0,10th Pass,2200500,6500000,2024
Kilari Venkata Rosaiah,YSRCP,57.0,Andhra Pradesh,1,Graduate,780811167,50081433,2024
Kinjarapu Rammohan Naidu,TDP,36.0,Andhra Pradesh,4,Post Graduate,233073561,29863859,2024
Kommaraju Siva Narasimha Rao,All India Forward Bloc,63.0,Andhra Pradesh,0,Post Graduate,2561380,1215000,2024
Kommu Yohanu,Liberation Congress Party,33.0,Andhra Pradesh,0,Post Graduate,0,0,2024
Kommusani Pedda Kambagiri Swamy,IND,51.0,Andhra Pradesh,1,12th Pass,1850000,0,2024
Kondru Kiran Kumar,IND,47.0,Andhra Pradesh,2,Graduate,7555000,0,2024
Koppala Raghu,IND,38.0,Andhra Pradesh,1,Graduate,18470,0,2024
Koppula Raju,INC,67.0,Andhra Pradesh,0,Post Graduate,115538871,10295125,2024
Kota Pothuraju,Pyramid Party of India,53.0,Andhra Pradesh,0,5th Pass,0,0,2024
Kota Vamsi Krishna,IND,27.0,Andhra Pradesh,0,Graduate,85000,0,2024
Kotaiah Parre,Jaibhim Rao Bharat Party,41.0,Andhra Pradesh,4,10th Pass,170000,750000,2024
Kothapalli Geetha,BJP,53.0,Andhra Pradesh,2,Post Graduate,167166953,117654232,2024
Krishna Kishore Yanamandra,Navataram Party,50.0,Andhra Pradesh,0,10th Pass,1204389,0,2024
Krishna Matha,Pyramid Party of India,39.0,Andhra Pradesh,0,Others,0,0,2024
Krishna Prasad Tenneti,TDP,64.0,Andhra Pradesh,0,Post Graduate,155757943,19400000,2024
Krishna Swaroop Vadlamuri,Dalita Bahujana Party,51.0,Andhra Pradesh,0,Post Graduate,55745,0,2024
Kuchipudi John Babu,Jaibhim Rao Bharat Party,51.0,Andhra Pradesh,0,Illiterate,5000,0,2024
Kuncham Venkata Subba Reddy,Rayalaseema Rashtra Samithi,58.0,Andhra Pradesh,0,5th Pass,50000,0,2024
Kunukuntla Ramudu,IND,43.0,Andhra Pradesh,2,12th Pass,0,0,2024
Kuruba Mallikarjuna.S.,All India Kisan Janatha party,37.0,Andhra Pradesh,0,12th Pass,531000,614658,2024
Lagudu Govinda Rao,IND,44.0,Andhra Pradesh,0,Doctorate,608700,0,2024
Lavu Srikrishna Devarayalu,TDP,41.0,Andhra Pradesh,0,Graduate Professional,566548466,68088135,2024
Lokanath Gowd Suragowini,IND,40.0,Andhra Pradesh,0,10th Pass,3335373,125944,2024
Lovaraju Siddha,IND,36.0,Andhra Pradesh,0,Post Graduate,0,0,2024
M Umadevi,Janata Congress,36.0,Andhra Pradesh,0,5th Pass,3877652,0,2024
M.G.M. Khan,IND,37.0,Andhra Pradesh,0,Graduate Professional,14980904,0,2024
M.Surendra,Pyramid Party of India,38.0,Andhra Pradesh,0,Graduate,373500,57000,2024
Mada Raja,Jaathia Chethi Vruthula Ikya Vedika Party,35.0,Andhra Pradesh,0,12th Pass,1507000,415000,2024
Madasi Sudharshan,IND,32.0,Andhra Pradesh,1,12th Pass,0,0,2024
Madavarapu Naga Raju,IND,45.0,Andhra Pradesh,0,Illiterate,0,0,2024
Magunta Sreenivasulu Reddy,TDP,70.0,Andhra Pradesh,0,Graduate,579539820,276323277,2024
Make Davy Prasad,IND,71.0,Andhra Pradesh,0,Post Graduate,200000,0,2024
Malagundla Sankar Narayana,YSRCP,59.0,Andhra Pradesh,4,Graduate Professional,193107649,3765464,2024
Malikireddy. Hanumantha Reddy,Jana Sahayaka Sakthi,44.0,Andhra Pradesh,0,12th Pass,0,0,2024
Malla Sravani,IND,51.0,Andhra Pradesh,0,5th Pass,30000,0,2024
Mallepally Raghu,Navarang Congress Party,49.0,Andhra Pradesh,0,Doctorate,406000,0,2024
Mallepogu Naganna,SUCI(C),70.0,Andhra Pradesh,0,Illiterate,608586,0,2024
Mallikarjuna Vajjala,INC,61.0,Andhra Pradesh,0,10th Pass,69918391,8430000,2024
Mallipudi Mangapati Pallam Raju,INC,61.0,Andhra Pradesh,0,Post Graduate,0,0,2024
Manchala Lakshmi Narayana,BSP,50.0,Andhra Pradesh,0,10th Pass,1452000,100000,2024
