candidate_name,party,age,state,criminal_cases,education,total_assets,liabilities,year
Anand Ramnath Arlekar,IND,58.0,Andaman and Nicobar Islands,0,10th Pass,843025,1336346,2024
Bishnu Pada Ray,BJP,73.0,Andaman and Nicobar Islands,0,Graduate,27439170,302788,2024
D Ayyappan,CPI(M),60.0,Andaman and Nicobar Islands,0,Post Graduate,13287710,2649000,2024
Dr Arun Kumar Mallik,BSP,64.0,Andaman and Nicobar Islands,0,Post Graduate,111872135,0,2024
K J B Selvaraj,AIADMK,50.0,Andaman and Nicobar Islands,0,Graduate,0,0,2024
K Venkat Ram Babu,IND,50.0,Andaman and Nicobar Islands,0,10th Pass,399000,0,2024
Kuldeep Rai Sharma,INC,56.0,Andaman and Nicobar Islands,0,Graduate Professional,152041369,164057549,2024
Manoj Paul,Andaman Nicobar Democratic Congress,35.0,Andaman and Nicobar Islands,15,Graduate Professional,2433734,1000000,2024
Rinku Mala Mondal,IND,36.0,Andaman and Nicobar Islands,0,Others,265362,220000,2024
Salamat Mondal,SUCI(C),48.0,Andaman and Nicobar Islands,0,Literate,0,0,2024
Usha Kumari,IND,39.0,Andaman and Nicobar Islands,0,12th Pass,600000,0,2024
V.K. Abdul Aziz,IND,42.0,Andaman and Nicobar Islands,2,8th Pass,8267000,187000,2024
L. Khaja Hussain,IND,42.0,Andhra Pradesh,0,Graduate,9246142,0,2024
A Chinna Moulali,BSP,43.0,Andhra Pradesh,0,Graduate Professional,8508000,1300000,2024
A. Madhu,Jai Hindustan Party,31.0,Andhra Pradesh,0,10th Pass,54300,0,2024
A. Purna Chandra,IND,37.0,Andhra Pradesh,0,10th Pass,200000,0,2024
A. Varaprasad,Jatiya Jana Sena Party,51.0,Andhra Pradesh,0,12th Pass,0,0,2024
Abbavaram Ugendra,BSP,44.0,Andhra Pradesh,0,10th Pass,72500,0,2024
Abdul Rajak Shaik,IND,48.0,Andhra Pradesh,0,Graduate Professional,11964145,800000,2024
Abdul Sattar A.S.R,Anna YSR Congress Party,42.0,Andhra Pradesh,1,Post Graduate,6060000,1200000,2024
Adabala Siva,IND,40.0,Andhra Pradesh,2,10th Pass,50000,0,2024
Adari Sarat Chandra,Jai Bharat National Party,39.0,Andhra Pradesh,0,Post Graduate,0,0,2024
Addanki Dorababu,IND,54.0,Andhra Pradesh,0,10th Pass,3450000,1700000,2024
Addepalli Veera Venkat Subba Rao,IND,36.0,Andhra Pradesh,0,Graduate,275000,4300,2024
Adinarayana Duppanapudi,IND,46.0,Andhra Pradesh,0,8th Pass,105000,25000,2024
Adinarayana Taddi,IND,61.0,Andhra Pradesh,0,8th Pass,125000,0,2024
Agasteen Kommina,IND,41.0,Andhra Pradesh,0,5th Pass,0,0,2024
Ajay Babu Boda,Navarang Congress Party,32.0,Andhra Pradesh,0,10th Pass,70000,240000,2024
Akbar M Basha,Anna YSR Congress Party,65.0,Andhra Pradesh,2,12th Pass,26640000,100000,2024
Akumalla Mallikarjuna Reddy,IND,35.0,Andhra Pradesh,0,10th Pass,121000,1180000,2024
Allam.Raja,IND,61.0,Andhra Pradesh,0,Doctorate,201060,800000,2024
Allu Sriramulu,IND,48.0,Andhra Pradesh,0,8th Pass,0,0,2024
Amarthaluri Venkateswara Rao,Marxist Communist Party of India (United),56.0,Andhra Pradesh,4,Graduate Professional,22110958,10550000,2024
Ambati Chalamaiah,Pyramid Party of India,58.0,Andhra Pradesh,0,Graduate,290000,0,2024
Ambica G Lakshminarayana Valmiki,TDP,60.0,Andhra Pradesh,8,Graduate,47540056,2119559,2024
Amruth Kumar Salkapuram,Liberation Congress Party,40.0,Andhra Pradesh,0,Post Graduate,150000,0,2024
Anand Chandulal Jasti,IND,68.0,Andhra Pradesh,0,Doctorate,0,0,2024
Andukuri Vijaya Bhaskar,India Praja Bandhu Party,55.0,Andhra Pradesh,0,Graduate Professional,144443,0,2024
Anil Kumar Maddineni,IND,45.0,Andhra Pradesh,0,Post Graduate,3355000,5260000,2024
Anil Kumar Poluboina,YSRCP,44.0,Andhra Pradesh,1,Graduate Professional,110667086,20075212,2024
Anjaiah.P,Republican Party of India (A),59.0,Andhra Pradesh,0,12th Pass,157000,0,2024
Anjinappa Gari Sreenivasulu,Revolutionary Socialist Party,55.0,Andhra Pradesh,0,5th Pass,0,0,2024
Anusha Yeruva,IND,25.0,Andhra Pradesh,0,Graduate,1175000,100000,2024
Appala Raju Nammi,Bharatha Chaitanya Yuvajana Party,54.0,Andhra Pradesh,3,5th Pass,47810500,8600000,2024
Appalanaidu Kalisetti,TDP,50.0,Andhra Pradesh,0,Graduate Professional,62365187,6670915,2024
Appalanaidu Tummagunta,IND,42.0,Andhra Pradesh,0,Graduate,3810350,2522737,2024
Appalanarasa Pachipenta,CPI(M),41.0,Andhra Pradesh,4,Post Graduate,0,0,2024
Apparao Enneti,IND,51.0,Andhra Pradesh,0,Graduate,123000,80000,2024
Aruna Sri Murala,IND,53.0,Andhra Pradesh,0,12th Pass,2800000,0,2024
Asadi Venkatadri,IND,62.0,Andhra Pradesh,0,12th Pass,1850000,150000,2024
Ashok,SUCI(C),32.0,Andhra Pradesh,0,10th Pass,2209615,10000,2024
Ashok Anand Gali,IND,39.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Atchiyya Naidu Samireddy,SP,55.0,Andhra Pradesh,0,12th Pass,8470863,728770,2024
Athidhi,IND,32.0,Andhra Pradesh,0,Graduate,2043321,1793245,2024
Avashya Lahari . Varam,BSP,30.0,Andhra Pradesh,0,Graduate Professional,5390634,1627956,2024
B A Samad Shaheen,INC,60.0,Andhra Pradesh,0,Post Graduate,56387631,11730500,2024
B C Ramanadha Areddy,IND,58.0,Andhra Pradesh,1,Graduate,0,0,2024
B K Parthasarathi,TDP,65.0,Andhra Pradesh,15,Graduate,168959895,17890470,2024
B Y Ramaiah,YSRCP,57.0,Andhra Pradesh,1,Post Graduate,22991787,3079994,2024
B. Bharani Bas,Ambedkar National Congress,45.0,Andhra Pradesh,0,8th Pass,1017000,0,2024
B.Nagamuthyalu,SUCI(C),42.0,Andhra Pradesh,0,10th Pass,345573,0,2024
B.Raghavendra Prasad,IND,33.0,Andhra Pradesh,4,12th Pass,0,0,2024
Baal Shouri Chodabathina,Jatiya Jana Sena Party,66.0,Andhra Pradesh,0,10th Pass,71500,0,2024
Balagam Nayakar,IND,51.0,Andhra Pradesh,0,10th Pass,453000,0,2024
Balashowry Vallabhaneni,Janasena Party,55.0,Andhra Pradesh,2,Post Graduate,1337214564,868102917,2024
Balija Shiva Kumar,IND,48.0,Andhra Pradesh,0,10th Pass,9037200,200000,2024
Banasi Narayanappa,BSP,48.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Bandapalli Ramesh,IND,37.0,Andhra Pradesh,0,12th Pass,701000,0,2024
Banna Ramesh,Dalita Bahujana Party,49.0,Andhra Pradesh,0,Post Graduate,612696,0,2024
Barre Sreenivasarao (Jai Bheem Srinivas),Telugu Rajadhikara Samiti Party,37.0,Andhra Pradesh,3,Graduate Professional,6880000,0,2024
Bastipati Nagaraju Panchalingala,TDP,45.0,Andhra Pradesh,0,Post Graduate,90176000,1936439,2024
Batthala Ramanaiah,Jai Bharat National Party,49.0,Andhra Pradesh,1,Graduate,0,0,2024
Battula Balaramakrishna,Navarang Congress Party,31.0,Andhra Pradesh,0,Graduate Professional,1594400,2020000,2024
Bellamkonda Sreenivasulu,IND,46.0,Andhra Pradesh,0,Post Graduate,260000,0,2024
Bellana Chandrasekhar,YSRCP,62.0,Andhra Pradesh,5,Graduate Professional,22000775,9852470,2024
Betha Vivekananda Maharaj,IND,38.0,Andhra Pradesh,0,Graduate,170000,0,2024
Bhagya R S,BSP,28.0,Andhra Pradesh,0,Graduate,0,0,2024
Bhanu Chandar Kuruvella,IND,39.0,Andhra Pradesh,2,10th Pass,970320,0,2024
Bhargav Valluru,INC,36.0,Andhra Pradesh,0,Post Graduate,129653183,60481248,2024
Bhaskar Nasina,BSP,70.0,Andhra Pradesh,0,12th Pass,1722000,95000,2024
Bhavani Sankar Prasad Merla,IND,64.0,Andhra Pradesh,1,5th Pass,23790000,600000,2024
Bhuma Veera Bhadra Reddy,Navarang Congress Party,55.0,Andhra Pradesh,0,8th Pass,0,0,2024
Bhupathi Raju Srinivasa Varma,BJP,56.0,Andhra Pradesh,0,Post Graduate,71664809,16926961,2024
Bikkavolu Chalamaji,Navarang Congress Party,43.0,Andhra Pradesh,0,Graduate,204672,0,2024
Bobbili Srinu,INC,33.0,Andhra Pradesh,0,Graduate,18991100,3820000,2024
Boddeti Apparao,IND,31.0,Andhra Pradesh,0,10th Pass,20000,0,2024
Boddu Kranthi Kumar,IND,33.0,Andhra Pradesh,0,Illiterate,0,0,2024
Bokinala Koteswara Rao,IND,42.0,Andhra Pradesh,0,Post Graduate,2147964,0,2024
Bommali Tirupati Rao,Pyramid Party of India,29.0,Andhra Pradesh,0,Others,120000,42423,2024
Bommanaboina Vsr Murthy,IND,67.0,Andhra Pradesh,0,Post Graduate,67643000,2740000,2024
Bommasani Mutyala Rao,All Peoples Party,74.0,Andhra Pradesh,0,Graduate Professional,11551000,0,2024
Bontha Ranga Reddy,IND,61.0,Andhra Pradesh,0,12th Pass,0,0,2024
Borubadra Chandrakala,Bharatha Chaitanya Yuvajana Party,37.0,Andhra Pradesh,0,Post Graduate,9508000,3258800,2024
Botcha Jhansilakshmi,YSRCP,61.0,Andhra Pradesh,0,Doctorate,197603661,42487569,2024
Boya Suresh,IND,30.0,Andhra Pradesh,0,Graduate,3263000,0,2024
Brahmananda Reddy K,IND,57.0,Andhra Pradesh,1,10th Pass,3622000,270000,2024
Buchi Edukondalu,IND,41.0,Andhra Pradesh,0,Post Graduate,0,0,2024
Budi Mutyala Naidu,YSRCP,60.0,Andhra Pradesh,0,10th Pass,73992295,17719071,2024
Budili Dhanunjaya,National Nava Kranthi Party,36.0,Andhra Pradesh,0,10th Pass,50000,0,2024
Bugatha Bangarrao,CPI(ML)(L),63.0,Andhra Pradesh,3,10th Pass,4210000,980000,2024
Buraga Ratnam,Loktantrik Janta Dal,53.0,Andhra Pradesh,0,Graduate Professional,47013655,14034000,2024
Bushaku Maheswara Reddy,IND,50.0,Andhra Pradesh,0,Graduate Professional,0,0,2024
Bussa Nagaraju,IND,34.0,Andhra Pradesh,4,Others,1115600,0,2024
Byraboyina Malyadri,Bharatha Chaitanya Yuvajana Party,55.0,Andhra Pradesh,0,5th Pass,12170000,7970000,2024
C Surendra Natha Reddy,IND,60.0,Andhra Pradesh,0,12th Pass,2300000,150000,2024
C. David,Indian Believers Party,43.0,Andhra Pradesh,0,Graduate,3879948,90000,2024
C. Punyamurthy,United Republican Party of India,50.0,Andhra Pradesh,4,Others,0,0,2024
C.M.Ramesh,BJP,58.0,Andhra Pradesh,5,12th Pass,4976024996,1016183515,2024
C.Sudhakar,IND,48.0,Andhra Pradesh,0,10th Pass,200000,0,2024
Ch P Malleswarudu,IND,69.0,Andhra Pradesh,0,10th Pass,100000,0,2024
Chadipiralla Bhupesh Subbarami Reddy,TDP,37.0,Andhra Pradesh,1,Graduate Professional,30034646,11334283,2024
Chagantipati Gangadhar Gandhi,Pyramid Party of India,49.0,Andhra Pradesh,0,12th Pass,0,0,2024
Chalamalasetty Sunil,YSRCP,54.0,Andhra Pradesh,0,Post Graduate,1499962589,68239876,2024
Challapalli Ratan Raju,Viduthalai Chiruthaigal Katchi,37.0,Andhra Pradesh,0,Post Graduate,4591026,1559053,2024
Chan Basha S,Anna YSR Congress Party,50.0,Andhra Pradesh,0,5th Pass,3540000,940000,2024
Chandini Reddy Vakati,Liberation Congress Party,28.0,Andhra Pradesh,0,Graduate,5120000,1500000,2024
Chanti Badnaina,Jai Bharat National Party,28.0,Andhra Pradesh,0,12th Pass,0,0,2024
