state,constituency,candidate,gender,age,category,party,postal_votes,total_votes_received,total_votes_polled,over_total_electors_in_constituency_pct,over_total_votes_polled_in_constituency_pct,rank,year
Andhra Pradesh,Araku (ST),GUMMA THANUJA RANI,FEMALE,31,Scheduled Tribe,Yuvajana Sramika Rythu Congress Party,5535.0,477005.0,1113975.0,42.82008124060235,,1,2024
Andhra Pradesh,Araku (ST),KOTHAPALLI GEETHA,FEMALE,53,Scheduled Tribe,Bharatiya Janata Party,9312.0,426425.0,1113975.0,38.279584371283015,,2,2024
Andhra Pradesh,Araku (ST),APPALANARASA PACHIPENTA,MALE,41,Scheduled Tribe,Communist Party of India (Marxist),4113.0,123129.0,1113975.0,11.053120581700666,,3,2024
Andhra Pradesh,Araku (ST),AVASHYA LAHARI . VARAM,FEMALE,30,Scheduled Tribe,Bahujan Samaj Party,892.0,25750.0,1113975.0,2.3115420004937275,,4,2024
Andhra Pradesh,Araku (ST),SAMAREDDY BALAKRISHNA,MALE,48,Scheduled Tribe,Independent,42.0,9535.0,1113975.0,0.855943804843017,,5,2024
Andhra Pradesh,Araku (ST),NIMMAKA JAYARAJU,MALE,64,Scheduled Tribe,Independent,664.0,9462.0,1113975.0,0.8493906954823941,,6,2024
Andhra Pradesh,Araku (ST),ATHIDHI,FEMALE,32,Scheduled Tribe,Independent,15.0,8136.0,1113975.0,0.7303575035346395,,7,2024
Andhra Pradesh,Araku (ST),CHANTI BADNAINA,MALE,28,Scheduled Tribe,Jai Bharat National Party,47.0,7252.0,1113975.0,0.6510020422361363,,8,2024
Andhra Pradesh,Araku (ST),MOTTADAM . RAJABABU,MALE,47,Scheduled Tribe,Bharat Adivasi Party,396.0,6766.0,1113975.0,0.6073744922462353,,9,2024
Andhra Pradesh,Araku (ST),RANJITH KUMAR PALAKA,MALE,42,Scheduled Tribe,Independent,47.0,6047.0,1113975.0,0.5428308534751678,,10,2024
Andhra Pradesh,Araku (ST),RAMBABU JALLI,MALE,45,Scheduled Tribe,Telugu Rajadhikara Samiti Party,26.0,4959.0,1113975.0,0.4451625934154716,,12,2024
Andhra Pradesh,Araku (ST),MANDALA GIRIDHARA RAO,MALE,42,Scheduled Tribe,Independent,36.0,4967.0,1113975.0,0.4458807423864988,,11,2024
Andhra Pradesh,Araku (ST),VUYAKA NIREEKSHAN (V. CHENCHU),MALE,43,Scheduled Tribe,India Praja Bandhu Party,42.0,4542.0,1113975.0,0.40772907830068,,13,2024
Andhra Pradesh,Srikakulam,KINJARAPU RAMMOHAN NAIDU,MALE,36,General,Telugu Desam,19827.0,754328.0,1211081.0,62.2855118691483,,1,2024
Andhra Pradesh,Srikakulam,TILAK PERADA,MALE,50,General,Yuvajana Sramika Rythu Congress Party,6033.0,426427.0,1211081.0,35.21044422297105,,2,2024
Andhra Pradesh,Srikakulam,PEDADA PARAMESWARA RAO,MALE,59,General,Indian National Congress,448.0,7172.0,1211081.0,0.592198209698608,,3,2024
Andhra Pradesh,Srikakulam,SANAPALA SRAVAN KUMAR,MALE,38,General,Independent,8.0,5958.0,1211081.0,0.4919571853575442,,4,2024
Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,MALE,40,General,Bahujan Samaj Party,81.0,4742.0,1211081.0,0.3915510192959843,,5,2024
Andhra Pradesh,Srikakulam,VABA YOGESWARA RAO,MALE,39,General,Independent,126.0,3598.0,1211081.0,0.29708995517228,,6,2024
Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,MALE,38,General,Independent,13.0,2536.0,1211081.0,0.209399701588911,,7,2024
Andhra Pradesh,Srikakulam,YEDDU LAKSHMINARAYANA,MALE,66,General,Independent,7.0,1605.0,1211081.0,0.1325262306980292,,8,2024
Andhra Pradesh,Srikakulam,BORUBADRA CHANDRAKALA,FEMALE,37,General,Bharatha Chaitanya Yuvajana Party,42.0,1357.0,1211081.0,0.1120486573565269,,9,2024
Andhra Pradesh,Srikakulam,IPPILI SEETHARAJU,MALE,47,General,Jai Bharat National Party,50.0,1130.0,1211081.0,0.0933050720802324,,10,2024
Andhra Pradesh,Srikakulam,KAYA DURGARAO,MALE,34,General,Navarang Congress Party,7.0,818.0,1211081.0,0.0675429636828585,,11,2024
Andhra Pradesh,Srikakulam,CHELLURI DANIYAL,MALE,49,General,Independent,20.0,816.0,1211081.0,0.0673778219623625,,12,2024
Andhra Pradesh,Srikakulam,BOMMALI TIRUPATI RAO,MALE,29,General,Pyramid Party of India,5.0,594.0,1211081.0,0.049047090987308,,13,2024
Andhra Pradesh,Vizianagaram,APPALANAIDU KALISETTI,MALE,50,General,Telugu Desam,13829.0,743113.0,1275992.0,58.23806105367432,,1,2024
Andhra Pradesh,Vizianagaram,BELLANA CHANDRASEKHAR,MALE,62,General,Yuvajana Sramika Rythu Congress Party,6071.0,493762.0,1275992.0,38.69632411488473,,2,2024
Andhra Pradesh,Vizianagaram,BOBBILI SRINU,MALE,33,General,Indian National Congress,353.0,10623.0,1275992.0,0.8325287305876526,,3,2024
Andhra Pradesh,Vizianagaram,PEERUBANDI PRAKASH RAO,MALE,69,General,Bahujan Samaj Party,53.0,8038.0,1275992.0,0.629941253550179,,4,2024
Andhra Pradesh,Vizianagaram,VELURI VENKATA TRINADHARAO,MALE,58,General,Independent,6.0,4152.0,1275992.0,0.3253938896168628,,5,2024
Andhra Pradesh,Vizianagaram,ALLU SRIRAMULU,MALE,48,General,Independent,5.0,3401.0,1275992.0,0.2665377212396316,,6,2024
Andhra Pradesh,Vizianagaram,SIYYADULA YELLA RAO,MALE,42,General,Independent,2.0,3107.0,1275992.0,0.2434968244315011,,7,2024
Andhra Pradesh,Vizianagaram,SRINIVASA RAO SAMBHANA,MALE,45,General,Yuga Thulasi Party,3.0,1761.0,1275992.0,0.138010269656863,,8,2024
Andhra Pradesh,Vizianagaram,MARISERLA KRISHNAMURTHY NAIDU,MALE,50,General,Independent,12.0,1629.0,1275992.0,0.1276653772123963,,9,2024
Andhra Pradesh,Vizianagaram,VANGAPANDU MAHESWARA RAO,MALE,37,General,Naba Bharata Nirmana Seva Party,9.0,1553.0,1275992.0,0.1217092270170973,,10,2024
Andhra Pradesh,Vizianagaram,CHINNAM ARUNA KUMAR,MALE,46,General,Jaibhim Rao Bharat Party,10.0,1411.0,1275992.0,0.1105806305995649,,11,2024
Andhra Pradesh,Vizianagaram,ATCHIYYA NAIDU SAMIREDDY,MALE,55,General,Samajwadi Party,11.0,1070.0,1275992.0,0.0838563251180258,,12,2024
Andhra Pradesh,Vizianagaram,ADINARAYANA TADDI,MALE,61,General,Independent,1.0,856.0,1275992.0,0.0670850600944206,,13,2024
Andhra Pradesh,Vizianagaram,P V A ANANDA SAGAR,MALE,60,General,Independent,4.0,791.0,1275992.0,0.0619909842694938,,14,2024
Andhra Pradesh,Vizianagaram,SAKHINETI ANANTHA RAJU,MALE,50,General,Pyramid Party of India,10.0,725.0,1275992.0,0.0568185380472604,,15,2024
Andhra Pradesh,Visakhapatnam,SRIBHARAT MATHUKUMILI,MALE,35,General,Telugu Desam,13583.0,907467.0,1381812.0,65.67224774426622,,1,2024
Andhra Pradesh,Visakhapatnam,JHANSI LAKSHMI. BOTCHA.,FEMALE,61,General,Yuvajana Sramika Rythu Congress Party,5399.0,403220.0,1381812.0,29.18052528129731,,2,2024
Andhra Pradesh,Visakhapatnam,P. SATYA REDDY,MALE,52,General,Indian National Congress,837.0,30267.0,1381812.0,2.1903847990898906,,3,2024
Andhra Pradesh,Visakhapatnam,K.A. PAUL,MALE,60,General,Praja Shanthi Party,167.0,7696.0,1381812.0,0.5569498600388475,,4,2024
Andhra Pradesh,Visakhapatnam,PEDAPENKI SIVA PRASADA RAO,MALE,57,General,Bahujan Samaj Party,85.0,6091.0,1381812.0,0.4407980246227417,,5,2024
Andhra Pradesh,Visakhapatnam,BIKKAVOLU. CHALAMAJI,MALE,43,General,Navarang Congress Party,1.0,4884.0,1381812.0,0.3534489496400378,,6,2024
Andhra Pradesh,Visakhapatnam,V.N. SATYA NARAYANA,MALE,44,General,Rashtriya Praja Congress (Secular),3.0,2537.0,1381812.0,0.1835995055767354,,7,2024
Andhra Pradesh,Visakhapatnam,ARUNA SRI MURALA,FEMALE,53,General,Independent,2.0,1993.0,1381812.0,0.1442309084014323,,8,2024
Andhra Pradesh,Visakhapatnam,VASUPILLI SURESH,MALE,54,General,Independent,2.0,1933.0,1381812.0,0.1398887837129797,,9,2024
Andhra Pradesh,Visakhapatnam,SONDI KRISHNA.,MALE,52,General,Independent,7.0,1818.0,1381812.0,0.1315663780601123,,10,2024
Andhra Pradesh,Visakhapatnam,ANDUKURI VIJAYA BHASKAR,MALE,55,General,India Praja Bandhu Party,11.0,1109.0,1381812.0,0.0802569379915646,,11,2024
Andhra Pradesh,Visakhapatnam,DR. GANAPATHI KONGARAPU.,MALE,42,General,Republican Party of India (A),6.0,950.0,1381812.0,0.0687503075671654,,12,2024
Andhra Pradesh,Visakhapatnam,BANNA. RAMESH,MALE,49,General,Dalita Bahujana Party,7.0,948.0,1381812.0,0.0686055700775503,,13,2024
Andhra Pradesh,Visakhapatnam,P. SATYA VANI,FEMALE,53,General,Pyramid Party of India,7.0,882.0,1381812.0,0.0638292329202525,,14,2024
Andhra Pradesh,Visakhapatnam,DURGA PRASAD. GUNTU,MALE,57,General,Bhartiya Rashtriya Dal,7.0,767.0,1381812.0,0.0555068272673851,,15,2024
Andhra Pradesh,Visakhapatnam,CHAPPIDI RAMU,MALE,49,General,Independent,1.0,757.0,1381812.0,0.0547831398193097,,16,2024
Andhra Pradesh,Visakhapatnam,M.G.M. KHAN,MALE,37,General,Independent,4.0,742.0,1381812.0,0.0536976086471965,,17,2024
Andhra Pradesh,Visakhapatnam,SHANKAR DEVARA YADAV,MALE,26,General,Independent,5.0,661.0,1381812.0,0.0478357403177856,,18,2024
Andhra Pradesh,Visakhapatnam,VENU MADHAV KARRI,MALE,48,General,Independent,1.0,647.0,1381812.0,0.04682257789048,,19,2024
Andhra Pradesh,Visakhapatnam,DR. ACHUTHA BALAJI YADAV (MURAPALA),MALE,39,General,Bharatha Chaitanya Yuvajana Party,10.0,638.0,1381812.0,0.0461712591872121,,20,2024
Andhra Pradesh,Visakhapatnam,THOTA VENKATA SAI MUKUND,MALE,29,General,Praja Prasthanam Party,5.0,633.0,1381812.0,0.0458094154631744,,21,2024
Andhra Pradesh,Visakhapatnam,PIDIDHI APPARAO,MALE,44,General,Independent,4.0,580.0,1381812.0,0.0419738719883746,,22,2024
Andhra Pradesh,Visakhapatnam,G.A.N. ANAND,MALE,38,General,Independent,,543.0,1381812.0,0.0392962284304956,,23,2024
Andhra Pradesh,Visakhapatnam,VADDI. HARI GANESH,MALE,42,General,Independent,2.0,520.0,1381812.0,0.0376317472999221,,24,2024
Andhra Pradesh,Visakhapatnam,JANARDHAN PONNADA.,MALE,31,General,Independent,1.0,500.0,1381812.0,0.0361843724037712,,25,2024
Andhra Pradesh,Visakhapatnam,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),MALE,49,General,Jai Maha Bharath Party,6.0,500.0,1381812.0,0.0361843724037712,,25,2024
Andhra Pradesh,Visakhapatnam,JALADI VIJAYA KUMARI,FEMALE,52,General,Samajwadi Party,3.0,466.0,1381812.0,0.0337238350803148,,27,2024
Andhra Pradesh,Visakhapatnam,CHINTADA SURYAM,MALE,56,General,Naba Bharata Nirmana Seva Party,5.0,448.0,1381812.0,0.032421197673779,,28,2024
Andhra Pradesh,Visakhapatnam,GANDIKOTA RAJESH,MALE,43,General,Navataram Party,1.0,393.0,1381812.0,0.0284409167093642,,29,2024
Andhra Pradesh,Visakhapatnam,KOLLI NAGA RAJU,MALE,38,General,Independent,7.0,329.0,1381812.0,0.0238093170416815,,30,2024
Andhra Pradesh,Visakhapatnam,METTA RAMA RAO,MALE,58,General,Independent,6.0,326.0,1381812.0,0.0235922108072588,,31,2024
Andhra Pradesh,Visakhapatnam,LAGUDU. GOVINDA RAO,MALE,44,General,Independent,1.0,294.0,1381812.0,0.0212764109734175,,32,2024
Andhra Pradesh,Visakhapatnam,MALLA SRAVANI,FEMALE,51,General,Independent,2.0,273.0,1381812.0,0.0197566673324591,,33,2024
Andhra Pradesh,Anakapalle,C.M.RAMESH,MALE,58,General,Bharatiya Janata Party,12042.0,762069.0,1299097.0,58.6614394460152,,1,2024
Andhra Pradesh,Anakapalle,BUDI MUTYALA NAIDU,MALE,60,General,Yuvajana Sramika Rythu Congress Party,5777.0,465539.0,1299097.0,35.83558425583309,,2,2024
Andhra Pradesh,Anakapalle,VEGI VENKATESH,MALE,50,General,Indian National Congress,818.0,25651.0,1299097.0,1.9745253818614008,,3,2024
Andhra Pradesh,Anakapalle,PALAKA SREERAMA MURTHY,MALE,54,General,Bahujan Samaj Party,75.0,19157.0,1299097.0,1.4746396920322349,,4,2024
Andhra Pradesh,Anakapalle,VANKAYALA RAMACHANDRA RAO,MALE,70,General,Independent,1.0,4002.0,1299097.0,0.3080601371568097,,5,2024
Andhra Pradesh,Anakapalle,LOVARAJU SIDDHA,MALE,36,General,Independent,7.0,3852.0,1299097.0,0.2965136552543805,,6,2024
Andhra Pradesh,Anakapalle,KRISHNA SWAROOP VADLAMURI,MALE,50,General,Dalita Bahujana Party,8.0,3557.0,1299097.0,0.2738055741796032,,7,2024
Andhra Pradesh,Anakapalle,GARA SURYA RAO,MALE,70,General,Independent,8.0,3124.0,1299097.0,0.240474729754591,,8,2024
Andhra Pradesh,Anakapalle,APPALA RAJU NAMMI,MALE,54,General,Bharatha Chaitanya Yuvajana Party,30.0,2619.0,1299097.0,0.2016015740164129,,9,2024
Andhra Pradesh,Anakapalle,NAGESWARA RAO PETLA,MALE,60,General,Independent,5.0,2184.0,1299097.0,0.1681167764993684,,10,2024
Andhra Pradesh,Anakapalle,ADARI SARAT CHANDRA,MALE,39,General,Jai Bharat National Party,27.0,1913.0,1299097.0,0.1472561325289797,,11,2024
Andhra Pradesh,Anakapalle,VIJAYA LAKSHMI KARRI,FEMALE,43,General,Pyramid Party of India,13.0,1591.0,1299097.0,0.1224696847117651,,12,2024
