Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
1,Godam Nagesh,ADILABAD (ST),BJP,1,Post Graduate,"Rs 3,09,16,833  ~ 3 Crore+","Rs 29,01,575  ~ 29 Lacs+"
2,Prof S P Singh Baghel,AGRA (SC),BJP,0,Doctorate,"Rs 10,43,58,691  ~ 10 Crore+","Rs 51,70,325  ~ 51 Lacs+"
3,Hasmukhbhai Patel (H.S.Patel),AHMEDABAD EAST,BJP,0,12th Pass,"Rs 8,64,70,298  ~ 8 Crore+","Rs 1,35,15,602  ~ 1 Crore+"
4,Dineshbhai Makwana (Advocate),AHMEDABAD WEST (SC),BJP,0,Graduate Professional,"Rs 14,17,69,586  ~ 14 Crore+","Rs 1,32,22,046  ~ 1 Crore+"
5,Nilesh Dnyandev Lanke,AHMEDNAGAR,Nationalist Congress Party – Sharadchandra Pawar,2,Graduate,,
6,Bhagirath Choudhary,AJMER,BJP,0,12th Pass,"Rs 13,38,11,555  ~ 13 Crore+","Rs 54,32,413  ~ 54 Lacs+"
7,Devendra Singh Alias Bhole Singh,AKBARPUR,BJP,13,10th Pass,"Rs 4,78,28,524  ~ 4 Crore+","Rs 99,02,495  ~ 99 Lacs+"
8,Anup Sanjay Dhotre,AKOLA,BJP,1,Graduate,"Rs 10,92,59,962  ~ 10 Crore+","Rs 3,72,01,641  ~ 3 Crore+"
9,K. C Venugopal,ALAPPUZHA,INC,1,Post Graduate,"Rs 3,63,42,460  ~ 3 Crore+","Rs 2,72,817  ~ 2 Lacs+"
10,K.Radhakrishnan,ALATHUR (SC),CPI(M),0,Graduate,,
11,Satish Kumar Gautam,ALIGARH,BJP,0,Graduate,"Rs 16,06,24,125  ~ 16 Crore+","Rs 4,65,70,044  ~ 4 Crore+"
12,Manoj Tigga,ALIPURDUARS (ST),BJP,6,Graduate,"Rs 57,51,023  ~ 57 Lacs+","Rs 16,02,698  ~ 16 Lacs+"
13,Ujjwal Raman Singh,ALLAHABAD,INC,0,Graduate Professional,"Rs 26,89,88,675  ~ 26 Crore+","Rs 1,19,96,527  ~ 1 Crore+"
