#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
491,Supaul,8,GEN,Bihar [2000 Onwards],Dileshwar Kamait,Janata Dal (United),1680576,1110805,66.7 %,266853,24.0%
492,Surat,24,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,1606425,1068412,67.2 %,548230,51.3%
493,Surendranagar,9,GEN,Gujarat,Dr. Munjapara Mahendrabhai,Bharatiya Janta Party,1812702,1077726,59.9 %,277437,25.7%
494,Tamluk,30,GEN,West Bengal,Adhikari Dibyendu,All India Trinamool Congress,1839886,1446499,79.2 %,190165,13.1%
495,Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,1439343,876069,61.3 %,300586,34.3%
496,Tenkasi,37,SC,Tamil Nadu,Dhanush.M.Kumar,Dravida Munetra Kazhagam,1472742,1065569,73.3 %,120286,11.3%
497,Tezpur,9,GEN,Assam,Pallab Lochan Das,Bharatiya Janta Party,1437189,1190196,83.9 %,242841,20.4%
498,Thane,25,GEN,Maharashtra,Rajan Baburao Vichare,Shiv Sena,2178348,1170518,54.7 %,412145,35.2%
499,Thanjavur,30,GEN,Tamil Nadu,"Palanimanickam,s.S.",Dravida Munetra Kazhagam,1443417,1059223,74.4 %,368129,34.8%
500,Theni,33,GEN,Tamil Nadu,"Raveendranath Kumar, P",All India Anna Dravida Munnetra Kazhagam,1800597,1173489,65.8 %,76693,6.5%
501,Thiruvallur,1,SC,Tamil Nadu,Dr.K.Jayakumar,Indian National Congress,1882738,1408189,75.8 %,356955,25.3%
502,Thiruvananthap,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,1330409,1010180,76.3 %,99989,9.9%
503,Thoothukkudi,36,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munetra Kazhagam,1402826,991263,71.3 %,347209,35.0%
504,Thrissur,10,GEN,Kerala,T. N. Prathapan,Indian National Congress,1268671,1041869,82.5 %,93633,9.0%
505,Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr Virendra Kumar,Bharatiya Janta Party,1717393,1096712,64.5 %,348059,31.7%
506,Tiruchirappall,24,GEN,Tamil Nadu,Thirunavukkarasar. Su,Indian National Congress,1489425,1048062,71.3 %,459286,43.8%
507,Tirunelveli,38,GEN,Tamil Nadu,Gnanathiraviam S,Dravida Munetra Kazhagam,1526692,1039761,68.8 %,185457,17.8%
508,Tirupati,23,,Andhra Pradesh [2014 Onwards],Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,1509361,1313515,88.7 %,228376,17.4%
509,Tiruppur,18,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,1490562,1119584,76.6 %,93368,8.3%
510,Tiruvannamalai,11,GEN,Tamil Nadu,Annadurai C N,Dravida Munetra Kazhagam,1431287,1151729,81.3 %,304187,26.4%
511,Tonk-Sawai Mad,12,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,1893418,1233458,65.6 %,111291,9.0%
512,Tripura East,2,ST,Tripura,Rebati Tripura,Bharatiya Janta Party,1173233,1045417,90.1 %,204290,19.5%
513,Tripura West,1,GEN,Tripura,Pratima Bhoumik,Bharatiya Janta Party,1285794,1107755,87.1 %,305689,27.6%
514,Tumkur,19,GEN,Karnataka,G. S. Basavaraj,Bharatiya Janta Party,1584884,1244858,79.2 %,13339,1.1%
515,Tura,2,ST,Meghalaya,Agatha K. Sangma,National People's Party,692353,583041,85.1 %,64030,11.0%
516,Udaipur,19,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,2008400,1454518,73.8 %,437914,30.1%
517,Udhampur,5,,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,1490244,1180123,79.7 %,357252,30.3%
518,Udupi Chikmaga,15,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,1495439,1151012,77.5 %,349599,30.4%
519,Ujiarpur,22,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,1588209,969284,61.9 %,277278,28.6%
520,Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,1624122,1252511,77.8 %,365637,29.2%
521,Uluberia,26,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,1775607,1311099,74.4 %,215359,16.4%
522,Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Swami Sakshi Ji Maharaj,Bharatiya Janta Party,2160607,1237076,57.8 %,400956,32.4%
523,Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1535047,1153480,76.2 %,479649,41.6%
524,Vadakara,3,GEN,Kerala,K. Muraleedharan,Indian National Congress,1207556,1065619,88.5 %,84663,7.9%
525,Vadodara,20,GEN,Gujarat,Ranjanben Bhatt,Bharatiya Janta Party,1707484,1222348,72.6 %,589177,48.2%
526,Vaishali,16,GEN,Bihar [2000 Onwards],Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,1721658,1074730,63.0 %,234584,21.8%
527,Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Baidyanath Prasad Mahto,Janata Dal (United),1641701,1032090,65.0 %,354616,34.4%
528,Valsad,26,ST,Gujarat,Dr.K.C.Patel,Bharatiya Janta Party,1628352,1260377,78.6 %,353797,28.1%
529,Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,1784093,1060476,59.7 %,479505,45.2%
530,Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Ramakant Bhargava,Bharatiya Janta Party,1700678,1250244,74.0 %,503084,40.2%
531,Vijayawada,12,,Andhra Pradesh [2014 Onwards],Kesineni Srinivas (NANI),Telugu Desam,1362762,1277711,94.4 %,8726,0.7%
532,Viluppuram,13,SC,Tamil Nadu,Ravikumar D,Dravida Munetra Kazhagam,1400389,1135540,81.9 %,128068,11.3%
533,Virudhunagar,34,GEN,Tamil Nadu,"Manickam Tagore, B.",Indian National Congress,1461240,1074735,74.7 %,154554,14.4%
534,Visakhapatnam,4,,Andhra Pradesh [2014 Onwards],M V V Satyanarayana,Yuvajana Sramika Rythu Congress Party,1534088,1239754,81.9 %,4414,0.4%
535,Vizianagaram,3,,Andhra Pradesh [2014 Onwards],Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,1380455,1217890,90.4 %,48036,3.9%
536,Warangal,15,SC,Telangana,Dayakar Pasunoori,Telangana Rashtra Samithi,1578335,1061645,68.5 %,350298,33.0%
537,Wardha,8,GEN,Maharashtra,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,1679788,1072570,64.2 %,187191,17.5%
538,Wayanad,4,GEN,Kerala,Rahul Gandhi,Indian National Congress,1306141,1092197,83.8 %,431770,39.5%
539,West Delhi,6,GEN,Delhi [1977 Onwards],Sant Prasad Sinha,Bharatiya Janta Party,2039410,1441601,71.1 %,578486,40.1%
540,Yavatmal-Washi,14,GEN,Maharashtra,Bhavana Pundlikrao Gawali,Shiv Sena,1812059,1174220,65.0 %,117939,10.0%
541,Zahirabad,5,GEN,Telangana,B.B.Patil,Telangana Rashtra Samithi,1411026,1044365,74.8 %,6229,0.6%
