Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
246,Anurag Sharma,JHANSI,BJP,0,Post Graduate,"Rs 1,24,30,60,113  ~ 124 Crore+","Rs 1,42,12,970  ~ 1 Crore+"
247,Kunar Hembram,JHARGRAM,BJP,0,Graduate Professional,"Rs 1,03,87,498  ~ 1 Crore+","Rs 5,65,000  ~ 5 Lacs+"
248,Narendra Kumar,JHUNJHUNU,BJP,1,Graduate,"Rs 4,74,74,109  ~ 4 Crore+","Rs 32,78,401  ~ 32 Lacs+"
249,Gajendra Singh Shekhawat,JODHPUR,BJP,1,Post Graduate,"Rs 13,80,29,511  ~ 13 Crore+","Rs 5,85,73,744  ~ 5 Crore+"
250,Topon Kumar Gogoi,JORHAT,BJP,0,Post Graduate,,
251,Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP,1,12th Pass,"Rs 1,08,66,041  ~ 1 Crore+","Rs 14,81,768  ~ 14 Lacs+"
252,Chavda Vinod Lakhamshi,KACHCHH,BJP,0,Post Graduate,"Rs 3,35,08,455  ~ 3 Crore+","Rs 1,24,58,607  ~ 1 Crore+"
253,Yeduguri Sandinti Avinash Reddy,KADAPA,YSRCP,4,Post Graduate,"Rs 18,69,69,794  ~ 18 Crore+","Rs 2,28,33,319  ~ 2 Crore+"
254,Pradeep Kumar,KAIRANA,BJP,5,Post Graduate,"Rs 1,72,92,937  ~ 1 Crore+","Rs 13,00,000  ~ 13 Lacs+"
255,Brij Bhushan Sharan Singh,KAISERGANJ,BJP,4,Graduate Professional,,
256,Vanga Geetha Viswanatham,KAKINADA,YSRCP,0,Post Graduate,"Rs 20,25,28,594  ~ 20 Crore+","Rs 3,44,16,878  ~ 3 Crore+"
257,Basanta Kumar Panda,KALAHANDI,BJP,3,12th Pass,"Rs 95,47,000  ~ 95 Lacs+",Rs 0  ~
258,Gaurav Gogoi,KALIABOR,INC,0,Post Graduate,"Rs 1,37,27,834  ~ 1 Crore+","Rs 12,50,000  ~ 12 Lacs+"
259,Gautham Sigamani Pon,KALLAKURICHI,DMK,1,Post Graduate,"Rs 47,11,86,830  ~ 47 Crore+","Rs 8,11,31,909  ~ 8 Crore+"
260,Dr. Shrikant Eknath Shinde,KALYAN,SHS,1,Post Graduate,,
261,Selvam.G,KANCHEEPURAM,DMK,0,Post Graduate,"Rs 4,81,72,936  ~ 4 Crore+",Rs 0  ~
262,Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,"Rs 12,44,722  ~ 12 Lacs+",Rs 0  ~
263,Kishan Kapoor,KANGRA,BJP,2,12th Pass,"Rs 8,58,41,247  ~ 8 Crore+","Rs 36,05,161  ~ 36 Lacs+"
264,Mohan Mandavi,KANKER,BJP,0,Post Graduate,"Rs 2,86,75,553  ~ 2 Crore+","Rs 6,79,000  ~ 6 Lacs+"
265,Subrat Pathak,KANNAUJ,BJP,11,Graduate,,
266,Vasanthakumar H,KANNIYAKUMARI,INC,0,Post Graduate,"Rs 4,17,49,30,444  ~ 417 Crore+","Rs 1,54,75,11,439  ~ 154 Crore+"
267,K Sudhakaran,KANNUR,INC,3,Post Graduate,"Rs 2,96,99,206  ~ 2 Crore+","Rs 74,68,633  ~ 74 Lacs+"
268,Satyadev Pachauri,KANPUR,BJP,0,Post Graduate,"Rs 13,23,82,819  ~ 13 Crore+","Rs 3,10,52,190  ~ 3 Crore+"
269,Sisir Kumar Adhikari,KANTHI,AITC,3,12th Pass,"Rs 3,39,79,650  ~ 3 Crore+",Rs 0  ~
270,Mahabali Singh,KARAKAT,JD(U),3,8th Pass,,
271,Manoj Rajoria,KARAULI DHOLPUR,BJP,0,Post Graduate,"Rs 6,48,67,148  ~ 6 Crore+","Rs 2,21,21,569  ~ 2 Crore+"
272,Kripanath Mallah,KARIMGANJ,BJP,0,Graduate,"Rs 18,71,040  ~ 18 Lacs+",Rs 0  ~
273,Bandi Sanjay Kumar,KARIMNAGAR,BJP,6,Post Graduate,"Rs 22,70,000  ~ 22 Lacs+","Rs 13,41,800  ~ 13 Lacs+"
274,Sanjay Bhatia,KARNAL,BJP,0,Graduate,"Rs 22,56,739  ~ 22 Lacs+","Rs 5,00,000  ~ 5 Lacs+"
275,Jothimani S,KARUR,INC,0,Post Graduate,,
