Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
386,Meenakashi Lekhi,NEW DELHI,BJP,0,Graduate Professional,"Rs 36,14,41,689  ~ 36 Crore+","Rs 79,38,378  ~ 79 Lacs+"
387,A. Raja,NILGIRIS,DMK,6,Graduate Professional,"Rs 4,95,91,024  ~ 4 Crore+","Rs 14,24,914  ~ 14 Lacs+"
388,Dharmapuri Arvind,NIZAMABAD,BJP,1,Post Graduate,"Rs 87,69,30,468  ~ 87 Crore+","Rs 33,75,80,746  ~ 33 Crore+"
389,Manoj Tiwari,NORTH EAST DELHI,BJP,3,Post Graduate,"Rs 24,28,17,031  ~ 24 Crore+","Rs 1,36,18,755  ~ 1 Crore+"
390,Shripad Yesso Naik,NORTH GOA,BJP,0,Graduate,,
391,Hans Raj Hans,NORTH WEST DELHI,BJP,0,10th Pass,"Rs 13,09,37,732  ~ 13 Crore+","Rs 4,78,97,494  ~ 4 Crore+"
392,Magunta Sreenivasulu Reddy,ONGOLE,YSRCP,0,Graduate,"Rs 26,65,83,686  ~ 26 Crore+","Rs 9,13,02,133  ~ 9 Crore+"
393,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,OSMANABAD,SHS,4,12th Pass,"Rs 5,02,99,295  ~ 5 Crore+","Rs 1,00,45,858  ~ 1 Crore+"
394,Lorho S. Pfoze,OUTER MANIPUR,NPF,0,Graduate Professional,"Rs 1,37,09,352  ~ 1 Crore+",Rs 0  ~
395,V K Sreekandan,PALAKKAD,INC,7,Graduate,,
396,Vishnu Dayal Ram,PALAMU,BJP,0,Graduate,"Rs 3,22,73,873  ~ 3 Crore+","Rs 90,922  ~ 90 Thou+"
397,Gavit Rajendra Dhedya,PALGHAR,SHS,0,Graduate,"Rs 8,76,16,920  ~ 8 Crore+","Rs 3,02,23,375  ~ 3 Crore+"
398,P. P. Chaudhary,PALI,BJP,0,Graduate Professional,"Rs 38,51,11,923  ~ 38 Crore+","Rs 72,78,041  ~ 72 Lacs+"
399,Ratansinh Rathod,PANCHMAHAL,BJP,0,Graduate Professional,"Rs 1,02,60,663  ~ 1 Crore+","Rs 10,81,611  ~ 10 Lacs+"
400,Jadhav Sanjay (Bandu) Haribhau,PARBHANI,SHS,6,10th Pass,,
401,Dr. Sanjay Jaiswal,PASCHIM CHAMPARAN,BJP,5,Post Graduate,"Rs 19,94,04,885  ~ 19 Crore+","Rs 6,73,70,030  ~ 6 Crore+"
402,Ram Kripal Yadav,PATALIPUTRA,BJP,0,Graduate,"Rs 2,92,13,467  ~ 2 Crore+","Rs 17,17,310  ~ 17 Lacs+"
403,Dabhi Bharatsinhji Shankarji,PATAN,BJP,0,Graduate,"Rs 4,73,73,221  ~ 4 Crore+","Rs 56,13,860  ~ 56 Lacs+"
404,Anto Antony,PATHANAMTHITTA,INC,1,Graduate,"Rs 60,75,876  ~ 60 Lacs+","Rs 77,23,227  ~ 77 Lacs+"
405,Preneet Kaur,PATIALA,INC,0,Graduate,,
406,Ravi Shankar Prasad,PATNA SAHIB,BJP,0,Post Graduate,"Rs 23,52,75,591  ~ 23 Crore+",Rs 0  ~
407,Venkatesh Netha Borlakunta,PEDDAPALLE,TRS,0,Doctorate,"Rs 1,65,97,300  ~ 1 Crore+",Rs 0  ~
408,Paarivendhar T R,PERAMBALUR,DMK,2,Post Graduate,"Rs 97,27,30,368  ~ 97 Crore+","Rs 6,59,35,070  ~ 6 Crore+"
409,Keshari Devi Patel,PHULPUR,BJP,2,Post Graduate,"Rs 17,27,07,104  ~ 17 Crore+","Rs 65,05,194  ~ 65 Lacs+"
410,Feroze Varun Gandhi,PILIBHIT,BJP,0,Post Graduate,,
411,K Shanmugasundaram,POLLACHI,DMK,0,Graduate Professional,"Rs 13,31,09,284  ~ 13 Crore+","Rs 1,33,60,639  ~ 1 Crore+"
412,E T Mohammed Basheer,PONNANI,IUML,0,10th Pass,"Rs 81,03,274  ~ 81 Lacs+",Rs 0  ~
413,Rameshbhai Dhaduk,PORBANDAR,BJP,0,10th Pass,"Rs 35,75,64,783  ~ 35 Crore+","Rs 21,79,44,697  ~ 21 Crore+"
414,Sangam Lal Gupta,PRATAPGARH,BJP,2,8th Pass,"Rs 24,87,89,514  ~ 24 Crore+","Rs 88,95,225  ~ 88 Lacs+"
415,V. Vaithilingam,PUDUCHERRY,INC,0,Graduate,,
416,Girish Bhalchandra Bapat,PUNE,BJP,1,Graduate,"Rs 5,79,59,302  ~ 5 Crore+","Rs 17,93,891  ~ 17 Lacs+"
417,Pinaki Misra,PURI,BJD,0,Graduate Professional,"Rs 1,17,47,01,344  ~ 117 Crore+","Rs 2,19,32,742  ~ 2 Crore+"
418,Santosh Kumar,PURNIA,JD(U),1,12th Pass,"Rs 4,10,36,294  ~ 4 Crore+","Rs 25,00,000  ~ 25 Lacs+"
419,Jyotirmay Singh Mahato,PURULIA,BJP,2,Graduate Professional,"Rs 22,50,540  ~ 22 Lacs+","Rs 4,56,100  ~ 4 Lacs+"
420,Radha Mohan Singh,PURVI CHAMPARAN,BJP,1,Graduate,,
421,Sonia Gandhi,RAE BARELI,INC,1,Others,"Rs 11,82,63,916  ~ 11 Crore+",Rs 0  ~
422,Raja Amareshwara Naik,RAICHUR,BJP,0,Graduate Professional,"Rs 3,06,38,375  ~ 3 Crore+","Rs 6,78,532  ~ 6 Lacs+"
423,Tatkare Sunil Dattatray,RAIGAD,NCP,0,Others,"Rs 12,74,87,277  ~ 12 Crore+","Rs 32,21,073  ~ 32 Lacs+"
424,Debasree Chaudhuri,RAIGANJ,BJP,2,Post Graduate,"Rs 61,39,123  ~ 61 Lacs+","Rs 8,23,416  ~ 8 Lacs+"
425,Gomati,RAIGARH,BJP,0,12th Pass,,
426,Sunil Kumar Soni,RAIPUR,BJP,0,Graduate,"Rs 4,60,68,126  ~ 4 Crore+","Rs 24,82,214  ~ 24 Lacs+"
427,Margani Bharat Ram,RAJAHMUNDRY,YSRCP,2,Graduate Professional,"Rs 45,82,05,360  ~ 45 Crore+","Rs 1,78,14,757  ~ 1 Crore+"
428,P.V.Midhun Reddy,RAJAMPET,YSRCP,3,Post Graduate,"Rs 66,50,85,701  ~ 66 Crore+","Rs 20,54,73,477  ~ 20 Crore+"
429,Rodmal Nagar,RAJGARH,BJP,0,Graduate,"Rs 4,01,98,295  ~ 4 Crore+","Rs 39,21,362  ~ 39 Lacs+"
430,Kundaria Mohanbhai,RAJKOT,BJP,0,8th Pass,,
431,Vijay Kumar Hansdak,RAJMAHAL,JMM,0,10th Pass,"Rs 1,29,19,555  ~ 1 Crore+","Rs 27,43,560  ~ 27 Lacs+"
432,Santosh Pandey,RAJNANDGAON,BJP,0,Graduate Professional,"Rs 2,48,61,970  ~ 2 Crore+","Rs 15,19,820  ~ 15 Lacs+"
433,Diya Kumari,RAJSAMAND,BJP,0,Others,"Rs 16,59,84,623  ~ 16 Crore+",Rs 0  ~
434,K. Navaskani,RAMANATHAPURAM,IUML,1,12th Pass,"Rs 36,47,38,171  ~ 36 Crore+","Rs 4,70,08,615  ~ 4 Crore+"
435,Mohammad Azam Khan,RAMPUR,SP,10,Graduate Professional,,
436,Krupal Balaji Tumane,RAMTEK,SHS,0,Graduate,"Rs 9,56,03,165  ~ 9 Crore+","Rs 42,28,793  ~ 42 Lacs+"
437,Jagannath Sarkar,RANAGHAT,BJP,1,Graduate Professional,"Rs 1,76,22,476  ~ 1 Crore+",Rs 0  ~
438,Sanjay Seth,RANCHI,BJP,0,Graduate Professional,"Rs 1,40,44,267  ~ 1 Crore+","Rs 1,00,000  ~ 1 Lacs+"
439,Guman Singh Damor,RATLAM,BJP,0,Graduate Professional,"Rs 4,20,72,262  ~ 4 Crore+","Rs 48,90,940  ~ 48 Lacs+"
440,Vinayak Bhaurao Raut,RATNAGIRI SINDHUDURG,SHS,3,Post Graduate,,
441,Khadse Raksha Nikhil,RAVER,BJP,0,Graduate,"Rs 17,27,13,734  ~ 17 Crore+",Rs 0  ~
442,Janardan Prasad Mishra,REWA,BJP,0,Graduate Professional,"Rs 2,03,59,750  ~ 2 Crore+","Rs 5,80,627  ~ 5 Lacs+"
443,Pakauri Lal,ROBERTSGANJ,Apna Dal (Soneylal),0,Literate,"Rs 2,30,48,078  ~ 2 Crore+","Rs 6,84,133  ~ 6 Lacs+"
444,Arvind Kumar Sharma,ROHTAK,BJP,0,Post Graduate,"Rs 4,10,79,284  ~ 4 Crore+","Rs 1,67,78,090  ~ 1 Crore+"
445,Rathod Dipsinh Shankarsinh,SABARKANTHA,BJP,0,8th Pass,,
446,Rajbahadur Singh,SAGAR,BJP,1,Post Graduate,"Rs 1,64,16,828  ~ 1 Crore+","Rs 5,47,428  ~ 5 Lacs+"
447,Haji Fazlur Rehman,SAHARANPUR,BSP,0,Graduate,"Rs 4,61,46,135  ~ 4 Crore+","Rs 60,000  ~ 60 Thou+"
448,Parthiban.S.R,SALEM,DMK,4,Post Graduate,"Rs 6,00,45,532  ~ 6 Crore+","Rs 40,39,841  ~ 40 Lacs+"
449,Ravinder,SALEMPUR,BJP,0,12th Pass,"Rs 2,70,31,724  ~ 2 Crore+","Rs 2,49,400  ~ 2 Lacs+"
450,Ramchandra Paswan,SAMASTIPUR,LJP,5,10th Pass,,
451,Nitesh Ganga Deb,SAMBALPUR,BJP,1,12th Pass,"Rs 26,95,43,587  ~ 26 Crore+","Rs 1,03,37,195  ~ 1 Crore+"
452,Dr. Shafiqur Rehman Barq,SAMBHAL,SP,0,Graduate,"Rs 1,32,96,671  ~ 1 Crore+",Rs 0  ~
453,Sanjaykaka Patil,SANGLI,BJP,1,10th Pass,"Rs 19,11,92,187  ~ 19 Crore+","Rs 2,33,45,328  ~ 2 Crore+"
454,Bhagwant Mann,SANGRUR,AAP,0,12th Pass,"Rs 1,64,27,274  ~ 1 Crore+",Rs 0  ~
455,Praveen Kumar Nishad,SANT KABIR NAGAR,BJP,0,Graduate Professional,,
456,Rajiv Pratap Rudy,SARAN,BJP,0,Post Graduate,"Rs 8,07,40,349  ~ 8 Crore+",Rs 0  ~
457,Chhedi Paswan,SASARAM,BJP,4,Post Graduate,"Rs 3,77,86,578  ~ 3 Crore+","Rs 22,14,842  ~ 22 Lacs+"
458,Bhonsle Shrimant Chhatrapati Udayanraje Pratapasinh Maharaj,SATARA,NCP,8,12th Pass,"Rs 1,99,68,13,173  ~ 199 Crore+","Rs 1,23,40,338  ~ 1 Crore+"
459,Ganesh Singh,SATNA,BJP,2,Post Graduate,"Rs 4,17,19,076  ~ 4 Crore+",Rs 0  ~
460,Gangapuram Kishan Reddy,SECUNDERABAD,BJP,0,Others,,
461,Himadri Singh,SHAHDOL,BJP,0,Graduate,"Rs 3,65,64,408  ~ 3 Crore+","Rs 17,36,289  ~ 17 Lacs+"
462,Arun Kumar Sagar,SHAHJAHANPUR,BJP,1,12th Pass,"Rs 4,34,48,049  ~ 4 Crore+","Rs 11,79,697  ~ 11 Lacs+"
463,Rama Devi,SHEOHAR,BJP,1,Graduate Professional,"Rs 32,83,64,940  ~ 32 Crore+",Rs 0  ~
464,Vincent H. Pala,SHILLONG,INC,0,Graduate Professional,"Rs 54,95,15,421  ~ 54 Crore+",Rs 0  ~
465,Suresh Kumar Kashyap,SHIMLA,BJP,0,Post Graduate,,
466,B.Y.Raghavendra,SHIMOGA,BJP,2,Graduate Professional,"Rs 67,40,93,851  ~ 67 Crore+","Rs 1,41,50,647  ~ 1 Crore+"
467,Sadashiv Kisan Lokhande,SHIRDI,SHS,1,10th Pass,"Rs 11,37,10,526  ~ 11 Crore+","Rs 2,05,100  ~ 2 Lacs+"
468,Amol Ramsing Kolhe,SHIRUR,NCP,0,Graduate Professional,"Rs 4,33,51,521  ~ 4 Crore+","Rs 14,88,116  ~ 14 Lacs+"
469,Ram Shiromani,SHRAWASTI,BSP,0,Graduate Professional,"Rs 1,91,08,216  ~ 1 Crore+","Rs 3,50,000  ~ 3 Lacs+"
470,Riti Pathak,SIDHI,BJP,0,Post Graduate,,
471,Sumedhanand Saraswati,SIKAR,BJP,0,Post Graduate,"Rs 28,27,638  ~ 28 Lacs+","Rs 27,19,583  ~ 27 Lacs+"
472,Indra Hang Subba,SIKKIM,Sikkim Krantikari Morcha,0,Post Graduate,"Rs 4,78,817  ~ 4 Lacs+",Rs 0  ~
473,Rajdeep Roy,SILCHAR,BJP,0,Post Graduate,"Rs 2,99,01,767  ~ 2 Crore+","Rs 69,76,701  ~ 69 Lacs+"
474,Geeta Kora,SINGHBHUM,INC,1,Post Graduate,"Rs 2,52,49,018  ~ 2 Crore+","Rs 19,28,508  ~ 19 Lacs+"
475,Sunita Duggal,SIRSA,BJP,0,Post Graduate,,
476,Sunil Kumar,SITAMARHI,JD(U),6,Graduate,"Rs 6,07,17,031  ~ 6 Crore+","Rs 1,02,77,790  ~ 1 Crore+"
477,Rajesh Verma,SITAPUR,BJP,1,Post Graduate,"Rs 7,31,29,716  ~ 7 Crore+","Rs 1,08,148  ~ 1 Lacs+"
478,Karti P Chidambaram,SIVAGANGA,INC,8,Graduate Professional,"Rs 79,37,29,024  ~ 79 Crore+","Rs 17,40,81,116  ~ 17 Crore+"
479,Kavita Singh,SIWAN,JD(U),4,Post Graduate,"Rs 1,93,25,264  ~ 1 Crore+","Rs 4,12,511  ~ 4 Lacs+"
480,Shri. Sha. Bra. Dr. Jay Siddeshwar Shivachrya Mahaswamiji,SOLAPUR,BJP,0,Graduate,,
481,Ramesh Chander Kaushik,SONIPAT,BJP,0,Graduate Professional,"Rs 23,58,59,266  ~ 23 Crore+",Rs 0  ~
482,Ramesh Bidhuri,SOUTH DELHI,BJP,2,Graduate Professional,"Rs 18,00,52,708  ~ 18 Crore+","Rs 20,38,454  ~ 20 Lacs+"
483,Cosme Francisco Caitano Sardinha,SOUTH GOA,INC,0,Graduate Professional,"Rs 7,94,02,232  ~ 7 Crore+",Rs 0  ~
484,Kalyan Banerjee,SREERAMPUR,AITC,0,Graduate Professional,"Rs 17,59,68,902  ~ 17 Crore+","Rs 55,22,403  ~ 55 Lacs+"
485,Rammohannaidu Kinjarapu,SRIKAKULAM,TDP,1,Post Graduate,,
486,Farooq Abdullah,SRINAGAR,Jammu & Kashmir National Conference,1,Graduate Professional,"Rs 12,19,04,435  ~ 12 Crore+",Rs 0  ~
487,Baalu.T.R.,SRIPERUMBUDUR,DMK,0,Graduate,"Rs 20,88,06,446  ~ 20 Crore+",Rs 0  ~
488,Maneka Sanjay Gandhi,SULTANPUR,BJP,0,12th Pass,"Rs 55,69,26,451  ~ 55 Crore+","Rs 1,19,35,800  ~ 1 Crore+"
489,Jual Oram,SUNDARGARH,BJP,2,Others,"Rs 7,41,85,014  ~ 7 Crore+","Rs 1,27,43,330  ~ 1 Crore+"
490,Dileshwar Kamait,SUPAUL,JD(U),2,Graduate,,
491,Jardosh Darshnaben Vikrambhai,SURAT,BJP,0,Graduate,"Rs 2,38,72,876  ~ 2 Crore+",Rs 0  ~
492,Mahendrabhai Munjpara,SURENDRANAGAR,BJP,0,Post Graduate,"Rs 7,90,84,513  ~ 7 Crore+","Rs 1,48,22,528  ~ 1 Crore+"
493,Renuka Singh Saruta,SURGUJA,BJP,0,12th Pass,"Rs 2,76,82,493  ~ 2 Crore+","Rs 32,51,275  ~ 32 Lacs+"
494,Dibyendu Adhikari,TAMLUK,AITC,1,Graduate,"Rs 3,76,87,867  ~ 3 Crore+","Rs 83,97,501  ~ 83 Lacs+"
495,Mala Rajya Laxmi Shah,TEHRI GARHWAL,BJP,0,12th Pass,,
496,Dhanush M Kumar,TENKASI,DMK,1,Post Graduate,"Rs 5,13,60,700  ~ 5 Crore+","Rs 28,96,862  ~ 28 Lacs+"
497,Pallab Lochan Das,TEZPUR,BJP,0,Graduate,"Rs 1,44,45,139  ~ 1 Crore+",Rs 0  ~
498,Rajan Baburao Vichare,THANE,SHS,9,12th Pass,"Rs 18,14,41,465  ~ 18 Crore+","Rs 5,40,80,733  ~ 5 Crore+"
499,Palanimanickam.S.S,THANJAVUR,DMK,0,Graduate Professional,"Rs 4,24,52,076  ~ 4 Crore+","Rs 23,68,600  ~ 23 Lacs+"
500,P. Raveendranath Kumar,THENI,AIADMK,0,Post Graduate,,
501,Shashi Tharoor,THIRUVANANTHAPURAM,INC,2,Doctorate,"Rs 35,00,22,585  ~ 35 Crore+",Rs 0  ~
502,Kanimozhi Karunanidhi,THOOTHUKKUDI,DMK,6,Graduate Professional,"Rs 30,33,73,130  ~ 30 Crore+","Rs 1,92,90,928  ~ 1 Crore+"
503,T. N. Prathapan,THRISSUR,INC,7,12th Pass,"Rs 86,09,349  ~ 86 Lacs+","Rs 29,78,120  ~ 29 Lacs+"
504,Virendra Kumar,TIKAMGARH,BJP,0,Doctorate,"Rs 2,15,03,766  ~ 2 Crore+","Rs 19,74,216  ~ 19 Lacs+"
505,Thirunavukkarasar. Su,TIRUCHIRAPPALLI,INC,0,Post Graduate,,
506,Gnanathiraviam S,TIRUNELVELI,DMK,4,10th Pass,"Rs 23,27,59,237  ~ 23 Crore+","Rs 4,61,49,049  ~ 4 Crore+"
507,Balli Durgaprasad Rao,TIRUPATI,YSRCP,0,Graduate Professional,"Rs 1,74,26,921  ~ 1 Crore+",Rs 0  ~
508,Subbarayan.K,TIRUPPUR,CPI,0,10th Pass,"Rs 80,35,576  ~ 80 Lacs+","Rs 5,00,000  ~ 5 Lacs+"
509,Dr.K.Jayakumar,TIRUVALLUR,INC,0,Doctorate,"Rs 2,45,83,769  ~ 2 Crore+",Rs 0  ~
510,Annadurai C N,TIRUVANNAMALAI,DMK,0,Graduate,,
511,Sukhbir Singh Jaunapuria,TONK SAWAI MADHOPUR,BJP,0,12th Pass,"Rs 1,23,38,02,420  ~ 123 Crore+",Rs 0  ~
512,Rebati Tripura,TRIPURA EAST,BJP,0,Post Graduate,"Rs 19,48,315  ~ 19 Lacs+",Rs 0  ~
513,Pratima Bhoumik,TRIPURA WEST,BJP,0,Graduate,"Rs 6,42,398  ~ 6 Lacs+",Rs 0  ~
514,G S Basavaraj,TUMKUR,BJP,0,Graduate Professional,"Rs 51,07,79,150  ~ 51 Crore+","Rs 11,38,44,867  ~ 11 Crore+"
515,Agatha K. Sangma,TURA,NPP,0,Post Graduate,,
516,Arjunlal Meena,UDAIPUR,BJP,0,Post Graduate,"Rs 4,81,96,946  ~ 4 Crore+","Rs 1,56,02,872  ~ 1 Crore+"
517,Dr. Jitendra Singh,UDHAMPUR,BJP,0,Post Graduate,"Rs 7,08,27,203  ~ 7 Crore+",Rs 0  ~
518,Shobha Karandlaje,UDUPI CHIKMAGALUR,BJP,3,Post Graduate,"Rs 10,48,72,668  ~ 10 Crore+","Rs 4,99,36,840  ~ 4 Crore+"
519,Nityanand Rai,UJIARPUR,BJP,3,Graduate,"Rs 18,70,07,570  ~ 18 Crore+","Rs 3,57,561  ~ 3 Lacs+"
520,Anil Firojiya,UJJAIN,BJP,0,12th Pass,,
521,Sajda Ahmed,ULUBERIA,AITC,0,Graduate,"Rs 2,83,51,569  ~ 2 Crore+","Rs 53,22,615  ~ 53 Lacs+"
522,Swami Sachchidanand Hari Sakshi,UNNAO,BJP,4,Doctorate,"Rs 4,08,86,941  ~ 4 Crore+","Rs 6,99,025  ~ 6 Lacs+"
523,Anantkumar Hegde,UTTARA KANNADA,BJP,4,12th Pass,"Rs 8,47,55,455  ~ 8 Crore+","Rs 4,10,16,655  ~ 4 Crore+"
524,K. Muraleedharan,VADAKARA,INC,3,Graduate,"Rs 11,43,79,340  ~ 11 Crore+",Rs 0  ~
525,Ranjanben Bhatt,VADODARA,BJP,0,12th Pass,,
526,Veena Devi,VAISHALI,LJP,2,10th Pass,"Rs 33,72,84,632  ~ 33 Crore+","Rs 11,20,89,220  ~ 11 Crore+"
527,Baidyanath Prasad Mahto,VALMIKI NAGAR,JD(U),4,10th Pass,"Rs 1,79,34,888  ~ 1 Crore+","Rs 29,15,945  ~ 29 Lacs+"
528,Dr.K.C.Patel,VALSAD,BJP,0,Graduate Professional,"Rs 6,82,39,480  ~ 6 Crore+",Rs 0  ~
529,Narendra Modi,VARANASI,BJP,0,Post Graduate,"Rs 2,51,36,119  ~ 2 Crore+",Rs 0  ~
530,D.M. Kathir Anand,VELLORE,DMK,2,Post Graduate,,
531,Ramakant Bhargava,VIDISHA,BJP,0,12th Pass,"Rs 3,00,32,282  ~ 3 Crore+","Rs 33,32,012  ~ 33 Lacs+"
532,Srinivas Kesineni,VIJAYAWADA,TDP,0,10th Pass,"Rs 80,81,52,415  ~ 80 Crore+","Rs 51,23,32,955  ~ 51 Crore+"
533,Ravikumar D,VILUPPURAM,DMK,0,Doctorate,"Rs 65,09,860  ~ 65 Lacs+","Rs 13,69,031  ~ 13 Lacs+"
534,"Manickam Tagore, B.",VIRUDHUNAGAR,INC,1,Graduate Professional,"Rs 4,97,05,799  ~ 4 Crore+","Rs 36,00,203  ~ 36 Lacs+"
535,M V V Satyanarayana,VISAKHAPATNAM,YSRCP,1,10th Pass,,
536,Bellana Chandra Sekhar,VIZIANAGARAM,YSRCP,4,Graduate Professional,"Rs 2,10,35,766  ~ 2 Crore+","Rs 1,11,30,148  ~ 1 Crore+"
537,Dayakar Pasnori,WARANGAL,TRS,0,Graduate,"Rs 2,48,89,712  ~ 2 Crore+","Rs 14,28,227  ~ 14 Lacs+"
538,Ramdas Chandrabhanji Tadas,WARDHA,BJP,0,10th Pass,"Rs 6,58,07,822  ~ 6 Crore+","Rs 89,61,387  ~ 89 Lacs+"
539,Rahul Gandhi,WAYANAD,INC,5,Post Graduate,"Rs 15,88,77,063  ~ 15 Crore+","Rs 72,01,904  ~ 72 Lacs+"
540,Parvesh Sahib Singh,WEST DELHI,BJP,0,Post Graduate,,
541,Bhavana Pundlikrao Gawali,YAVATMAL WASHIM,SHS,3,Graduate,"Rs 9,68,73,189  ~ 9 Crore+","Rs 73,96,250  ~ 73 Lacs+"
542,B.B.Patil,ZAHIRABAD,TRS,18,Graduate,"Rs 1,28,78,51,556  ~ 128 Crore+","Rs 1,15,35,000  ~ 1 Crore+"
