Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
Chandra Rajagopal,CPI(M),2,10th Pass,67,"Rs 23,53,200  ~ 23 Lacs+","Rs 2,40,000  ~ 2 Lacs+",Andhra Pradesh
Cheemala. Rangappa,INC,0,Graduate Professional,60,,,Andhra Pradesh
Chevuru Devakumar Reddy,INC,2,12th Pass,61,"Rs 7,38,19,429  ~ 7 Crore+","Rs 39,48,741  ~ 39 Lacs+",Andhra Pradesh
China Nageswara Rao Sadhu,Mundadugu Praja Party,0,Post Graduate,35,"Rs 12,59,090  ~ 12 Lacs+","Rs 1,96,000  ~ 1 Lacs+",Andhra Pradesh
Chinnam Rama Kotayya,BJP,0,10th Pass,58,"Rs 10,09,61,778  ~ 10 Crore+","Rs 77,13,964  ~ 77 Lacs+",Andhra Pradesh
Chinni Venkateswarlu,Pyramid Party of India,0,Literate,67,"Rs 12,80,000  ~ 12 Lacs+",Rs 0  ~,Andhra Pradesh
Chinta Anuradha,YSRCP,0,Graduate,46,,,Andhra Pradesh
Chinta Mohan,INC,0,Graduate Professional,64,"Rs 2,28,08,300  ~ 2 Crore+","Rs 20,07,093  ~ 20 Lacs+",Andhra Pradesh
Chintala Partha Sarathi,Janasena Party,0,Post Graduate,56,"Rs 33,53,08,506  ~ 33 Crore+","Rs 11,09,28,567  ~ 11 Crore+",Andhra Pradesh
D. Mahammad Rafi,B. C. United Front,0,10th Pass,29,"Rs 50,000  ~ 50 Thou+","Rs 1,90,000  ~ 1 Lacs+",Andhra Pradesh
D. P. Jamal Basha,Anna YSR Congress Party,0,10th Pass,48,"Rs 4,50,000  ~ 4 Lacs+","Rs 70,000  ~ 70 Thou+",Andhra Pradesh
D.A. Sathya Prabha,TDP,0,12th Pass,68,,,Andhra Pradesh
Daggubati Purandeswari,BJP,0,Graduate,58,"Rs 32,40,38,450  ~ 32 Crore+","Rs 3,49,49,036  ~ 3 Crore+",Andhra Pradesh
Dandu Seshu Yadav,SP,0,Graduate Professional,39,"Rs 19,50,000  ~ 19 Lacs+",Rs 0  ~,Andhra Pradesh
Dasari Kiran Babu,IND,0,8th Pass,37,"Rs 59,80,980  ~ 59 Lacs+","Rs 26,45,782  ~ 26 Lacs+",Andhra Pradesh
Dasari Krishna Murthy,India Praja Bandhu Party,0,10th Pass,32,"Rs 7,03,000  ~ 7 Lacs+","Rs 1,53,000  ~ 1 Lacs+",Andhra Pradesh
Devarapogu Maddilety,IND,1,10th Pass,45,,,Andhra Pradesh
Dhanalakoti Ramana,IND,0,Post Graduate,29,"Rs 8,60,000  ~ 8 Lacs+",Rs 0  ~,Andhra Pradesh
Dileep Kilaru,BJP,0,Graduate Professional,48,"Rs 1,36,90,17,847  ~ 136 Crore+","Rs 42,62,122  ~ 42 Lacs+",Andhra Pradesh
Doctor Daggumati Sreehari Rao,BSP,0,Graduate Professional,52,"Rs 60,45,000  ~ 60 Lacs+","Rs 52,79,699  ~ 52 Lacs+",Andhra Pradesh
Dola Jagan Mohana Rao,INC,0,Post Graduate,53,"Rs 1,23,90,000  ~ 1 Crore+","Rs 38,46,000  ~ 38 Lacs+",Andhra Pradesh
Donam Neelakantam,All India Praja Party,0,Post Graduate,49,,,Andhra Pradesh
Doppalapudi Veera Das,IND,0,Graduate,60,"Rs 59,90,000  ~ 59 Lacs+","Rs 8,80,000  ~ 8 Lacs+",Andhra Pradesh
Dr Gandi Venkata Satyanarayana Rao,BJP,0,Post Graduate,65,"Rs 5,76,88,924  ~ 5 Crore+","Rs 94,97,894  ~ 94 Lacs+",Andhra Pradesh
Dr Sanjeev Kumar,YSRCP,0,Post Graduate,52,"Rs 32,59,14,387  ~ 32 Crore+","Rs 6,20,70,621  ~ 6 Crore+",Andhra Pradesh
Dr Sirivella Prasad,INC,0,Doctorate,51,"Rs 20,69,078  ~ 20 Lacs+",Rs 0  ~,Andhra Pradesh
Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,BJP,0,Doctorate,54,,,Andhra Pradesh
Dr. Lakshmi Kantha Reddy Chitla,IND,0,Doctorate,34,"Rs 1,70,000  ~ 1 Lacs+","Rs 90,000  ~ 90 Thou+",Andhra Pradesh
Dr. S. Suresh Babu,IND,0,Doctorate,42,"Rs 95,50,548  ~ 95 Lacs+",Rs 0  ~,Andhra Pradesh
Dr.Beesetti Venkata Satyavathi,YSRCP,0,Graduate Professional,52,"Rs 9,15,26,244  ~ 9 Crore+","Rs 1,11,39,279  ~ 1 Crore+",Andhra Pradesh
Durgampudi Rami Reddy,IND,0,Illiterate,66,"Rs 19,45,300  ~ 19 Lacs+","Rs 70,000  ~ 70 Thou+",Andhra Pradesh
Durgaprasad. Guntu,IND,0,Post Graduate,51,,,Andhra Pradesh
Elluri Bhupal,IND,0,Graduate,39,"Rs 20,000  ~ 20 Thou+","Rs 20,000  ~ 20 Thou+",Andhra Pradesh
G S Raju,SP,0,10th Pass,51,"Rs 17,00,000  ~ 17 Lacs+",Rs 0  ~,Andhra Pradesh
G Sanjeeva Kumar,Samajwadi Forward Bloc,0,10th Pass,38,"Rs 1,60,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
G. Lalitha,SUCI(C),0,Graduate,56,"Rs 12,79,676  ~ 12 Lacs+",Rs 0  ~,Andhra Pradesh
Gaddala Venu,IND,0,Graduate,28,,,Andhra Pradesh
Gadde Haribabu,Navodayam Party,0,Graduate,40,"Rs 20,000  ~ 20 Thou+","Rs 1,00,000  ~ 1 Lacs+",Andhra Pradesh
Gampala Somasundaram,IND,0,Graduate,76,"Rs 33,40,000  ~ 33 Lacs+",Rs 0  ~,Andhra Pradesh
Gandhi Dhanekula,IND,0,10th Pass,70,"Rs 15,30,000  ~ 15 Lacs+","Rs 7,00,000  ~ 7 Lacs+",Andhra Pradesh
Gandhi Dhanekula,IND,0,10th Pass,71,"Rs 1,05,90,000  ~ 1 Crore+","Rs 8,00,000  ~ 8 Lacs+",Andhra Pradesh
Ganji Purnima,RPI(A),0,Graduate,35,,,Andhra Pradesh
Gannu Mallayya,IND,0,Graduate,70,"Rs 21,13,580  ~ 21 Lacs+",Rs 0  ~,Andhra Pradesh
Ganti Harish Madhur,TDP,0,Graduate Professional,30,"Rs 7,30,49,918  ~ 7 Crore+","Rs 15,37,488  ~ 15 Lacs+",Andhra Pradesh
Geddam David Nelson Babu,Ambedkarite Party of India,1,Post Graduate,60,"Rs 50,20,544  ~ 50 Lacs+","Rs 7,60,000  ~ 7 Lacs+",Andhra Pradesh
Gella Nagamalli,IND,0,Graduate Professional,34,"Rs 4,48,500  ~ 4 Lacs+","Rs 4,65,000  ~ 4 Lacs+",Andhra Pradesh
George Bangari,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,46,,,Andhra Pradesh
Giddama Ranganayakulu,Vishwa Jana Party,0,Post Graduate,43,"Rs 6,61,000  ~ 6 Lacs+",Rs 0  ~,Andhra Pradesh
Goddeti Madhavi,YSRCP,0,Graduate Professional,26,"Rs 1,41,179  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Godugu Satyanarayana,CPI(ML)(L),0,Graduate,40,"Rs 28,000  ~ 28 Thou+",Rs 0  ~,Andhra Pradesh
Gogula Pulakunta Jayanth,IND,0,Graduate,61,"Rs 31,96,142  ~ 31 Lacs+","Rs 16,710  ~ 16 Thou+",Andhra Pradesh
Golla Baburao,IND,0,Post Graduate,46,,,Andhra Pradesh
Gollu Krishna,INC,5,Others,55,"Rs 87,95,000  ~ 87 Lacs+","Rs 1,14,00,000  ~ 1 Crore+",Andhra Pradesh
Gona Purushottam Reddy,IND,4,Graduate,40,"Rs 2,24,73,647  ~ 2 Crore+","Rs 92,06,703  ~ 92 Lacs+",Andhra Pradesh
Gottumukkala Shivaji,IND,0,Post Graduate,48,"Rs 80,84,000  ~ 80 Lacs+",Rs 0  ~,Andhra Pradesh
Govinda Rao Lagudu,Jana Jagruti Party,0,Doctorate,40,"Rs 2,80,456  ~ 2 Lacs+",Rs 0  ~,Andhra Pradesh
Gudivaka Ramanjaneyulu,BJP,0,Graduate,57,,,Andhra Pradesh
Gudivaka Venkata Naga Basava Rao,IND,0,12th Pass,26,"Rs 1,03,75,500  ~ 1 Crore+","Rs 18,30,000  ~ 18 Lacs+",Andhra Pradesh
Gujjula Eswaraiah,CPI,1,Post Graduate,50,"Rs 3,27,881  ~ 3 Lacs+","Rs 1,00,000  ~ 1 Lacs+",Andhra Pradesh
Gundlakunta Sreeramulu,INC,0,12th Pass,42,"Rs 1,64,52,000  ~ 1 Crore+","Rs 11,30,000  ~ 11 Lacs+",Andhra Pradesh
Gurugubilli Rambabu,Marxist Communist Party of India (United),0,5th Pass,52,"Rs 30,000  ~ 30 Thou+",Rs 0  ~,Andhra Pradesh
Gurunadha Rao Jetti,INC,0,Graduate,55,,,Andhra Pradesh
Hamsa Devineni,BJP,0,Post Graduate,33,"Rs 87,62,212  ~ 87 Lacs+","Rs 17,00,000  ~ 17 Lacs+",Andhra Pradesh
Hatcholi Thomas,IND,0,10th Pass,47,"Rs 27,52,615  ~ 27 Lacs+","Rs 2,38,020  ~ 2 Lacs+",Andhra Pradesh
I.V. Pakkir Reddy,IND,2,Graduate,70,"Rs 1,09,48,558  ~ 1 Crore+","Rs 3,90,264  ~ 3 Lacs+",Andhra Pradesh
Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi,2,Post Graduate,51,"Rs 30,73,000  ~ 30 Lacs+",Rs 0  ~,Andhra Pradesh
Jagadeesh Devaragudi,CPI,9,8th Pass,58,,,Andhra Pradesh
Jakku Chenna Krishna Reddy,IND,1,10th Pass,44,"Rs 2,47,46,957  ~ 2 Crore+","Rs 1,23,80,000  ~ 1 Crore+",Andhra Pradesh
Janga Goutham,INC,0,Graduate,49,"Rs 1,47,68,500  ~ 1 Crore+",Rs 0  ~,Andhra Pradesh
Jayadev Galla,TDP,0,Graduate,53,"Rs 3,05,14,85,242  ~ 305 Crore+","Rs 20,34,52,417  ~ 20 Crore+",Andhra Pradesh
Jayaprakash Narayana Valluru,BJP,0,Graduate Professional,44,"Rs 3,95,26,187  ~ 3 Crore+",Rs 0  ~,Andhra Pradesh
Jayaram Duggani,BJP,0,Graduate,70,,,Andhra Pradesh
Jeldi Raja Mohan,All India Praja Party,0,12th Pass,61,"Rs 42,09,000  ~ 42 Lacs+","Rs 30,000  ~ 30 Thou+",Andhra Pradesh
Jestadi Sudhakar,IND,1,10th Pass,38,"Rs 4,62,788  ~ 4 Lacs+",Rs 0  ~,Andhra Pradesh
Jesudasu Seelam,INC,0,Post Graduate,67,"Rs 12,63,97,634  ~ 12 Crore+","Rs 83,42,498  ~ 83 Lacs+",Andhra Pradesh
Josyula China Venkata Suryanarayana,Pyramid Party of India,0,Graduate,62,"Rs 1,20,35,000  ~ 1 Crore+","Rs 25,00,000  ~ 25 Lacs+",Andhra Pradesh
Juturu Chinna Reddy Pavan Reddy,TDP,0,Graduate,46,,,Andhra Pradesh
Jyothula Venkateswara Rao,Janasena Party,0,12th Pass,62,"Rs 17,34,51,539  ~ 17 Crore+","Rs 11,50,000  ~ 11 Lacs+",Andhra Pradesh
K B Swaroop,Jana Jagruti Party,0,Graduate Professional,51,"Rs 2,44,54,500  ~ 2 Crore+",Rs 0  ~,Andhra Pradesh
K Rajiv Reddy,INC,0,Graduate Professional,30,"Rs 72,64,263  ~ 72 Lacs+","Rs 17,00,000  ~ 17 Lacs+",Andhra Pradesh
K.A.Paul,Praja Shanthi Party,2,12th Pass,55,"Rs 78,000  ~ 78 Thou+","Rs 2,07,017  ~ 2 Lacs+",Andhra Pradesh
K.P. Kambagiriswamy,IND,1,10th Pass,40,,,Andhra Pradesh
K.S. Munirathnam,IND,0,Others,65,"Rs 58,92,600  ~ 58 Lacs+",Rs 0  ~,Andhra Pradesh
K.T.Sreedhar,INC,1,Post Graduate,41,"Rs 4,34,62,500  ~ 4 Crore+","Rs 81,28,000  ~ 81 Lacs+",Andhra Pradesh
Kakileti Ravindra,IND,0,10th Pass,41,"Rs 18,20,000  ~ 18 Lacs+","Rs 7,50,000  ~ 7 Lacs+",Andhra Pradesh
Kanakam Srinivasarao,National Nava Kranthi Party,0,10th Pass,40,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Andhra Pradesh
Kangala Baladora,IND,0,Illiterate,61,,,Andhra Pradesh
Kankanala Penchala Naidu,IND,0,8th Pass,33,Nil,Rs 0  ~,Andhra Pradesh
Kanna Lakshmi Narayana,BJP,0,Graduate,64,"Rs 39,13,60,844  ~ 39 Crore+","Rs 2,25,61,506  ~ 2 Crore+",Andhra Pradesh
Kante Sayanna,IND,0,Graduate,40,"Rs 22,51,000  ~ 22 Lacs+",Rs 0  ~,Andhra Pradesh
Kanthiraj Devanand,BSP,0,Post Graduate,64,"Rs 3,44,36,000  ~ 3 Crore+","Rs 12,00,000  ~ 12 Lacs+",Andhra Pradesh
Kanumuru Bapiraju,INC,1,10th Pass,71,,,Andhra Pradesh
Kanumuru Raghu Rama Krishna Raju,YSRCP,3,Post Graduate,57,"Rs 3,25,94,05,378  ~ 325 Crore+","Rs 1,01,44,67,354  ~ 101 Crore+",Andhra Pradesh
Karimulla Khan Pattan,Navataram Party,0,Post Graduate,40,"Rs 16,77,823  ~ 16 Lacs+",Rs 0  ~,Andhra Pradesh
Karra Siva,Pyramid Party of India,0,12th Pass,Unknown,"Rs 15,000  ~ 15 Thou+",Rs 0  ~,Andhra Pradesh
Kasula Rajasekhar,Pyramid Party of India,0,10th Pass,46,"Rs 46,50,560  ~ 46 Lacs+","Rs 18,08,144  ~ 18 Lacs+",Andhra Pradesh
Kattamanchi Prabhakar,IND,0,Post Graduate,51,,,Andhra Pradesh
Kattepogu Vijay Kumar,Pyramid Party of India,0,5th Pass,53,"Rs 4,54,000  ~ 4 Lacs+",Rs 0  ~,Andhra Pradesh
Kavuri Venu Babu Naidu,IND,0,10th Pass,41,"Rs 22,91,000  ~ 22 Lacs+","Rs 10,50,000  ~ 10 Lacs+",Andhra Pradesh
Khader Valli Shaik,IUML,0,10th Pass,35,"Rs 2,56,48,000  ~ 2 Crore+","Rs 4,44,000  ~ 4 Lacs+",Andhra Pradesh
Kommireddy Prabhakar Reddy,CPI(M),1,Graduate Professional,58,"Rs 16,59,077  ~ 16 Lacs+","Rs 85,000  ~ 85 Thou+",Andhra Pradesh
Konakalla Narayana Rao,TDP,0,12th Pass,68,,,Andhra Pradesh
Konda Praveen Kumar,Navodayam Party,0,10th Pass,45,"Rs 20,000  ~ 20 Thou+",Rs 0  ~,Andhra Pradesh
Kothapalli Geetha,IND,1,Post Graduate,48,"Rs 8,67,54,722  ~ 8 Crore+","Rs 23,94,398  ~ 23 Lacs+",Andhra Pradesh
Kotla Jaya Surya Prakash Reddy,TDP,0,Graduate,67,"Rs 17,47,62,674  ~ 17 Crore+","Rs 14,50,000  ~ 14 Lacs+",Andhra Pradesh
Kovvuri Surya Bhavani,Pyramid Party of India,0,8th Pass,38,"Rs 17,10,000  ~ 17 Lacs+",Rs 0  ~,Andhra Pradesh
Kuruva Gorantla Madhav,YSRCP,2,Graduate,50,,,Andhra Pradesh
Kuruvella Bhanu Chandar,IND,0,10th Pass,34,"Rs 40,000  ~ 40 Thou+",Rs 0  ~,Andhra Pradesh
Lakshmi Narasaiah Jangiti,INC,0,Post Graduate,33,"Rs 33,05,200  ~ 33 Lacs+","Rs 8,77,441  ~ 8 Lacs+",Andhra Pradesh
Lakshmi Reddy Putha,Rajyadhikara Party,3,Graduate Professional,32,"Rs 73,00,000  ~ 73 Lacs+",Rs 0  ~,Andhra Pradesh
Lavu Sri Krishna Devarayalu,YSRCP,0,Graduate Professional,36,"Rs 17,77,10,073  ~ 17 Crore+","Rs 1,01,42,413  ~ 1 Crore+",Andhra Pradesh
Lingala Chiranjeevi,Andhra Chaitanya Party,0,12th Pass,28,,,Andhra Pradesh
Lingutla Rangaiah,IND,0,5th Pass,70,"Rs 2,08,000  ~ 2 Lacs+","Rs 40,000  ~ 40 Thou+",Andhra Pradesh
Lurthu Meri Daila,Mundadugu Praja Party,0,12th Pass,43,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Andhra Pradesh
M V V Satyanarayana,YSRCP,1,10th Pass,52,"Rs 2,03,08,85,624  ~ 203 Crore+","Rs 16,00,30,959  ~ 16 Crore+",Andhra Pradesh
M. Naganna,SUCI(C),1,Illiterate,66,"Rs 4,44,500  ~ 4 Lacs+","Rs 15,000  ~ 15 Thou+",Andhra Pradesh
M. Solomon,Andhra Rastra Praja Samithi,0,Graduate Professional,65,,,Andhra Pradesh
M.Shajahan Basha,INC,2,10th Pass,48,"Rs 2,74,00,500  ~ 2 Crore+","Rs 56,00,000  ~ 56 Lacs+",Andhra Pradesh
M.Venkatesulu,Pyramid Party of India,0,10th Pass,49,"Rs 23,45,567  ~ 23 Lacs+","Rs 3,12,273  ~ 3 Lacs+",Andhra Pradesh
Madabathula Chandra Sekhar,Pyramid Party of India,0,10th Pass,31,"Rs 1,60,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Madhu Yattapu,IND,0,Graduate,33,"Rs 28,00,000  ~ 28 Lacs+","Rs 9,00,000  ~ 9 Lacs+",Andhra Pradesh
Maganti Venkateswara Rao,TDP,1,10th Pass,59,,,Andhra Pradesh
Magunta Sreenivasulu Reddy,YSRCP,0,Graduate,65,"Rs 26,65,83,686  ~ 26 Crore+","Rs 9,13,02,133  ~ 9 Crore+",Andhra Pradesh
Mallipudi Sri Ramachandra Murthy,INC,0,5th Pass,66,"Rs 39,95,000  ~ 39 Lacs+","Rs 5,95,000  ~ 5 Lacs+",Andhra Pradesh
Malyadri Sriram,TDP,0,Post Graduate,65,"Rs 4,25,20,353  ~ 4 Crore+","Rs 5,98,794  ~ 5 Lacs+",Andhra Pradesh
Mandra Sivananda Reddy,TDP,0,Graduate Professional,57,"Rs 34,89,03,562  ~ 34 Crore+","Rs 6,86,93,655  ~ 6 Crore+",Andhra Pradesh
Manepalli Ayyaji Vema,BJP,0,Graduate Professional,59,,,Andhra Pradesh
Mannava Hariprasad,CPI(ML) Red Star,0,Graduate Professional,55,"Rs 1,46,68,071  ~ 1 Crore+","Rs 1,07,102  ~ 1 Lacs+",Andhra Pradesh
Maram Srinivasa Reddy,Praja Shanthi Party,0,Post Graduate,27,"Rs 52,197  ~ 52 Thou+",Rs 0  ~,Andhra Pradesh
Margani Bharat Ram,YSRCP,2,Graduate Professional,36,"Rs 45,82,05,360  ~ 45 Crore+","Rs 1,78,14,757  ~ 1 Crore+",Andhra Pradesh
Mathe Bobby,RPI(A),0,12th Pass,29,"Rs 10,000  ~ 10 Thou+",Rs 0  ~,Andhra Pradesh
Matta Satish Chakravarthy,Pyramid Party of India,0,Post Graduate,37,,,Andhra Pradesh
