Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
Ayan Mandal,AITC,0,Graduate,30,"Rs 72,70,440  ~ 72 Lacs+","Rs 15,00,000  ~ 15 Lacs+",Andaman and Nicobar Islands
C G Saji Kumar,All India Hindustan Congress Party,0,12th Pass,48,"Rs 1,20,000  ~ 1 Lacs+",Rs 0  ~,Andaman and Nicobar Islands
C U Rasheed,IND,0,12th Pass,34,"Rs 2,02,808  ~ 2 Lacs+","Rs 17,00,000  ~ 17 Lacs+",Andaman and Nicobar Islands
Gour Chandra Majumder,IND,0,Graduate,52,"Rs 60,62,000  ~ 60 Lacs+",Rs 0  ~,Andaman and Nicobar Islands
Henry,IND,0,10th Pass,50,,,Andaman and Nicobar Islands
K Kalimuthu,IND,0,8th Pass,66,"Rs 58,50,000  ~ 58 Lacs+",Rs 0  ~,Andaman and Nicobar Islands
K Venkat Ram Babu,IND,0,10th Pass,45,"Rs 3,52,000  ~ 3 Lacs+",Rs 0  ~,Andaman and Nicobar Islands
Kuldeep Rai Sharma,INC,0,Graduate Professional,52,"Rs 13,22,33,012  ~ 13 Crore+","Rs 8,04,50,870  ~ 8 Crore+",Andaman and Nicobar Islands
Minati Biswas,IND,0,8th Pass,51,"Rs 31,98,500  ~ 31 Lacs+","Rs 4,00,000  ~ 4 Lacs+",Andaman and Nicobar Islands
Paritosh Kumar Haldar,IND,0,Post Graduate,61,,,Andaman and Nicobar Islands
Prakash Minj,BSP,0,Post Graduate,43,"Rs 12,50,000  ~ 12 Lacs+","Rs 2,40,000  ~ 2 Lacs+",Andaman and Nicobar Islands
S Sudershan Rao,IND,0,Doctorate,58,"Rs 87,60,000  ~ 87 Lacs+","Rs 80,00,000  ~ 80 Lacs+",Andaman and Nicobar Islands
Sanjay Meshack,AAP,0,12th Pass,49,"Rs 9,98,87,782  ~ 9 Crore+","Rs 17,91,076  ~ 17 Lacs+",Andaman and Nicobar Islands
V V Khalid,IND,0,8th Pass,51,"Rs 15,12,000  ~ 15 Lacs+","Rs 3,50,000  ~ 3 Lacs+",Andaman and Nicobar Islands
Vishal Jolly,BJP,1,Graduate Professional,46,,,Andaman and Nicobar Islands
A. Hemanth,IND,0,5th Pass,28,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Andhra Pradesh
Abdul Waris,SDPI,4,8th Pass,58,"Rs 51,10,000  ~ 51 Lacs+",Rs 0  ~,Andhra Pradesh
Adala Prabhakara Reddy,YSRCP,0,12th Pass,70,"Rs 2,21,16,63,364  ~ 221 Crore+","Rs 15,22,81,255  ~ 15 Crore+",Andhra Pradesh
Adari Anand Kumar,TDP,0,10th Pass,43,"Rs 41,05,47,212  ~ 41 Crore+","Rs 20,55,91,400  ~ 20 Crore+",Andhra Pradesh
Adinarayana Inty,BJP,1,Post Graduate,67,,,Andhra Pradesh
Adiraju Yedla,INC,0,Post Graduate,52,"Rs 4,72,14,000  ~ 4 Crore+","Rs 30,88,876  ~ 30 Lacs+",Andhra Pradesh
Ahmed Ali Khan,INC,0,12th Pass,42,"Rs 15,88,31,414  ~ 15 Crore+",Rs 0  ~,Andhra Pradesh
Akula Satyanarayana,Janasena Party,0,Post Graduate,55,"Rs 67,39,24,565  ~ 67 Crore+","Rs 46,19,54,372  ~ 46 Crore+",Andhra Pradesh
Alaga Ravi Kumar,IND,0,10th Pass,49,Nil,Rs 0  ~,Andhra Pradesh
Allu Venkata Reddy,Pyramid Party of India,0,Graduate Professional,49,,,Andhra Pradesh
Ameen Peeran Shaik,Ambedkar National Congress,0,Post Graduate,48,"Rs 83,993  ~ 83 Thou+","Rs 9,000  ~ 9 Thou+",Andhra Pradesh
Anandsagar Pogru,Samaanya Praja Party,0,8th Pass,55,"Rs 46,97,147  ~ 46 Lacs+","Rs 17,02,000  ~ 17 Lacs+",Andhra Pradesh
Andukuri Vijaya Bhaskar,India Praja Bandhu Party,0,Graduate Professional,49,"Rs 5,000  ~ 5 Thou+",Rs 0  ~,Andhra Pradesh
Ankadi Sathibabu,IND,0,Illiterate,45,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Andhra Pradesh
Anmish Varma,IND,0,Post Graduate,26,,,Andhra Pradesh
Anumula Vamsi Krishna,IND,0,Post Graduate,41,"Rs 50,000  ~ 50 Thou+","Rs 1,00,000  ~ 1 Lacs+",Andhra Pradesh
Appala Naidu Tummagonta,IND,0,10th Pass,38,Nil,Rs 0  ~,Andhra Pradesh
Appalakonda Vangalapudi,Mundadugu Praja Party,0,Post Graduate,28,"Rs 5,14,707  ~ 5 Lacs+","Rs 5,08,707  ~ 5 Lacs+",Andhra Pradesh
Araveti Hazarath Rao,Pyramid Party of India,0,Graduate Professional,68,"Rs 1,49,24,686  ~ 1 Crore+","Rs 1,80,700  ~ 1 Lacs+",Andhra Pradesh
Asadi Venkatadri,Rashtriya Krantikari Samajwadi Party,0,12th Pass,61,,,Andhra Pradesh
Ashok Gajapathi Raju Pusapati,TDP,0,12th Pass,67,"Rs 18,35,34,582  ~ 18 Crore+",Rs 0  ~,Andhra Pradesh
B Ramesh,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,43,"Rs 21,24,951  ~ 21 Lacs+","Rs 3,98,000  ~ 3 Lacs+",Andhra Pradesh
B. Jaya Venu Gopal,Pyramid Party of India,0,12th Pass,30,"Rs 95,000  ~ 95 Thou+",Rs 0  ~,Andhra Pradesh
B. Shiva Kumar,IND,0,10th Pass,40,"Rs 52,37,200  ~ 52 Lacs+","Rs 6,27,000  ~ 6 Lacs+",Andhra Pradesh
B.C. Ramanatha Reddy,IND,1,Graduate,54,,,Andhra Pradesh
Balashowry Vallabhaneni,YSRCP,2,Post Graduate,50,"Rs 99,05,75,840  ~ 99 Crore+","Rs 74,63,10,844  ~ 74 Crore+",Andhra Pradesh
Balli Durgaprasad Rao,YSRCP,0,Graduate Professional,63,"Rs 1,74,26,921  ~ 1 Crore+",Rs 0  ~,Andhra Pradesh
Bandaru Rajeswara Rao,Jana Jagruti Party,0,5th Pass,59,"Rs 2,05,700  ~ 2 Lacs+",Rs 0  ~,Andhra Pradesh
Bandreddi Ramakrishna,Janasena Party,0,Post Graduate,44,"Rs 10,08,00,000  ~ 10 Crore+","Rs 3,76,00,000  ~ 3 Crore+",Andhra Pradesh
Beeda Masthan Rao,TDP,0,Graduate,60,,,Andhra Pradesh
Bellamkonda Saibabu,Janasena Party,0,Graduate Professional,49,"Rs 1,38,66,784  ~ 1 Crore+","Rs 24,72,903  ~ 24 Lacs+",Andhra Pradesh
Bellana Chandra Sekhar,YSRCP,4,Graduate Professional,57,"Rs 2,10,35,766  ~ 2 Crore+","Rs 1,11,30,148  ~ 1 Crore+",Andhra Pradesh
Betha Vivekananda Maharaj,IND,0,Graduate,33,"Rs 1,33,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Bharat Mathukumilli,TDP,0,Post Graduate,29,"Rs 2,32,53,73,550  ~ 232 Crore+","Rs 95,91,144  ~ 95 Lacs+",Andhra Pradesh
Bhuma Kishor Reddy,IND,0,10th Pass,35,,,Andhra Pradesh
Biddika Ramaiah,IND,0,Illiterate,57,"Rs 4,15,000  ~ 4 Lacs+",Rs 0  ~,Andhra Pradesh
Billa Chennaiah,IND,0,12th Pass,49,"Rs 28,37,000  ~ 28 Lacs+","Rs 18,46,848  ~ 18 Lacs+",Andhra Pradesh
Bolisetty Hari Babu,IND,1,Illiterate,60,"Rs 4,56,08,000  ~ 4 Crore+","Rs 1,09,44,696  ~ 1 Crore+",Andhra Pradesh
Bommi Srihari Rao,BJP,0,Graduate,44,"Rs 17,02,000  ~ 17 Lacs+",Rs 0  ~,Andhra Pradesh
Bonaboyina Srinivasa Rao,Janasena Party,1,10th Pass,50,,,Andhra Pradesh
Buddala Geetha Devi,Praja Shanthi Party,0,5th Pass,34,"Rs 32,000  ~ 32 Thou+",Rs 0  ~,Andhra Pradesh
Bussa Nagaraju,IND,1,Others,29,"Rs 1,94,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Butti Nagaraju,IND,0,Post Graduate,49,"Rs 94,30,000  ~ 94 Lacs+","Rs 40,73,216  ~ 40 Lacs+",Andhra Pradesh
C. Punyamurthy,BSP,4,Others,45,"Rs 3,03,23,800  ~ 3 Crore+","Rs 2,16,35,686  ~ 2 Crore+",Andhra Pradesh
C. Surendra Nath Reddy,IND,0,12th Pass,54,,,Andhra Pradesh
Chadipirala Adi Narayana Reddy,TDP,0,Post Graduate,61,"Rs 3,07,42,398  ~ 3 Crore+","Rs 9,61,319  ~ 9 Lacs+",Andhra Pradesh
Chadipiralla Siva Narayana Reddy,Navarang Congress Party,0,Others,53,"Rs 1,13,20,100  ~ 1 Crore+","Rs 5,91,000  ~ 5 Lacs+",Andhra Pradesh
Challagali Kishore Kumar,BJP,1,Graduate Professional,43,"Rs 31,85,877  ~ 31 Lacs+",Rs 0  ~,Andhra Pradesh
