Candidate Name,Party,Age,Gender,State,Constituency,Constituency_No
V.K. ABDUL AZIZ,Independent,42,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
USHA KUMARI,Independent,39,F,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
RINKU MALA MONDAL,Independent,36,F,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
KULDEEP RAI SHARMA,Indian National Congress,56,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
ANAND RAMNATH ARLEKAR,Independent,58,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
K VENKAT RAM BABU,Independent,50,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),48,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,50,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
MANOJ PAUL,Andaman Nicobar Democratic Congress,35,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
D AYYAPPAN,Communist Party of India  (Marxist),60,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
DR ARUN KUMAR MALLIK,Bahujan Samaj Party,64,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
BISHNU PADA RAY,Bharatiya Janata Party,73,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
KOTHAPALLI GEETHA,Bharatiya Janata Party,53,F,Andhra Pradesh,Araku (ST),1
SAMAREDDY BALAKRISHNA,Independent,48,M,Andhra Pradesh,Araku (ST),1
ATHIDHI,Independent,32,F,Andhra Pradesh,Araku (ST),1
MANDALA GIRIDHARA RAO,Independent,42,M,Andhra Pradesh,Araku (ST),1
MOTTADAM . RAJABABU,Bharat Adivasi Party,47,M,Andhra Pradesh,Araku (ST),1
VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,43,M,Andhra Pradesh,Araku (ST),1
NIMMAKA JAYARAJU,Independent,64,M,Andhra Pradesh,Araku (ST),1
APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),41,M,Andhra Pradesh,Araku (ST),1
GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,31,F,Andhra Pradesh,Araku (ST),1
CHANTI BADNAINA,Jai Bharat National Party,28,M,Andhra Pradesh,Araku (ST),1
RAMBABU JALLI,Telugu Rajadhikara Samiti Party,45,M,Andhra Pradesh,Araku (ST),1
AVASHYA LAHARI . VARAM,Bahujan Samaj Party,30,F,Andhra Pradesh,Araku (ST),1
RANJITH KUMAR PALAKA,Independent,42,M,Andhra Pradesh,Araku (ST),1
PEDADA PARAMESWARA RAO,Indian National Congress,59,M,Andhra Pradesh,Srikakulam,2
SANAPALA SRAVAN KUMAR,Independent,38,M,Andhra Pradesh,Srikakulam,2
BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,37,F,Andhra Pradesh,Srikakulam,2
KINJARAPU RAMMOHAN NAIDU,Telugu Desam,36,M,Andhra Pradesh,Srikakulam,2
BETHA VIVEKANANDA MAHARAJ,Independent,38,M,Andhra Pradesh,Srikakulam,2
KAYA DURGARAO,Navarang Congress Party,34,M,Andhra Pradesh,Srikakulam,2
VABA YOGESWARA RAO,Independent,39,M,Andhra Pradesh,Srikakulam,2
BOMMALI TIRUPATI RAO,Pyramid Party of India,29,M,Andhra Pradesh,Srikakulam,2
TILAK PERADA,Yuvajana Sramika Rythu Congress Party,50,M,Andhra Pradesh,Srikakulam,2
CHELLURI DANIYAL,Independent,49,M,Andhra Pradesh,Srikakulam,2
IPPILI SEETHARAJU,Jai Bharat National Party,47,M,Andhra Pradesh,Srikakulam,2
YEDDU LAKSHMINARAYANA,Independent,66,M,Andhra Pradesh,Srikakulam,2
NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,40,M,Andhra Pradesh,Srikakulam,2
ADINARAYANA TADDI,Independent,61,M,Andhra Pradesh,Vizianagaram,3
ALLU SRIRAMULU,Independent,48,M,Andhra Pradesh,Vizianagaram,3
APPALANAIDU KALISETTI,Telugu Desam,50,M,Andhra Pradesh,Vizianagaram,3
MARISERLA KRISHNAMURTHY NAIDU,Independent,50,M,Andhra Pradesh,Vizianagaram,3
BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,62,M,Andhra Pradesh,Vizianagaram,3
VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,37,M,Andhra Pradesh,Vizianagaram,3
BOBBILI SRINU,Indian National Congress,33,M,Andhra Pradesh,Vizianagaram,3
CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,46,M,Andhra Pradesh,Vizianagaram,3
VELURI VENKATA TRINADHARAO,Independent,58,M,Andhra Pradesh,Vizianagaram,3
SAKHINETI ANANTHA RAJU,Pyramid Party of India,50,M,Andhra Pradesh,Vizianagaram,3
P V A ANANDA SAGAR,Independent,60,M,Andhra Pradesh,Vizianagaram,3
PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,69,M,Andhra Pradesh,Vizianagaram,3
ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,55,M,Andhra Pradesh,Vizianagaram,3
SIYYADULA YELLA RAO,Independent,42,M,Andhra Pradesh,Vizianagaram,3
SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,45,M,Andhra Pradesh,Vizianagaram,3
ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,55,M,Andhra Pradesh,Visakhapatnam,4
PIDIDHI APPARAO,Independent,44,M,Andhra Pradesh,Visakhapatnam,4
ARUNA SRI MURALA,Independent,53,F,Andhra Pradesh,Visakhapatnam,4
JANARDHAN PONNADA.,Independent,31,M,Andhra Pradesh,Visakhapatnam,4
SRIBHARAT MATHUKUMILI,Telugu Desam,35,M,Andhra Pradesh,Visakhapatnam,4
BIKKAVOLU. CHALAMAJI,Navarang Congress Party,43,M,Andhra Pradesh,Visakhapatnam,4
GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Independent,49,M,Andhra Pradesh,Visakhapatnam,4
DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,39,M,Andhra Pradesh,Visakhapatnam,4
VASUPILLI SURESH,Independent,54,M,Andhra Pradesh,Visakhapatnam,4
LAGUDU. GOVINDA RAO,Independent,44,M,Andhra Pradesh,Visakhapatnam,4
KOLLI NAGA RAJU,Independent,38,M,Andhra Pradesh,Visakhapatnam,4
SHANKAR DEVARA YADAV,Independent,26,M,Andhra Pradesh,Visakhapatnam,4
GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,49,M,Andhra Pradesh,Visakhapatnam,4
JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,61,F,Andhra Pradesh,Visakhapatnam,4
V.N. SATYA NARAYANA,Rashtriya Praja Congress  (Secular),44,M,Andhra Pradesh,Visakhapatnam,4
G.A.N. ANAND,Independent,38,M,Andhra Pradesh,Visakhapatnam,4
JALADI VIJAYA KUMARI,Samajwadi Party,52,F,Andhra Pradesh,Visakhapatnam,4
VENU MADHAV KARRI,Independent,48,M,Andhra Pradesh,Visakhapatnam,4
P. SATYA VANI,Pyramid Party of India,53,F,Andhra Pradesh,Visakhapatnam,4
DR. GANAPATHI KONGARAPU.,Republican Party of India (A),42,M,Andhra Pradesh,Visakhapatnam,4
METTA RAMA RAO,Independent,58,M,Andhra Pradesh,Visakhapatnam,4
PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,57,M,Andhra Pradesh,Visakhapatnam,4
DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,57,M,Andhra Pradesh,Visakhapatnam,4
K.A. PAUL,Praja Shanthi Party,60,M,Andhra Pradesh,Visakhapatnam,4
MALLA SRAVANI,Independent,51,F,Andhra Pradesh,Visakhapatnam,4
P. SATYA REDDY,Indian National Congress,52,M,Andhra Pradesh,Visakhapatnam,4
GANDIKOTA RAJESH,Navataram Party,43,M,Andhra Pradesh,Visakhapatnam,4
VADDI. HARI GANESH,Independent,42,M,Andhra Pradesh,Visakhapatnam,4
THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,29,M,Andhra Pradesh,Visakhapatnam,4
CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,56,M,Andhra Pradesh,Visakhapatnam,4
CHAPPIDI RAMU,Independent,49,M,Andhra Pradesh,Visakhapatnam,4
M.G.M. KHAN,Independent,37,M,Andhra Pradesh,Visakhapatnam,4
BANNA. RAMESH,Dalita Bahujana Party,49,M,Andhra Pradesh,Visakhapatnam,4
SONDI KRISHNA.,Independent,52,M,Andhra Pradesh,Visakhapatnam,4
JUNNURI J SRINIVAS,Independent,54,M,Andhra Pradesh,Anakapalle,5
NAGESWARA RAO PETLA,Independent,60,M,Andhra Pradesh,Anakapalle,5
C.M.RAMESH,Bharatiya Janata Party,58,M,Andhra Pradesh,Anakapalle,5
APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,54,M,Andhra Pradesh,Anakapalle,5
PALAKA SREERAMA MURTHY,Bahujan Samaj Party,54,M,Andhra Pradesh,Anakapalle,5
BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,60,M,Andhra Pradesh,Anakapalle,5
KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,50,M,Andhra Pradesh,Anakapalle,5
APPALANAIDU TUMMAGUNTA,Independent,42,M,Andhra Pradesh,Anakapalle,5
DR. THUMMAPALA HARI  SHANKAR,Independent,35,M,Andhra Pradesh,Anakapalle,5
VEGI VENKATESH,Indian National Congress,50,M,Andhra Pradesh,Anakapalle,5
GARA SURYA RAO,Independent,70,M,Andhra Pradesh,Anakapalle,5
VIJAYA LAKSHMI KARRI,Pyramid Party of India,43,F,Andhra Pradesh,Anakapalle,5
VANKAYALA RAMACHANDRA RAO,Independent,70,M,Andhra Pradesh,Anakapalle,5
LOVARAJU SIDDHA,Independent,36,M,Andhra Pradesh,Anakapalle,5
ADARI SARAT CHANDRA,Jai Bharat National Party,39,M,Andhra Pradesh,Anakapalle,5
YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,44,M,Andhra Pradesh,Kakinada,6
TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,38,M,Andhra Pradesh,Kakinada,6
SUDHA VEERA GANESH,Independent,33,M,Andhra Pradesh,Kakinada,6
DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,25,F,Andhra Pradesh,Kakinada,6
KANDREGULA NARASIMHAM,Bahujan Samaj Party,55,M,Andhra Pradesh,Kakinada,6
NEELAKANTAM DONAM,Independent,52,M,Andhra Pradesh,Kakinada,6
CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,54,M,Andhra Pradesh,Kakinada,6
UDAY,Navarang Congress Party,41,M,Andhra Pradesh,Kakinada,6
BUGATHA BANGARRAO,Communist Party of India  (Marxist-Leninist)  (Liberation),63,M,Andhra Pradesh,Kakinada,6
TANGELLA SRINIVASU,Jatiya Jana Sena Party,32,M,Andhra Pradesh,Kakinada,6
MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,56,M,Andhra Pradesh,Kakinada,6
YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),55,M,Andhra Pradesh,Kakinada,6
BODDETI APPARAO,Independent,31,M,Andhra Pradesh,Kakinada,6
PASUPULETI S.V.S.BHUSHANAM,Independent,53,M,Andhra Pradesh,Kakinada,6
BHAVANI SANKAR PRASAD MERLA,Independent,64,M,Andhra Pradesh,Kakinada,6
VADDI LALITH KUMAR,Independent,64,M,Andhra Pradesh,Amalapuram (SC),7
PATHURI RAMESH,Peoples Party of India (Democratic),39,M,Andhra Pradesh,Amalapuram (SC),7
G M HARISH (BALAYOGI),Telugu Desam,33,M,Andhra Pradesh,Amalapuram (SC),7
KAPA KALYAN,Republican Party of India (A),47,M,Andhra Pradesh,Amalapuram (SC),7
GOUTHAM JANGA,Indian National Congress,54,M,Andhra Pradesh,Amalapuram (SC),7
RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,65,M,Andhra Pradesh,Amalapuram (SC),7
MATHA KRISHNA,Pyramid Party of India,39,M,Andhra Pradesh,Amalapuram (SC),7
YALANGI RAMESH,Jaibhim Rao Bharat Party,61,M,Andhra Pradesh,Amalapuram (SC),7
MAKEY DAVY PRASAD,Independent,71,M,Andhra Pradesh,Amalapuram (SC),7
RAMESH JILLELLA,Jatiya Jana Sena Party,28,M,Andhra Pradesh,Amalapuram (SC),7
GIDDI JNANA PRAKASA RAO,Republican Party of India,62,M,Andhra Pradesh,Amalapuram (SC),7
KATRU NAGA BABU,Telugu Nava Garjana Party,30,M,Andhra Pradesh,Amalapuram (SC),7
GUDE VENKATESWARULU,Independent,51,M,Andhra Pradesh,Amalapuram (SC),7
DORABABU YALLA,Bahujan Samaj Party,59,M,Andhra Pradesh,Amalapuram (SC),7
YADLA RAJESH,Liberation Congress Party,32,M,Andhra Pradesh,Amalapuram (SC),7
JALLI BALA NAVEENA,Independent,43,F,Andhra Pradesh,Rajahmundry,8
GIDUGU RUDRARAJU,Indian National Congress,55,M,Andhra Pradesh,Rajahmundry,8
BOMMANABOINA VSR MURTHY,Independent,67,M,Andhra Pradesh,Rajahmundry,8
MOHANARAO SINGULURI,Jai Bharat National Party,35,M,Andhra Pradesh,Rajahmundry,8
SALOPANTULA RAGHAVENDRA RAO,Independent,50,M,Andhra Pradesh,Rajahmundry,8
DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,67,F,Andhra Pradesh,Rajahmundry,8
DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,60,M,Andhra Pradesh,Rajahmundry,8
BATTULA BALARAMAKRISHNA,Navarang Congress Party,31,M,Andhra Pradesh,Rajahmundry,8
BHANU CHANDAR KURUVELLA,Independent,39,M,Andhra Pradesh,Rajahmundry,8
GANESWARA RAO PARAMATA,Bahujan Samaj Party,62,M,Andhra Pradesh,Rajahmundry,8
DR. MEDISI RATNARAO ALIAS VINAY,Independent,45,M,Andhra Pradesh,Rajahmundry,8
MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular),54,M,Andhra Pradesh,Rajahmundry,8
SIRRA RAJU,Bahujan Samaj Party,56,M,Andhra Pradesh,Narsapuram,9
NALLI RAJESH,Independent,41,M,Andhra Pradesh,Narsapuram,9
ADDANKI DORABABU,Independent,54,M,Andhra Pradesh,Narsapuram,9
ADABALA SIVA,Independent,40,M,Andhra Pradesh,Narsapuram,9
ADINARAYANA DUPPANAPUDI,Independent,46,M,Andhra Pradesh,Narsapuram,9
PRASANNA KUMAR UNDURTHI,Independent,33,M,Andhra Pradesh,Narsapuram,9
K.B.R.NAIDU,Indian National Congress,64,M,Andhra Pradesh,Narsapuram,9
BALAGAM NAYAKAR,Independent,51,M,Andhra Pradesh,Narsapuram,9
GANJI PURNIMA,Republican Party of India (A),41,F,Andhra Pradesh,Narsapuram,9
RUKHMINI,Independent,67,F,Andhra Pradesh,Narsapuram,9
GOTTUMUKKALA SHIVAJI,Independent,53,M,Andhra Pradesh,Narsapuram,9
GEDALA LAXMANA RAO,Independent,47,M,Andhra Pradesh,Narsapuram,9
ANAND CHANDULAL JASTI,Independent,68,M,Andhra Pradesh,Narsapuram,9
BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,56,M,Andhra Pradesh,Narsapuram,9
ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,36,M,Andhra Pradesh,Narsapuram,9
RAMA DURGA PRASAD THOLETI,Independent,36,M,Andhra Pradesh,Narsapuram,9
UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,57,F,Andhra Pradesh,Narsapuram,9
KETHA SREENU,Independent,43,M,Andhra Pradesh,Narsapuram,9
MEDAPATI VENKATA VARAHALA REDDY,Independent,49,M,Andhra Pradesh,Narsapuram,9
MANNE LEELA RAMA NARENDRA,Pyramid Party of India,38,M,Andhra Pradesh,Narsapuram,9
OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,55,M,Andhra Pradesh,Narsapuram,9
AJAY BABU BODA,Navarang Congress Party,32,M,Andhra Pradesh,Eluru,10
KANDAVALLI JEEVA DEVA DAYAKAR,Independent,56,M,Andhra Pradesh,Eluru,10
RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,44,M,Andhra Pradesh,Eluru,10
KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,33,M,Andhra Pradesh,Eluru,10
KAVURI LAVANYA,Indian National Congress,47,F,Andhra Pradesh,Eluru,10
PUTTA MAHESH KUMAR,Telugu Desam,39,M,Andhra Pradesh,Eluru,10
GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,51,M,Andhra Pradesh,Eluru,10
NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,65,M,Andhra Pradesh,Eluru,10
BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,55,M,Andhra Pradesh,Eluru,10
DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,49,M,Andhra Pradesh,Eluru,10
AGASTEEN KOMMINA,Independent,41,M,Andhra Pradesh,Eluru,10
RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,70,M,Andhra Pradesh,Eluru,10
BOKINALA KOTESWARA RAO,Independent,42,M,Andhra Pradesh,Eluru,10
MARADANI K R SWAMY,Jai Maha Bharath Party,38,M,Andhra Pradesh,Machilipatnam,11
DEVAMANI DEVARAPALLI,Bahujan Samaj Party,46,F,Andhra Pradesh,Machilipatnam,11
BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,66,M,Andhra Pradesh,Machilipatnam,11
PAMULA BALA SOWRYAMMA,Independent,39,F,Andhra Pradesh,Machilipatnam,11
DAMODARA RAO GUDAVALLI,Independent,58,M,Andhra Pradesh,Machilipatnam,11
BALASHOWRY VALLABHANENI,Janasena Party,55,M,Andhra Pradesh,Machilipatnam,11
ANUSHA YERUVA,Independent,25,F,Andhra Pradesh,Machilipatnam,11
APPARAO ENNETI,Independent,51,M,Andhra Pradesh,Machilipatnam,11
JOGI VEERANJANEYULU,Independent,32,M,Andhra Pradesh,Machilipatnam,11
KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,63,M,Andhra Pradesh,Machilipatnam,11
GUDAVALLI VENKATA KEDARESWARA RAO,Independent,55,M,Andhra Pradesh,Machilipatnam,11
GANDHI  DHANEKULA,Independent,76,M,Andhra Pradesh,Machilipatnam,11
GOLLU KRISHNA,Indian National Congress,60,M,Andhra Pradesh,Machilipatnam,11
VALLABHANENI NAGA PAVAN KUMAR,Independent,34,M,Andhra Pradesh,Machilipatnam,11
SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,70,M,Andhra Pradesh,Machilipatnam,11
MEKA VENKATESWARA RAO,Bahujan Samaj Party,50,M,Andhra Pradesh,Vijayawada,12
DATLA LURTHU MERI,Jaibhim Rao Bharat Party,50,F,Andhra Pradesh,Vijayawada,12
KESINENI SIVANATH (CHINNI),Telugu Desam,55,M,Andhra Pradesh,Vijayawada,12
BHARGAV VALLURU,Indian National Congress,36,M,Andhra Pradesh,Vijayawada,12
PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale),55,M,Andhra Pradesh,Vijayawada,12
CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,45,F,Andhra Pradesh,Vijayawada,12
DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi,49,M,Andhra Pradesh,Vijayawada,12
VENKATA ASHOK PAPPURI,Independent,27,M,Andhra Pradesh,Vijayawada,12
KRISHNA KISHORE YANAMANDRA,Navataram Party,50,M,Andhra Pradesh,Vijayawada,12
KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,58,M,Andhra Pradesh,Vijayawada,12
DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,38,M,Andhra Pradesh,Vijayawada,12
CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,49,M,Andhra Pradesh,Vijayawada,12
N DASARADHA RAMI REDDY,All India Jaihind Party,70,M,Andhra Pradesh,Vijayawada,12
SYED KHAMURUNNISA,Navarang Congress Party,34,F,Andhra Pradesh,Vijayawada,12
ANIL KUMAR MADDINENI,Independent,45,M,Andhra Pradesh,Vijayawada,12
BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,37,M,Andhra Pradesh,Vijayawada,12
GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST),61,F,Andhra Pradesh,Vijayawada,12
SIVA PARVATHI,Independent,34,F,Andhra Pradesh,Guntur,13
CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,37,M,Andhra Pradesh,Guntur,13
DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,48,M,Andhra Pradesh,Guntur,13
SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,31,M,Andhra Pradesh,Guntur,13
BURAGA RATNAM,Loktantrik Janta Dal,53,M,Andhra Pradesh,Guntur,13
ASHOK ANAND GALI,Independent,39,M,Andhra Pradesh,Guntur,13
MADAVARAPU NAGA RAJU,Independent,45,M,Andhra Pradesh,Guntur,13
UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,34,M,Andhra Pradesh,Guntur,13
PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,45,M,Andhra Pradesh,Guntur,13
HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,50,M,Andhra Pradesh,Guntur,13
EMANI. CHANDRASEKHAR RAO,Navodayam Party,58,M,Andhra Pradesh,Guntur,13
KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,57,M,Andhra Pradesh,Guntur,13
SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,46,M,Andhra Pradesh,Guntur,13
AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),55,M,Andhra Pradesh,Guntur,13
JANGALA AJAY KUMAR,Communist Party of India,57,M,Andhra Pradesh,Guntur,13
VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,49,M,Andhra Pradesh,Guntur,13
KANNEBOYINA VAMSI KRISHNA YADAV,Independent,33,M,Andhra Pradesh,Guntur,13
SIVAREDDY. ENDREDDY,Navataram Party,63,M,Andhra Pradesh,Guntur,13
PILLI BABU RAO,Independent,66,M,Andhra Pradesh,Guntur,13
TENALI PRAKASH,Bahujan Samaj Party,48,M,Andhra Pradesh,Guntur,13
VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,33,M,Andhra Pradesh,Guntur,13
MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,48,M,Andhra Pradesh,Guntur,13
SHAIK. KHAJAVALI,Independent,39,M,Andhra Pradesh,Guntur,13
BOMMASANI MUTYALA RAO,All Peoples Party,74,M,Andhra Pradesh,Guntur,13
DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),40,M,Andhra Pradesh,Guntur,13
SYED. SAIDA,Navarang Congress Party,31,M,Andhra Pradesh,Guntur,13
SHAIK ASLAM AKTHER,Independent,50,M,Andhra Pradesh,Guntur,13
SRIKRISHNA AKKISETTI,Independent,56,M,Andhra Pradesh,Guntur,13
GAYATRI AUDHIPUDI,Independent,55,F,Andhra Pradesh,Guntur,13
AMBATI CHALAMAIAH,Pyramid Party of India,58,M,Andhra Pradesh,Guntur,13
GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,31,M,Andhra Pradesh,Narsaraopet,14
GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,55,M,Andhra Pradesh,Narsaraopet,14
PASUPULETI PICHAIAH,National Nava Kranthi Party,37,M,Andhra Pradesh,Narsaraopet,14
ORSU PREMARAJU,Bahujan Samaj Party,61,M,Andhra Pradesh,Narsaraopet,14
SUBBARAO CHALLA,Independent,40,M,Andhra Pradesh,Narsaraopet,14
DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,40,M,Andhra Pradesh,Narsaraopet,14
KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,51,M,Andhra Pradesh,Narsaraopet,14
P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,50,M,Andhra Pradesh,Narsaraopet,14
KOTA POTHURAJU,Pyramid Party of India,53,M,Andhra Pradesh,Narsaraopet,14
LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,41,M,Andhra Pradesh,Narsaraopet,14
ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,44,M,Andhra Pradesh,Narsaraopet,14
ABDUL RAJAK SHAIK,Independent,48,M,Andhra Pradesh,Narsaraopet,14
THOKALA NAGA RAJU,All India Forward Bloc,40,M,Andhra Pradesh,Narsaraopet,14
YAMPATI VEERANJANEYA REDDY,Independent,51,M,Andhra Pradesh,Narsaraopet,14
PAPPULA SAMBASIVA RAO,Navarang Congress Party,54,M,Andhra Pradesh,Narsaraopet,14
ABDUL RAJAK SHAIK,Independent,48,M,Andhra Pradesh,Narsaraopet,14
KONDRU KIRAN KUMAR,Independent,46,M,Andhra Pradesh,Bapatla (SC),15
GADDE. VIJAYA LAKSHMI,Independent,34,F,Andhra Pradesh,Bapatla (SC),15
PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,58,M,Andhra Pradesh,Bapatla (SC),15
CHINNAM MURALIDHAR,All Peoples Party,67,M,Andhra Pradesh,Bapatla (SC),15
BUSSA. NAGARAJU,Independent,34,M,Andhra Pradesh,Bapatla (SC),15
KRISHNA PRASAD TENNETI,Telugu Desam,64,M,Andhra Pradesh,Bapatla (SC),15
NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,46,M,Andhra Pradesh,Bapatla (SC),15
J.D. SEELAM,Indian National Congress,70,M,Andhra Pradesh,Bapatla (SC),15
KATTA HEMANAND,Independent,43,M,Andhra Pradesh,Bapatla (SC),15
MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,37,M,Andhra Pradesh,Bapatla (SC),15
KATTA ANAND BABU,Independent,32,M,Andhra Pradesh,Bapatla (SC),15
PARRE. KOTAIAH,Jaibhim Rao Bharat Party,41,M,Andhra Pradesh,Bapatla (SC),15
NALAMALA TIRUPATI RAO,Navataram Party,46,M,Andhra Pradesh,Bapatla (SC),15
DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,61,M,Andhra Pradesh,Bapatla (SC),15
KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,57,M,Andhra Pradesh,Bapatla (SC),15
PODILI RAMBABU,Independent,36,M,Andhra Pradesh,Ongole,16
HARI PRASAD TUPAKULA,Independent,47,M,Andhra Pradesh,Ongole,16
U MADHU BABU,Independent,38,M,Andhra Pradesh,Ongole,16
KOTA VAMSI KRISHNA,Independent,27,M,Andhra Pradesh,Ongole,16
YARRA DASARADHARAMAIAH,Independent,54,M,Andhra Pradesh,Ongole,16
SESHUBABU GUDDANTI,Independent,48,M,Andhra Pradesh,Ongole,16
KARATAPU RAJU,Independent,53,M,Andhra Pradesh,Ongole,16
SINGAMNENI SREEKANTH,Independent,39,M,Andhra Pradesh,Ongole,16
VESHAPOGU GURAVABABU,Independent,25,M,Andhra Pradesh,Ongole,16
MOHAN GOUD J V,Independent,63,M,Andhra Pradesh,Ongole,16
JAGADEESH RAYAPATI,Independent,38,M,Andhra Pradesh,Ongole,16
ORSU VEENA,Jai Bharat National Party,37,F,Andhra Pradesh,Ongole,16
