Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
Anand Ramnath Arlekar,IND,0,10th Pass,58,"Rs 8,43,025  ~ 8 Lacs+","Rs 13,36,346  ~ 13 Lacs+",Andaman and Nicobar Islands
Bishnu Pada Ray,BJP,0,Graduate,73,"Rs 2,74,39,170  ~ 2 Crore+","Rs 3,02,788  ~ 3 Lacs+",Andaman and Nicobar Islands
D Ayyappan,CPI(M),0,Post Graduate,60,"Rs 1,32,87,710  ~ 1 Crore+","Rs 26,49,000  ~ 26 Lacs+",Andaman and Nicobar Islands
Dr Arun Kumar Mallik,BSP,0,Post Graduate,64,"Rs 11,18,72,135  ~ 11 Crore+",Rs 0  ~,Andaman and Nicobar Islands
K J B Selvaraj,AIADMK,0,Graduate,50,,,Andaman and Nicobar Islands
K Venkat Ram Babu,IND,0,10th Pass,50,"Rs 3,99,000  ~ 3 Lacs+",Rs 0  ~,Andaman and Nicobar Islands
Kuldeep Rai Sharma,INC,0,Graduate Professional,56,"Rs 15,20,41,369  ~ 15 Crore+","Rs 16,40,57,549  ~ 16 Crore+",Andaman and Nicobar Islands
Manoj Paul,Andaman Nicobar Democratic Congress,15,Graduate Professional,35,"Rs 24,33,734  ~ 24 Lacs+","Rs 10,00,000  ~ 10 Lacs+",Andaman and Nicobar Islands
Rinku Mala Mondal,IND,0,Others,36,"Rs 2,65,362  ~ 2 Lacs+","Rs 2,20,000  ~ 2 Lacs+",Andaman and Nicobar Islands
Salamat Mondal,SUCI(C),0,Literate,48,,,Andaman and Nicobar Islands
Usha Kumari,IND,0,12th Pass,39,"Rs 6,00,000  ~ 6 Lacs+",Rs 0  ~,Andaman and Nicobar Islands
V.K. Abdul Aziz,IND,2,8th Pass,42,"Rs 82,67,000  ~ 82 Lacs+","Rs 1,87,000  ~ 1 Lacs+",Andaman and Nicobar Islands
L. Khaja Hussain,IND,0,Graduate,42,"Rs 92,46,142  ~ 92 Lacs+",Rs 0  ~,Andhra Pradesh
A Chinna Moulali,BSP,0,Graduate Professional,43,"Rs 85,08,000  ~ 85 Lacs+","Rs 13,00,000  ~ 13 Lacs+",Andhra Pradesh
A. Madhu,Jai Hindustan Party,0,10th Pass,31,"Rs 54,300  ~ 54 Thou+",Rs 0  ~,Andhra Pradesh
A. Purna Chandra,IND,0,10th Pass,37,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,Andhra Pradesh
A. Varaprasad,Jatiya Jana Sena Party,0,12th Pass,51,,,Andhra Pradesh
Abbavaram Ugendra,BSP,0,10th Pass,44,"Rs 72,500  ~ 72 Thou+",Rs 0  ~,Andhra Pradesh
Abdul Rajak Shaik,IND,0,Graduate Professional,48,"Rs 1,19,64,145  ~ 1 Crore+","Rs 8,00,000  ~ 8 Lacs+",Andhra Pradesh
Abdul Sattar A.S.R,Anna YSR Congress Party,1,Post Graduate,42,"Rs 60,60,000  ~ 60 Lacs+","Rs 12,00,000  ~ 12 Lacs+",Andhra Pradesh
Adabala Siva,IND,2,10th Pass,40,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Andhra Pradesh
Adari Sarat Chandra,Jai Bharat National Party,0,Post Graduate,39,,,Andhra Pradesh
Addanki Dorababu,IND,0,10th Pass,54,"Rs 34,50,000  ~ 34 Lacs+","Rs 17,00,000  ~ 17 Lacs+",Andhra Pradesh
Addepalli Veera Venkat Subba Rao,IND,0,Graduate,36,"Rs 2,75,000  ~ 2 Lacs+","Rs 4,300  ~ 4 Thou+",Andhra Pradesh
Adinarayana Duppanapudi,IND,0,8th Pass,46,"Rs 1,05,000  ~ 1 Lacs+","Rs 25,000  ~ 25 Thou+",Andhra Pradesh
Adinarayana Taddi,IND,0,8th Pass,61,"Rs 1,25,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Agasteen Kommina,IND,0,5th Pass,41,,,Andhra Pradesh
Ajay Babu Boda,Navarang Congress Party,0,10th Pass,32,"Rs 70,000  ~ 70 Thou+","Rs 2,40,000  ~ 2 Lacs+",Andhra Pradesh
Akbar M Basha,Anna YSR Congress Party,2,12th Pass,65,"Rs 2,66,40,000  ~ 2 Crore+","Rs 1,00,000  ~ 1 Lacs+",Andhra Pradesh
Akumalla Mallikarjuna Reddy,IND,0,10th Pass,35,"Rs 1,21,000  ~ 1 Lacs+","Rs 11,80,000  ~ 11 Lacs+",Andhra Pradesh
Allam.Raja,IND,0,Doctorate,61,"Rs 2,01,060  ~ 2 Lacs+","Rs 8,00,000  ~ 8 Lacs+",Andhra Pradesh
Allu Sriramulu,IND,0,8th Pass,48,,,Andhra Pradesh
Amarthaluri Venkateswara Rao,Marxist Communist Party of India (United),4,Graduate Professional,56,"Rs 2,21,10,958  ~ 2 Crore+","Rs 1,05,50,000  ~ 1 Crore+",Andhra Pradesh
Ambati Chalamaiah,Pyramid Party of India,0,Graduate,58,"Rs 2,90,000  ~ 2 Lacs+",Rs 0  ~,Andhra Pradesh
Ambica G Lakshminarayana Valmiki,TDP,8,Graduate,60,"Rs 4,75,40,056  ~ 4 Crore+","Rs 21,19,559  ~ 21 Lacs+",Andhra Pradesh
Amruth Kumar Salkapuram,Liberation Congress Party,0,Post Graduate,40,"Rs 1,50,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Anand Chandulal Jasti,IND,0,Doctorate,68,,,Andhra Pradesh
Andukuri Vijaya Bhaskar,India Praja Bandhu Party,0,Graduate Professional,55,"Rs 1,44,443  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Anil Kumar Maddineni,IND,0,Post Graduate,45,"Rs 33,55,000  ~ 33 Lacs+","Rs 52,60,000  ~ 52 Lacs+",Andhra Pradesh
Anil Kumar Poluboina,YSRCP,1,Graduate Professional,44,"Rs 11,06,67,086  ~ 11 Crore+","Rs 2,00,75,212  ~ 2 Crore+",Andhra Pradesh
Anjaiah.P,Republican Party of India (A),0,12th Pass,59,"Rs 1,57,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Anjinappa Gari Sreenivasulu,Revolutionary Socialist Party,0,5th Pass,55,,,Andhra Pradesh
Anusha Yeruva,IND,0,Graduate,25,"Rs 11,75,000  ~ 11 Lacs+","Rs 1,00,000  ~ 1 Lacs+",Andhra Pradesh
Appala Raju Nammi,Bharatha Chaitanya Yuvajana Party,3,5th Pass,54,"Rs 4,78,10,500  ~ 4 Crore+","Rs 86,00,000  ~ 86 Lacs+",Andhra Pradesh
Appalanaidu Kalisetti,TDP,0,Graduate Professional,50,"Rs 6,23,65,187  ~ 6 Crore+","Rs 66,70,915  ~ 66 Lacs+",Andhra Pradesh
Appalanaidu Tummagunta,IND,0,Graduate,42,"Rs 38,10,350  ~ 38 Lacs+","Rs 25,22,737  ~ 25 Lacs+",Andhra Pradesh
Appalanarasa Pachipenta,CPI(M),4,Post Graduate,41,,,Andhra Pradesh
Apparao Enneti,IND,0,Graduate,51,"Rs 1,23,000  ~ 1 Lacs+","Rs 80,000  ~ 80 Thou+",Andhra Pradesh
Aruna Sri Murala,IND,0,12th Pass,53,"Rs 28,00,000  ~ 28 Lacs+",Rs 0  ~,Andhra Pradesh
Asadi Venkatadri,IND,0,12th Pass,62,"Rs 18,50,000  ~ 18 Lacs+","Rs 1,50,000  ~ 1 Lacs+",Andhra Pradesh
Ashok,SUCI(C),0,10th Pass,32,"Rs 22,09,615  ~ 22 Lacs+","Rs 10,000  ~ 10 Thou+",Andhra Pradesh
Ashok Anand Gali,IND,0,Graduate Professional,39,,,Andhra Pradesh
Atchiyya Naidu Samireddy,SP,0,12th Pass,55,"Rs 84,70,863  ~ 84 Lacs+","Rs 7,28,770  ~ 7 Lacs+",Andhra Pradesh
Athidhi,IND,0,Graduate,32,"Rs 20,43,321  ~ 20 Lacs+","Rs 17,93,245  ~ 17 Lacs+",Andhra Pradesh
Avashya Lahari . Varam,BSP,0,Graduate Professional,30,"Rs 53,90,634  ~ 53 Lacs+","Rs 16,27,956  ~ 16 Lacs+",Andhra Pradesh
B A Samad Shaheen,INC,0,Post Graduate,60,"Rs 5,63,87,631  ~ 5 Crore+","Rs 1,17,30,500  ~ 1 Crore+",Andhra Pradesh
B C Ramanadha Areddy,IND,1,Graduate,58,,,Andhra Pradesh
B K Parthasarathi,TDP,15,Graduate,65,"Rs 16,89,59,895  ~ 16 Crore+","Rs 1,78,90,470  ~ 1 Crore+",Andhra Pradesh
B Y Ramaiah,YSRCP,1,Post Graduate,57,"Rs 2,29,91,787  ~ 2 Crore+","Rs 30,79,994  ~ 30 Lacs+",Andhra Pradesh
B. Bharani Bas,Ambedkar National Congress,0,8th Pass,45,"Rs 10,17,000  ~ 10 Lacs+",Rs 0  ~,Andhra Pradesh
B.Nagamuthyalu,SUCI(C),0,10th Pass,42,"Rs 3,45,573  ~ 3 Lacs+",Rs 0  ~,Andhra Pradesh
B.Raghavendra Prasad,IND,4,12th Pass,33,,,Andhra Pradesh
Baal Shouri Chodabathina,Jatiya Jana Sena Party,0,10th Pass,66,"Rs 71,500  ~ 71 Thou+",Rs 0  ~,Andhra Pradesh
Balagam Nayakar,IND,0,10th Pass,51,"Rs 4,53,000  ~ 4 Lacs+",Rs 0  ~,Andhra Pradesh
Balashowry Vallabhaneni,Janasena Party,2,Post Graduate,55,"Rs 1,33,72,14,564  ~ 133 Crore+","Rs 86,81,02,917  ~ 86 Crore+",Andhra Pradesh
Balija Shiva Kumar,IND,0,10th Pass,48,"Rs 90,37,200  ~ 90 Lacs+","Rs 2,00,000  ~ 2 Lacs+",Andhra Pradesh
Banasi Narayanappa,BSP,0,Graduate Professional,48,,,Andhra Pradesh
Bandapalli Ramesh,IND,0,12th Pass,37,"Rs 7,01,000  ~ 7 Lacs+",Rs 0  ~,Andhra Pradesh
Banna Ramesh,Dalita Bahujana Party,0,Post Graduate,49,"Rs 6,12,696  ~ 6 Lacs+",Rs 0  ~,Andhra Pradesh
Barre Sreenivasarao (Jai Bheem Srinivas),Telugu Rajadhikara Samiti Party,3,Graduate Professional,37,"Rs 68,80,000  ~ 68 Lacs+",Rs 0  ~,Andhra Pradesh
Bastipati Nagaraju Panchalingala,TDP,0,Post Graduate,45,"Rs 9,01,76,000  ~ 9 Crore+","Rs 19,36,439  ~ 19 Lacs+",Andhra Pradesh
Batthala Ramanaiah,Jai Bharat National Party,1,Graduate,49,,,Andhra Pradesh
Battula Balaramakrishna,Navarang Congress Party,0,Graduate Professional,31,"Rs 15,94,400  ~ 15 Lacs+","Rs 20,20,000  ~ 20 Lacs+",Andhra Pradesh
Bellamkonda Sreenivasulu,IND,0,Post Graduate,46,"Rs 2,60,000  ~ 2 Lacs+",Rs 0  ~,Andhra Pradesh
Bellana Chandrasekhar,YSRCP,5,Graduate Professional,62,"Rs 2,20,00,775  ~ 2 Crore+","Rs 98,52,470  ~ 98 Lacs+",Andhra Pradesh
Betha Vivekananda Maharaj,IND,0,Graduate,38,"Rs 1,70,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Bhagya R S,BSP,0,Graduate,28,,,Andhra Pradesh
Bhanu Chandar Kuruvella,IND,2,10th Pass,39,"Rs 9,70,320  ~ 9 Lacs+",Rs 0  ~,Andhra Pradesh
Bhargav Valluru,INC,0,Post Graduate,36,"Rs 12,96,53,183  ~ 12 Crore+","Rs 6,04,81,248  ~ 6 Crore+",Andhra Pradesh
Bhaskar Nasina,BSP,0,12th Pass,70,"Rs 17,22,000  ~ 17 Lacs+","Rs 95,000  ~ 95 Thou+",Andhra Pradesh
Bhavani Sankar Prasad Merla,IND,1,5th Pass,64,"Rs 2,37,90,000  ~ 2 Crore+","Rs 6,00,000  ~ 6 Lacs+",Andhra Pradesh
Bhuma Veera Bhadra Reddy,Navarang Congress Party,0,8th Pass,55,,,Andhra Pradesh
Bhupathi Raju Srinivasa Varma,BJP,0,Post Graduate,56,"Rs 7,16,64,809  ~ 7 Crore+","Rs 1,69,26,961  ~ 1 Crore+",Andhra Pradesh
Bikkavolu Chalamaji,Navarang Congress Party,0,Graduate,43,"Rs 2,04,672  ~ 2 Lacs+",Rs 0  ~,Andhra Pradesh
Bobbili Srinu,INC,0,Graduate,33,"Rs 1,89,91,100  ~ 1 Crore+","Rs 38,20,000  ~ 38 Lacs+",Andhra Pradesh
Boddeti Apparao,IND,0,10th Pass,31,"Rs 20,000  ~ 20 Thou+",Rs 0  ~,Andhra Pradesh
Boddu Kranthi Kumar,IND,0,Illiterate,33,,,Andhra Pradesh
Bokinala Koteswara Rao,IND,0,Post Graduate,42,"Rs 21,47,964  ~ 21 Lacs+",Rs 0  ~,Andhra Pradesh
Bommali Tirupati Rao,Pyramid Party of India,0,Others,29,"Rs 1,20,000  ~ 1 Lacs+","Rs 42,423  ~ 42 Thou+",Andhra Pradesh
Bommanaboina Vsr Murthy,IND,0,Post Graduate,67,"Rs 6,76,43,000  ~ 6 Crore+","Rs 27,40,000  ~ 27 Lacs+",Andhra Pradesh
Bommasani Mutyala Rao,All Peoples Party,0,Graduate Professional,74,"Rs 1,15,51,000  ~ 1 Crore+",Rs 0  ~,Andhra Pradesh
Bontha Ranga Reddy,IND,0,12th Pass,61,,,Andhra Pradesh
Borubadra Chandrakala,Bharatha Chaitanya Yuvajana Party,0,Post Graduate,37,"Rs 95,08,000  ~ 95 Lacs+","Rs 32,58,800  ~ 32 Lacs+",Andhra Pradesh
Botcha Jhansilakshmi,YSRCP,0,Doctorate,61,"Rs 19,76,03,661  ~ 19 Crore+","Rs 4,24,87,569  ~ 4 Crore+",Andhra Pradesh
Boya Suresh,IND,0,Graduate,30,"Rs 32,63,000  ~ 32 Lacs+",Rs 0  ~,Andhra Pradesh
Brahmananda Reddy K,IND,1,10th Pass,57,"Rs 36,22,000  ~ 36 Lacs+","Rs 2,70,000  ~ 2 Lacs+",Andhra Pradesh
Buchi Edukondalu,IND,0,Post Graduate,41,,,Andhra Pradesh
Budi Mutyala Naidu,YSRCP,0,10th Pass,60,"Rs 7,39,92,295  ~ 7 Crore+","Rs 1,77,19,071  ~ 1 Crore+",Andhra Pradesh
Budili Dhanunjaya,National Nava Kranthi Party,0,10th Pass,36,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Andhra Pradesh
Bugatha Bangarrao,CPI(ML)(L),3,10th Pass,63,"Rs 42,10,000  ~ 42 Lacs+","Rs 9,80,000  ~ 9 Lacs+",Andhra Pradesh
Buraga Ratnam,Loktantrik Janta Dal,0,Graduate Professional,53,"Rs 4,70,13,655  ~ 4 Crore+","Rs 1,40,34,000  ~ 1 Crore+",Andhra Pradesh
Bushaku Maheswara Reddy,IND,0,Graduate Professional,50,,,Andhra Pradesh
Bussa Nagaraju,IND,4,Others,34,"Rs 11,15,600  ~ 11 Lacs+",Rs 0  ~,Andhra Pradesh
Byraboyina Malyadri,Bharatha Chaitanya Yuvajana Party,0,5th Pass,55,"Rs 1,21,70,000  ~ 1 Crore+","Rs 79,70,000  ~ 79 Lacs+",Andhra Pradesh
C Surendra Natha Reddy,IND,0,12th Pass,60,"Rs 23,00,000  ~ 23 Lacs+","Rs 1,50,000  ~ 1 Lacs+",Andhra Pradesh
C. David,Indian Believers Party,0,Graduate,43,"Rs 38,79,948  ~ 38 Lacs+","Rs 90,000  ~ 90 Thou+",Andhra Pradesh
C. Punyamurthy,United Republican Party of India,4,Others,50,,,Andhra Pradesh
C.M.Ramesh,BJP,5,12th Pass,58,"Rs 4,97,60,24,996  ~ 497 Crore+","Rs 1,01,61,83,515  ~ 101 Crore+",Andhra Pradesh
C.Sudhakar,IND,0,10th Pass,48,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,Andhra Pradesh
Ch P Malleswarudu,IND,0,10th Pass,69,"Rs 1,00,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Chadipiralla Bhupesh Subbarami Reddy,TDP,1,Graduate Professional,37,"Rs 3,00,34,646  ~ 3 Crore+","Rs 1,13,34,283  ~ 1 Crore+",Andhra Pradesh
Chagantipati Gangadhar Gandhi,Pyramid Party of India,0,12th Pass,49,,,Andhra Pradesh
Chalamalasetty Sunil,YSRCP,0,Post Graduate,54,"Rs 1,49,99,62,589  ~ 149 Crore+","Rs 6,82,39,876  ~ 6 Crore+",Andhra Pradesh
Challapalli Ratan Raju,Viduthalai Chiruthaigal Katchi,0,Post Graduate,37,"Rs 45,91,026  ~ 45 Lacs+","Rs 15,59,053  ~ 15 Lacs+",Andhra Pradesh
Chan Basha S,Anna YSR Congress Party,0,5th Pass,50,"Rs 35,40,000  ~ 35 Lacs+","Rs 9,40,000  ~ 9 Lacs+",Andhra Pradesh
Chandini Reddy Vakati,Liberation Congress Party,0,Graduate,28,"Rs 51,20,000  ~ 51 Lacs+","Rs 15,00,000  ~ 15 Lacs+",Andhra Pradesh
Chanti Badnaina,Jai Bharat National Party,0,12th Pass,28,,,Andhra Pradesh
Chappidi Ramu,IND,0,Post Graduate,49,"Rs 4,68,697  ~ 4 Lacs+",Rs 0  ~,Andhra Pradesh
Chelluri Daniyal,IND,0,Post Graduate,49,"Rs 12,84,100  ~ 12 Lacs+","Rs 2,68,471  ~ 2 Lacs+",Andhra Pradesh
Chinnam Aruna Kumar,Jaibhim Rao Bharat Party,0,Post Graduate,46,"Rs 19,03,500  ~ 19 Lacs+",Rs 0  ~,Andhra Pradesh
Chinnam Muralidhar,All Peoples Party,0,Graduate Professional,67,"Rs 30,36,500  ~ 30 Lacs+",Rs 0  ~,Andhra Pradesh
Chinnapureddy Gopala Krishna Reddy,IND,0,Graduate Professional,49,,,Andhra Pradesh
Chinta Mohan,INC,0,Graduate Professional,69,"Rs 2,27,75,274  ~ 2 Crore+",Rs 0  ~,Andhra Pradesh
Chintada Suryam,Naba Bharata Nirmana Seva Party,0,Illiterate,56,"Rs 13,500  ~ 13 Thou+",Rs 0  ~,Andhra Pradesh
Chinthalacheruvu Hemalatha,Jai Maha Bharath Party,0,Graduate,46,"Rs 62,26,000  ~ 62 Lacs+","Rs 2,00,000  ~ 2 Lacs+",Andhra Pradesh
Choudvaram Subbanarasaiah,IND,0,10th Pass,26,"Rs 28,70,360  ~ 28 Lacs+","Rs 10,00,000  ~ 10 Lacs+",Andhra Pradesh
D. Mahesh,IND,0,12th Pass,36,,,Andhra Pradesh
Daggubati Purandheshwari,BJP,1,Graduate,67,"Rs 62,50,41,146  ~ 62 Crore+","Rs 6,98,60,440  ~ 6 Crore+",Andhra Pradesh
Daggumalla Prasada Rao,TDP,0,Graduate,62,"Rs 38,44,93,765  ~ 38 Crore+","Rs 8,02,79,565  ~ 8 Crore+",Andhra Pradesh
Damodara Rao Gudavalli,IND,0,Others,58,"Rs 1,08,35,978  ~ 1 Crore+","Rs 49,36,385  ~ 49 Lacs+",Andhra Pradesh
Dasaganipalli Kullayappa,IND,0,Post Graduate,44,"Rs 11,49,000  ~ 11 Lacs+","Rs 29,90,000  ~ 29 Lacs+",Andhra Pradesh
Dasari. Gowtham,IND,0,Graduate Professional,28,,,Andhra Pradesh
Datla Lurthu Meri,Jaibhim Rao Bharat Party,1,12th Pass,51,"Rs 1,60,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
Devamani Devarapalli,BSP,0,Post Graduate,46,"Rs 10,75,88,446  ~ 10 Crore+","Rs 2,81,39,567  ~ 2 Crore+",Andhra Pradesh
Devarapalli Mallikarjuna Rao (Mahesh),IND,0,12th Pass,38,Nil,Rs 0  ~,Andhra Pradesh
Devarapogu Maddilety,IND,0,10th Pass,50,"Rs 6,21,173  ~ 6 Lacs+",Rs 0  ~,Andhra Pradesh
Devarasetty Raveendra Babu,Andhra Rastra Praja Samithi,0,Graduate Professional,49,,,Andhra Pradesh
Devireddy Balanjaneyulu,IND,0,8th Pass,41,"Rs 9,86,000  ~ 9 Lacs+","Rs 1,63,500  ~ 1 Lacs+",Andhra Pradesh
Dharanikota Lakshmi Narayana,BSP,0,Illiterate,50,"Rs 17,42,500  ~ 17 Lacs+","Rs 2,16,000  ~ 2 Lacs+",Andhra Pradesh
Doctor Goda Ramesh Kumar,Jatiya Jana Sena Party,0,Graduate Professional,40,"Rs 13,500  ~ 13 Thou+",Rs 0  ~,Andhra Pradesh
Doddapaneni Raja Naidu,IND,1,Post Graduate,25,"Rs 20,75,000  ~ 20 Lacs+",Rs 0  ~,Andhra Pradesh
Dorababu Yalla,BSP,0,Graduate Professional,59,,,Andhra Pradesh
Dr Anusha Yadav,Bharatha Chaitanya Yuvajana Party,0,Graduate,25,"Rs 94,22,317  ~ 94 Lacs+","Rs 4,61,766  ~ 4 Lacs+",Andhra Pradesh
Dr Byreddy Shabari,TDP,2,Post Graduate,40,"Rs 14,76,31,050  ~ 14 Crore+","Rs 3,20,33,423  ~ 3 Crore+",Andhra Pradesh
Dr Chandra Sekhar Pemmasani,TDP,1,Post Graduate,48,"Rs 57,05,47,27,538  ~ 5705 Crore+","Rs 10,38,00,00,000  ~ 1038 Crore+",Andhra Pradesh
Dr Chevireddy Bhaskar Reddy,YSRCP,11,Doctorate,51,"Rs 17,25,30,612  ~ 17 Crore+","Rs 8,59,20,196  ~ 8 Crore+",Andhra Pradesh
Dr. Achutha Balaji Yadav (Murapala),Bharatha Chaitanya Yuvajana Party,0,Graduate Professional,39,,,Andhra Pradesh
Dr. Ganapathi Kongarapu,Republican Party of India (A),0,Doctorate,42,"Rs 5,12,282  ~ 5 Lacs+","Rs 3,00,000  ~ 3 Lacs+",Andhra Pradesh
Dr. Guduri Srinivas,YSRCP,0,Doctorate,60,"Rs 16,45,68,281  ~ 16 Crore+","Rs 1,26,94,933  ~ 1 Crore+",Andhra Pradesh
Dr. Medisi Ratnarao Alias Vinay,IND,0,Graduate Professional,45,Nil,Rs 0  ~,Andhra Pradesh
Dr. Mendem Santhosh Kumar (Pedda Babulu),Liberation Congress Party,0,Others,49,"Rs 6,00,000  ~ 6 Lacs+","Rs 2,00,000  ~ 2 Lacs+",Andhra Pradesh
Dr. Rayapudi Rajesh Vijay Kumar,Indian Labour Party (Ambedkar Phule),0,Doctorate,40,,,Andhra Pradesh
Dr. Reddypogu Praveen Kumar,IND,0,Doctorate,42,"Rs 3,35,000  ~ 3 Lacs+","Rs 1,44,500  ~ 1 Lacs+",Andhra Pradesh
Dr. Thummapala Hari Shankar,IND,0,Post Graduate,35,"Rs 78,54,500  ~ 78 Lacs+","Rs 11,00,000  ~ 11 Lacs+",Andhra Pradesh
Dr.Nallani Ramesh Naidu,Andhra Rastra Praja Samithi,1,Graduate,44,"Rs 4,70,000  ~ 4 Lacs+",Rs 0  ~,Andhra Pradesh
Dumavath Swamy Naik,IND,0,12th Pass,52,"Rs 55,70,000  ~ 55 Lacs+",Rs 0  ~,Andhra Pradesh
Durga Prasad D Byatarayanaji,Challengers Party,0,Graduate Professional,58,,,Andhra Pradesh
Durgaprasad Guntu,Bhartiya Rashtriya Dal,0,Post Graduate,57,"Rs 35,59,000  ~ 35 Lacs+","Rs 2,00,000  ~ 2 Lacs+",Andhra Pradesh
E Anil Kumar,IND,0,Post Graduate,37,"Rs 12,17,400  ~ 12 Lacs+",Rs 0  ~,Andhra Pradesh
Eda Sudhakara Reddy,INC,1,Graduate Professional,50,"Rs 2,80,73,241  ~ 2 Crore+","Rs 1,89,022  ~ 1 Lacs+",Andhra Pradesh
Emani. Chandrasekhar Rao,Navodayam Party,0,Graduate,58,"Rs 1,66,000  ~ 1 Lacs+",Rs 0  ~,Andhra Pradesh
G M Harish (Balayogi),TDP,0,Graduate Professional,33,,,Andhra Pradesh
G.A.N. Anand,IND,0,Graduate,38,"Rs 2,000  ~ 2 Thou+",Rs 0  ~,Andhra Pradesh
G.V.Ramana Reddy,IND,1,12th Pass,59,"Rs 5,14,19,000  ~ 5 Crore+","Rs 6,40,000  ~ 6 Lacs+",Andhra Pradesh
Gadde Vijaya Lakshmi,IND,0,10th Pass,34,"Rs 15,000  ~ 15 Thou+",Rs 0  ~,Andhra Pradesh
Gaggera Venkata Ramanaiah,IND,4,8th Pass,41,"Rs 93,00,000  ~ 93 Lacs+","Rs 81,82,000  ~ 81 Lacs+",Andhra Pradesh
Gajula Shalimiya,Anna YSR Congress Party,0,5th Pass,42,,,Andhra Pradesh
Gajula Soma Sekhar,Jai Bharat National Party,0,12th Pass,28,"Rs 29,58,995  ~ 29 Lacs+","Rs 27,56,904  ~ 27 Lacs+",Andhra Pradesh
Ganapathi. Jagadeeswara Rao (Jagadeesh),Jai Maha Bharath Party,0,Post Graduate,49,"Rs 17,36,804  ~ 17 Lacs+",Rs 0  ~,Andhra Pradesh
Gandhi Dhanekula,IND,0,10th Pass,77,"Rs 21,00,000  ~ 21 Lacs+","Rs 96,000  ~ 96 Thou+",Andhra Pradesh
Gandikota Rajesh,Navataram Party,0,Graduate,42,"Rs 6,90,000  ~ 6 Lacs+",Rs 0  ~,Andhra Pradesh
Ganeswara Rao Paramata,BSP,0,Post Graduate,62,,,Andhra Pradesh
Ganji Purnima,Republican Party of India (A),0,Graduate,41,"Rs 11,22,085  ~ 11 Lacs+","Rs 6,25,000  ~ 6 Lacs+",Andhra Pradesh
Gara Surya Rao,IND,0,Post Graduate,70,"Rs 81,50,000  ~ 81 Lacs+",Rs 0  ~,Andhra Pradesh
Garlapati Subhash Prem,Revolutionary Socialist Party,0,Post Graduate,31,"Rs 77,812  ~ 77 Thou+",Rs 0  ~,Andhra Pradesh
Garnepudi Alexander Sudhakar,INC,0,Graduate Professional,55,"Rs 1,76,61,990  ~ 1 Crore+","Rs 77,80,000  ~ 77 Lacs+",Andhra Pradesh
Gayatri Audhipudi,IND,0,Graduate,55,,,Andhra Pradesh
Gedala Laxmana Rao,IND,0,10th Pass,46,"Rs 16,02,823  ~ 16 Lacs+","Rs 27,000  ~ 27 Thou+",Andhra Pradesh
Giddi Jnana Prakasarao,Republican Party of India,0,Graduate Professional,62,"Rs 15,06,800  ~ 15 Lacs+",Rs 0  ~,Andhra Pradesh
Gidugu Rudraraju,INC,1,Post Graduate,55,"Rs 3,53,94,877  ~ 3 Crore+","Rs 93,41,000  ~ 93 Lacs+",Andhra Pradesh
Godugupati Veera Raghavulu,Pyramid Party of India,0,10th Pass,51,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,Andhra Pradesh
Gogula Sugunamma,Jai Maha Bharath Party,0,5th Pass,43,,,Andhra Pradesh
Gollu Krishna,INC,6,Others,60,"Rs 2,50,66,000  ~ 2 Crore+","Rs 85,00,000  ~ 85 Lacs+",Andhra Pradesh
Gottumukkala Shivaji,IND,3,Post Graduate,53,"Rs 2,17,22,000  ~ 2 Crore+",Rs 0  ~,Andhra Pradesh
Gudavalli Venkata Kedareswara Rao,IND,0,Graduate,55,"Rs 32,68,367  ~ 32 Lacs+","Rs 9,73,120  ~ 9 Lacs+",Andhra Pradesh
Guddanti Seshubabu,IND,0,10th Pass,48,"Rs 70,000  ~ 70 Thou+",Rs 0  ~,Andhra Pradesh
Gujjula Lalitha,SUCI(C),0,Graduate Professional,61,,,Andhra Pradesh
Gumma Thanuja Rani,YSRCP,0,Graduate Professional,31,"Rs 23,54,678  ~ 23 Lacs+",Rs 0  ~,Andhra Pradesh
Gurumoorthy Maddila,YSRCP,0,Graduate Professional,38,"Rs 1,32,49,134  ~ 1 Crore+","Rs 10,97,657  ~ 10 Lacs+",Andhra Pradesh
H D Hanumanthe Gowd,IND,0,Post Graduate,44,"Rs 1,74,40,342  ~ 1 Crore+","Rs 19,32,872  ~ 19 Lacs+",Andhra Pradesh
Hafiz Ataullah Khan,Social Democratic Party Of India,0,10th Pass,50,"Rs 10,88,850  ~ 10 Lacs+","Rs 11,69,997  ~ 11 Lacs+",Andhra Pradesh
Hari Prasad Tupakula,IND,0,Graduate Professional,47,,,Andhra Pradesh
